hts10,description_long,description_short,minyear,maxyear,mincid,maxcid,quantity_1,quantity_2,sitc,end_use_import,end_use_export,ag_code,sic,naics,hitech,flow
0000.00.0001,"ANIMAL AND VEGETABLE PRODUCTS, U.S. GOODS RETURNED FROM PUERTO RICO","ANIMAL AND VEGETABLE PRODUCTS, U.S. GOODS RETURNED",1989,2008,1994-07-01,2009-02-01,NA,NA,NA,NA,NA,0,NA,NA,00,Export
0000.00.0002,"WOOD AND PAPER; PRINTED MATTER, U.S. GOODS RETURNED FROM PUERTO RICO","WOOD AND PAPER; PRINTED MATTER, US GOODS RETURNED",1989,2008,1994-07-01,2009-02-01,NA,NA,NA,NA,NA,0,NA,NA,00,Export
0000.00.0003,"TEXTILE FIBERS AND PRODUCTS, U.S. GOODS RETURNED FROM PUERTO RICO","TEXTILE FIBERS AND PRODUCTS, U.S. GOODS RETURNED",1989,2008,1994-07-01,2009-02-01,NA,NA,NA,NA,NA,0,NA,NA,00,Export
0000.00.0004,"CHEMICALS AND RELATED PRODUCTS, U.S. GOODS RETURNED FROM PUERTO RICO","CHEMICALS AND RELATED PRODUCTS, US GOODS RETURNED",1989,2008,1994-07-01,2009-02-01,NA,NA,NA,NA,NA,0,NA,NA,00,Export
0000.00.0005,"NONMETALLIC MINERALS AND PRODUCTS, U.S. GOODS RETURNED FROM PUERTO RICO",NONMETALLIC MINERALS AND PRODUCTS US GOODS RETURND,1989,2008,1994-07-01,2009-02-01,NA,NA,NA,NA,NA,0,NA,NA,00,Export
0000.00.0006,"METALS AND METAL PRODUCTS; MACHINERY AND TRANSPORT EQUIPMENT, U.S. GOODS RETURNED FROM PUERTO RICO",NA,1989,2008,1994-07-01,2009-02-01,NA,NA,NA,NA,NA,0,NA,NA,00,Export
0000.00.0007,"SPECIFIED PRODUCTS; MISCELLANEOUS AND NONENUMERATED PRODUCTS, U.S. GOODS RETURNED FROM PUERTO RICO",NA,1989,2008,1994-07-01,2009-02-01,NA,NA,NA,NA,NA,0,NA,NA,00,Export
0000.00.0008,"SPECIAL CLASSIFICATION PROVISIONS, U.S. GOODS RETURNED FROM PUERTO RICO",SPECIAL CLASSIFICATION PROVISIONS US GOODS RETURND,1989,2008,1994-07-01,2009-02-01,NA,NA,NA,NA,NA,0,NA,NA,00,Export
0000.00.0009,FOREIGN MERCHANDISE RETURNED TO THE UNITED STATES FROM PUERTO RICO,FOREIGN MERCHANDISE RETURNED TO THE UNITED STATES,1989,2008,1994-07-01,2009-02-01,NA,NA,NA,NA,NA,0,NA,NA,00,Export
0101.10.0000,NA,NA,2002,2011,2003-02-01,2014-06-01,Mixed,NA,Mixed,NA,10140,0,NA,112920,00,Export
0101.10.0010,NA,NA,2002,2011,2003-02-01,2014-06-01,Mixed,NA,Mixed,12060,NA,0,NA,112920,00,Import
0101.10.0020,NA,NA,2002,2011,2003-02-01,2014-06-01,Mixed,NA,Mixed,12060,NA,0,NA,112920,00,Import
0101.11.0000,"HORSES, LIVE, PUREBRED BREEDING","HORSES, LIVE, PUREBRED BREEDING",1989,2001,1994-07-01,2002-02-01,Mixed,NA,00151,NA,10140,0,0272,112920,00,Export
0101.11.0010,"HORSES, LIVE, PUREBRED BREEDING, MALE","HORSES, LIVE, PUREBRED BREEDING, MALE",1989,2001,1993-07-01,2002-02-01,Mixed,NA,00151,12060,NA,0,0272,112920,00,Import
0101.11.0020,"HORSES, LIVE, PUREBRED BREEDING, FEMALE","HORSES, LIVE, PUREBRED BREEDING, FEMALE",1989,2001,1993-07-01,2002-02-01,Mixed,NA,00151,12060,NA,0,0272,112920,00,Import
0101.19.0000,"HORSES, LIVE, EXCEPT PUREBRED BREEDING ANIMALS","HORSES, LIVE, EXCEPT PUREBRED BREEDING ANIMALS",1989,2001,1993-07-01,2002-02-01,Mixed,NA,00151,12060,10140,0,0272,112920,00,Both
0101.19.0010,"HORSES, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, NESOI",HORSES LIVE IMPORTED FOR IMMEDIATE SLAUGHTER NESOI,1990,2001,1994-07-01,2002-02-01,Mixed,NA,00151,12060,NA,0,0272,112920,00,Import
0101.19.0090,"HORSES, LIVE, NESOI","HORSES, LIVE, NESOI",1990,2001,1994-07-01,2002-02-01,Mixed,NA,00151,12060,NA,0,0272,112920,00,Import
0101.20.0000,"ASSES, MULES AND HINNIES, LIVE","ASSES, MULES AND HINNIES, LIVE",1989,2001,1994-07-01,2002-02-01,Mixed,NA,00152,NA,10140,0,0272,112920,00,Export
0101.20.1000,"ASSES, LIVE, PUREBRED BREEDING","ASSES, LIVE, PUREBRED BREEDING",1989,2001,1993-07-01,2002-02-01,Mixed,NA,00152,12060,NA,0,0272,112920,00,Import
0101.20.2000,"ASSES, LIVE, EXCEPT PUREBRED BREEDING ANIMALS","ASSES, LIVE, EXCEPT PUREBRED BREEDING ANIMALS",1989,2001,1993-07-01,2002-02-01,Mixed,NA,00152,12060,NA,0,0272,112920,00,Import
0101.20.3000,"MULES AND HINNIES, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER",MULES AND HINNIES IMPORTED FOR IMMEDIATE SLAUGHTER,1989,2001,1993-07-01,2002-02-01,Mixed,NA,00152,12060,NA,0,0272,112920,00,Import
0101.20.4000,"MULES AND HINNIES, LIVE, NESOI","MULES AND HINNIES, LIVE, NESOI",1989,2001,1993-07-01,2002-02-01,Mixed,NA,00152,12060,NA,0,0272,112920,00,Import
0101.21.0000,"HORSES, PUREBRED BREEDING, LIVE","HORSES, PUREBRED BREEDING, LIVE",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00150,NA,10140,0,NA,112920,00,Export
0101.21.0010,"HORSES AND ASSES, PUREBRED BREEDING, MALE, LIVE","HORSES AND ASSES, PUREBRED BREEDING, MALE, LIVE",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00150,12060,NA,0,NA,112920,00,Import
0101.21.0020,"HORSES AND ASSES, PUREBRED BREEDING, FEMALE, LIVE","HORSES AND ASSES, PUREBRED BREEDING, FEMALE, LIVE",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00150,12060,NA,0,NA,112920,00,Import
0101.29.0000,"HORSES, LIVE, EXCEPT PUREBRED BREEDING","HORSES, LIVE, EXCEPT PUREBRED BREEDING",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00150,NA,10140,0,NA,112920,00,Export
0101.29.0010,"HORSES, IMPORTED FOR IMMEDIATE SLAUGHTER, LIVE, EXCEPT PUREBRED BREEDING","HORSES, FOR IMMEDIATE SLAUGHTER, LIVE, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00150,00100,NA,0,NA,112920,00,Import
0101.29.0090,"HORSES, LIVE, NESOI","HORSES, LIVE, NESOI",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00150,12060,NA,0,NA,112920,00,Import
0101.30.0000,"ASSES, LIVE","ASSES, LIVE",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00150,12060,10140,0,NA,112920,00,Both
0101.90.0000,"MULES AND HINNIES, LIVE","MULES AND HINNIES, LIVE",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00150,NA,10140,0,NA,112920,00,Export
0101.90.1000,"HORSES, LIVE, EXCEPT PUREBRED BREEDING","HORSES, LIVE, EXCEPT PUREBRED BREEDING",2002,2011,2003-02-01,2014-06-01,Mixed,NA,Mixed,NA,10140,0,NA,112920,00,Export
0101.90.1010,NA,NA,2002,2011,2003-02-01,2014-06-01,Mixed,NA,Mixed,00100,NA,0,NA,112920,00,Import
0101.90.1090,"HORSES, LIVE, NESOI","HORSES, LIVE, NESOI",2002,2011,2003-02-01,2014-06-01,Mixed,NA,Mixed,12060,NA,0,NA,112920,00,Import
0101.90.2000,NA,NA,2002,2011,2003-02-01,2014-06-01,Mixed,NA,Mixed,12060,NA,0,NA,112920,00,Import
0101.90.3000,NA,NA,2002,2019,2003-02-01,2019-03-01,Mixed,NA,Mixed,00100,NA,0,NA,112920,00,Import
0101.90.4000,"MULES AND HINNIES, LIVE, NESOI","MULES AND HINNIES, LIVE, NESOI",2002,2019,2003-02-01,2019-03-01,Mixed,NA,Mixed,12060,NA,0,NA,112920,00,Import
0101.90.5000,"ASSES, MULES, AND HINNIES, LIVE, NESOI","ASSES, MULES, AND HINNIES, LIVE, NESOI",2002,2011,2003-02-01,2014-06-01,Mixed,NA,Mixed,NA,10140,0,NA,112920,00,Export
0102.10.0010,NA,NA,1989,2011,1993-07-01,2014-06-01,Mixed,NA,00111,12060,10140,0,0241,11211X,00,Both
0102.10.0020,NA,NA,1989,2011,1993-07-01,2014-06-01,Mixed,NA,00111,12060,10140,0,0241,11211X,00,Both
0102.10.0030,NA,NA,1989,2011,1993-07-01,2014-06-01,Mixed,NA,00111,12060,10140,0,0211,11211X,00,Both
0102.10.0050,NA,NA,1989,2011,1993-07-01,2014-06-01,Mixed,NA,00111,12060,10140,0,0211,11211X,00,Both
0102.21.0010,"BOVINES, PUREBRED BREEDING, DAIRY, MALE, LIVE","BOVINES, PUREBRED BREEDING, DAIRY, MALE, LIVE",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00111,12060,10140,0,NA,11211X,00,Both
0102.21.0020,"BOVINES, PUREBRED BREEDING, DAIRY, FEMALE, LIVE","BOVINES, PUREBRED BREEDING, DAIRY, FEMALE, LIVE",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00111,12060,10140,0,NA,11211X,00,Both
0102.21.0030,"CATTLE, PUREBRED BREEDING, MALE, LIVE, EXCEPT DAIRY","CATTLE, PUREBRED BREEDING, MALE, LIVE, EXC DAIRY",2012,2019,2015-06-01,2019-03-01,Mixed,NA,00111,12060,10140,0,NA,11211X,00,Both
