active,agency_name,department_name,extraction_date,first_notice_date,is_it_services,naics_code,notice_code,notice_type,office_name,opportunity_id,pop_city,pop_state,psc_code,response_deadline,sam_url,set_aside,solicitation_number,title
True,Department of the Air Force,Department of Defense,2026-01-21,2025-04-10T14:27:10+00:00,True,513210,s,Special Notice,FA5000  673 CONS LGC,b9598c76-bb12-4997-b477-e513c3581157,JBER,AK,DA01,2025-04-24T15:00:00+00:00,https://sam.gov/opp/ede4be7378e3422490c598650193341f/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",FA500025ASCOT1,"NOTICE OF INTENT TO AWARD SINGLE SOURCE to PLEXSYS Interface Products, Inc. for Advanced Simulation Combat Operations Trainer (ASCOT) and Direct Link Interface (DLI) systems software support."
True,Defense Information Systems Agency,Department of Defense,2026-01-21,2024-09-26T18:19:11+00:00,True,541519,o,Solicitation,IT CONTRACTING DIVISION - PL84,a4315a91-53bf-41de-9b1a-f517c37a42e3,,,DA10,2024-11-12T16:00:00+00:00,https://sam.gov/opp/dd5c377f7f934246b96bb12df24afb65/view,,HC108424R0005,Defense Commissary Agency (DeCA) Retail Price and Promotion Optimization Tool
True,Department of the Army,Department of Defense,2026-01-21,2025-04-10T12:41:17+00:00,True,513210,k,Combined Synopsis/Solicitation,W6QK ACC- DTA,c3c652a9-3822-4712-994b-7d8064276336,Warren,MI,DA10,2025-04-18T19:00:00+00:00,https://sam.gov/opp/c3c652a938224712994b7d8064276336/view,,CHESSRFQ528646,Notice of Intent to procure Dell Blade Servers - CHESS RFQ - #528646
True,Department of the Army,Department of Defense,2026-01-21,2025-03-12T12:27:20+00:00,True,513210,o,Solicitation,W6QM MICC-CARLISLE BARRACKS,b44f4c43-53eb-46cc-923e-806c3c5f3a33,Carlisle,PA,7A21,2025-04-10T10:00:00+00:00,https://sam.gov/opp/6913737a71494084adb84c12c9613c99/view,,W91QF025Q4005,U.S. Army War College Education Center (USAHEC) Library Management System
True,Department of the Army,Department of Defense,2026-01-21,2025-04-10T20:05:08+00:00,True,513210,r,Sources Sought,W6QK ACC-RI,2dc21869-9758-4913-a8ac-11896bae73cc,Alexandria,VA,DA10,2025-04-15T20:00:00+00:00,https://sam.gov/opp/a6cc7bcef6e34841bac778f7e2ace2bc/view,,W519TC-SALESFORCE,RFI - Salesforce Software Licenses
True,Department of the Army,Department of Defense,2026-01-21,2025-05-12T15:28:16+00:00,True,541512,r,Sources Sought,W6QK ACC-RI,532ae68f-4f7e-490f-a76a-b7c15a06a32c,Fort Belvoir,VA,DA10,2025-06-10T15:30:00+00:00,https://sam.gov/opp/76f2ce296e614468865416a8538893ec/view,,W519TC-25-DECLASS,Army Declassification Modernization
True,Department of the Army,Department of Defense,2026-01-21,2025-04-10T20:15:25+00:00,True,,k,Combined Synopsis/Solicitation,W6QK ACC-RI,7744d035-900e-4800-8770-b7fe7f9c15ea,0,VA,7A21,2025-04-16T19:00:00+00:00,https://sam.gov/opp/1e32d79ce6044698982972a66ad028a1/view,,W519TC-25-Q-0003,DX Application Performance Management (DX APM) Java and .NET Agent Maintenance
True,Department of the Army,Department of Defense,2026-01-21,2024-12-20T18:40:37+00:00,True,,s,Special Notice,W6QK ACC-RI,4631016a-bf9d-4fe7-895a-8b8b570c7a1c,Fort Belvoir,VA,DA10,2025-01-31T17:00:00+00:00,https://sam.gov/opp/6cf6582678044b1ebf2de7ce3f825686/view,,,Amendment 0003 - Army Data Platform (ADP) ARDAP Industry Day
True,Defense Health Agency,Department of Defense,2026-01-21,2025-04-07T17:43:37+00:00,True,513210,r,Sources Sought,ARMY MED RES ACQ ACTIVITY,b3a32b97-5a1d-495d-a679-50b3411c9a20,Silver Spring,MD,7A21,2025-04-14T18:00:00+00:00,https://sam.gov/opp/b3a32b975a1d495da67950b3411c9a20/view,,PANDHA25P00000132135,Qdabra Forms Viewer License
True,Department of the Army,Department of Defense,2026-01-21,2025-08-22T14:27:51+00:00,True,513210,r,Sources Sought,W6QK ACC-RI,7a5c9108-bf69-40bb-9812-1d4e66804e10,,,7A21,2025-08-27T14:00:00+00:00,https://sam.gov/opp/7a5c9108bf6940bb98121d4e66804e10/view,,W519TC25RAPIN,Enterprise License Agreement (ELA) for IT Commercial Solutions
