active,agency_name,department_name,extraction_date,first_notice_date,is_it_services,naics_code,notice_code,notice_type,office_name,opportunity_id,pop_city,pop_state,psc_code,response_deadline,sam_url,set_aside,solicitation_number,title
True,Department of the Army,Department of Defense,2026-01-21,2025-01-15T20:39:17+00:00,False,236220,o,Solicitation,W076 ENDIST FT WORTH,4ca5e88a-5f2b-48de-b6d0-883e9dc6e29a,,,Y1GZ,2025-04-25T16:00:00+00:00,https://sam.gov/opp/ea699bb11f3343ebbf528388d4d059af/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",W9126G24R0001,B-21 LRS FUELS ADMIN/LAB AND REFUELER TRUCK YARD
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-10T09:36:40+00:00,False,332119,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,086025ca-d6fd-466c-a334-2bf393406408,,,5365,2025-05-12T20:30:00+00:00,https://sam.gov/opp/040b67fab67e4fad8ebe30b2c69e8ad0/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",N0010425QAD23,HOIST RING
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-10T09:24:46+00:00,False,332119,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,0206e3f1-97fe-4e5d-8b70-7c7e02abda85,,,5315,2025-05-12T20:30:00+00:00,https://sam.gov/opp/09f819d3f4b341a9bb41a66433763c0d/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",N0010425QAD24,"PIN,STRAIGHT"
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-09T07:33:48+00:00,False,333998,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,c49e0587-9fc6-4591-8f89-b5a7a27f217e,,,99,2025-04-29T20:30:00+00:00,https://sam.gov/opp/c49e05879fc645918f89b5a7a27f217e/view,,N0010425QAD16,LOCK PIN
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-16T10:50:04+00:00,False,333998,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,975816d7-ea6a-4e10-8fff-7384c963faa3,,,99,2025-04-25T20:30:00+00:00,https://sam.gov/opp/0049196193154e89b0ed9a4cb756eddb/view,,N0010425QAC79,"WASHER,SEALING"
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-10T08:29:50+00:00,False,334511,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,a49030ab-a628-4dbd-8c45-cb7d4c496e83,,,6605,2025-05-12T20:30:00+00:00,https://sam.gov/opp/6e4b819de68d4c339a71849da6647d0d/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",N0010425QAD20,"WRENCH, TORQUE"
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-10T09:10:15+00:00,False,332722,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,5a100471-7ff5-439c-b344-d08f468f9453,,,5305,2025-05-12T20:30:00+00:00,https://sam.gov/opp/757e26d0f09b46acbf3e808522534cd5/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",N0010425QAD18,"SCREW,SELF-LOCKING"
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-10T08:41:02+00:00,False,339991,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,098b1125-6e03-4b46-9479-923348195c31,,,5330,2025-05-12T20:30:00+00:00,https://sam.gov/opp/bb5ad2e3dd054d6ba2f3ece4b4119090/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",N0010425QAD21,ELEMENT/SEAL
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-10T08:24:57+00:00,False,332722,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,709b7f0e-7382-4611-b27d-1aeacce31a64,,,5305,2025-04-30T20:30:00+00:00,https://sam.gov/opp/37e557ea0a1f4c8fb526d8e023ef63ff/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",N0010425QAD17,"SCREW,TAPPING,THREA"
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-11T15:04:09+00:00,False,533110,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,3e93556a-ec44-407b-8650-df6d828fab8c,,,5935,2025-04-18T20:30:00+00:00,https://sam.gov/opp/1fa8487477814339a8889164ad1dfe75/view,"{'code': 'SBA', 'description': 'Small Business Set Aside - Total'}",N0010425QAC66,FUOI CNCTR ADPTR CB
True,Department of the Navy,Department of Defense,2026-01-21,2024-05-24T07:53:10+00:00,False,333998,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,984bf854-3ba6-422a-8b2e-114a38d361a6,,,99,2024-11-15T20:30:00+00:00,https://sam.gov/opp/dbe408ed15764323bc7aba9acd1fa72a/view,,N0010424QAC54,EXPRESS CARD
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-09T08:20:38+00:00,False,333914,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,a2671a9f-94d1-48ee-a249-945c4025f848,,,4310,2025-04-30T20:00:00+00:00,https://sam.gov/opp/4066ffcb94af4339b647e61584439eed/view,,N0010425RJA65,"43--COMPRESSOR UNIT,REC, IN REPAIR/MODIFICATION OF"
True,Department of the Navy,Department of Defense,2026-01-21,2025-04-09T08:23:05+00:00,False,333914,o,Solicitation,NAVSUP WEAPON SYSTEMS SUPPORT MECH,f85833a3-79c1-41f1-b226-c06ca921f5ee,,,4310,2025-05-30T20:00:00+00:00,https://sam.gov/opp/77c16ef318ed48ee88e87e43456ff13a/view,,N0010425RJA70,"43--COMPRESSOR UNIT,REC"
True,Defense Health Agency,Department of Defense,2026-01-21,2025-03-27T22:06:35+00:00,False,325412,o,Solicitation,DEFENSE HEALTH AGENCY,07511346-d85f-4616-97f9-a92257d48608,San Antonio,TX,6505,2025-04-24T17:00:00+00:00,https://sam.gov/opp/73d76da370384b08ab5f2628a51432b0/view,,HT9402-25-Q-9203,Department of Defense Pharmacy Uniform Formulary Blanket Purchase Agreement/Uniform Formulary Additional Discount Program
