agencies,extraction_date,is_it_vendor,is_prime,is_sub,prime_count,recipient_name,recipient_uei,subaward_count,total_contracts,total_prime_value,total_subaward_value,total_value
Department of Defense,2026-01-21,False,True,False,87,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,0,87,304628198610.4001,0,304628198610.4001
Department of Defense,2026-01-21,False,True,False,28,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,0,28,136874014251.53,0,136874014251.53
Department of Defense,2026-01-21,False,True,False,5,HUMANA GOVERNMENT BUSINESS INC,ZE6ZM6NKSV43,0,5,102348697813.60999,0,102348697813.60999
Department of Defense,2026-01-21,False,True,False,45,THE BOEING COMPANY,JJM4FRDZJDX1,0,45,91953456367.37004,0,91953456367.37004
Department of Defense,2026-01-21,False,True,False,15,THE BOEING COMPANY,WZWRLY4G3PL8,0,15,79933112186.64,0,79933112186.64
Department of Defense,2026-01-21,False,True,False,86,RAYTHEON COMPANY,VTEWM5QSE598,0,86,77181144144.28003,0,77181144144.28003
Department of Defense,2026-01-21,False,True,False,42,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,0,42,73046903865.57,0,73046903865.57
Department of Defense,2026-01-21,False,True,False,41,RTX CORPORATION,QN1BCFY7JDJ5,0,41,69678490707.23999,0,69678490707.23999
Department of Defense,2026-01-21,False,True,False,22,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,0,22,64914925319.78001,0,64914925319.78001
Department of Defense,2026-01-21,False,True,False,13,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,0,13,62730835228.34,0,62730835228.34
Department of Defense,2026-01-21,False,True,False,27,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,0,27,61168129947.27,0,61168129947.27
Department of Defense,2026-01-21,False,True,False,3,"HEALTH NET FEDERAL SERVICES, LLC",F7NGF6NJFB96,0,3,59389410290.82,0,59389410290.82
Department of Defense,2026-01-21,False,True,False,30,LOCKHEED MARTIN CORP,CQWLW9XRQTH5,0,30,56671755959.03999,0,56671755959.03999
Department of Defense,2026-01-21,False,True,False,23,LOCKHEED MARTIN CORP,SJDEB3MKJEW5,0,23,52898619992.88,0,52898619992.88
Department of Defense,2026-01-21,False,True,False,20,THE BOEING COMPANY,UEGFHX6R6KJ1,0,20,47871431958.60999,0,47871431958.60999
Department of Defense,2026-01-21,False,True,False,19,"KBR SERVICES, LLC",YSQMHRS4HSC5,0,19,41554315202.909996,0,41554315202.909996
Department of Defense,2026-01-21,False,True,False,12,BELL BOEING JOINT PROJECT OFFICE,JHFZTG8ZC9V2,0,12,31800028863.819996,0,31800028863.819996
Department of Defense,2026-01-21,False,True,False,4,THE BOEING COMPANY,SML4NN2CT556,0,4,31002875154.26,0,31002875154.26
