award_amount,award_id,awarding_agency,awarding_sub_agency,bd_reasons,bd_score,competitor_subaward_count,competitor_subaward_value,contract_id,description,end_date,extraction_date,is_dod,is_it_services,naics_code,naics_description,pop_city,pop_state,psc_code,psc_description,recipient_name,recipient_uei,source,start_date,subaward_count,subaward_value
51242733558.09,CONT_AWD_HT940216C0001_9700_-NONE-_-NONE-,Department of Defense,Defense Health Agency,DoD; $1B+; Active prime,60,0,0,HT940216C0001,IGF::OT::IGF,2025-12-31,2026-01-21,True,False,,,,,,,HUMANA GOVERNMENT BUSINESS INC,ZE6ZM6NKSV43,usaspending,2016-08-01,0,0
34651048877.0,CONT_AWD_N0002417C2100_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002417C2100,SSN 802 AND 803 LONG LEAD TIME MATERIAL,2036-06-02,2026-01-21,True,False,,,,,,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,usaspending,2017-02-14,0,0
24313811834.0,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002417C2117,COLUMBIA CLASS DESIGN COMPLETION,2031-12-31,2026-01-21,True,False,,,,,,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,usaspending,2017-09-21,0,0
23352182728.69,CONT_AWD_MDA90603C0010_9700_-NONE-_-NONE-,Department of Defense,Defense Health Agency,DoD; $1B+; Active prime,60,0,0,MDA90603C0010,,2012-03-31,2026-01-21,True,False,,,,,,,HUMANA GOVERNMENT BUSINESS INC,ZE6ZM6NKSV43,usaspending,2003-08-27,0,0
20451127096.53,CONT_AWD_HT940211C0003_9700_-NONE-_-NONE-,Department of Defense,Defense Health Agency,DoD; $1B+; Active prime,60,0,0,HT940211C0003,T3 MANAGED CARE SUPPORT CONTRACT FOR SOUTH REGION,2019-03-27,2026-01-21,True,False,,,,,,,HUMANA GOVERNMENT BUSINESS INC,ZE6ZM6NKSV43,usaspending,2011-03-03,0,0
19613746246.0,CONT_AWD_N0002412C2115_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002412C2115,SSN 792 LONG LEAD TIME MATERIAL,2026-01-31,2026-01-21,True,False,,,,,,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,usaspending,2012-04-13,0,0
16238775949.0,CONT_AWD_N0002409C2104_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002409C2104,CONSTRUCTION OF VIRGINIA CLASS BLOCK III SUBMARINES.,2023-08-31,2026-01-21,True,False,,,,,,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,usaspending,2008-12-22,0,0
14632728416.99,CONT_AWD_DAAE0701CS001_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $1B+; Active prime,60,0,0,DAAE0701CS001,"200106!001253!2100!AE07  !TACOM - WARREN                  !DAAE0701CS001  !A!N!*!N!P00005             !20010308!20010531!054681739!054681739!147854152!N!AM GENERAL CORPORATION        !105 N NILES AVE           !SOUTH BEND          !IN!46617!71000!141!18!SOUTH BEND          !ST. JOSEPH            !INDIANA   !+000002374774!N!N!000000000000!2320!TRUCKS AND TRUCK TRACTORS, WHEELED                !A4B!NON-COMBAT VEHICLES           !1000!NOT DISCERNABLE OR CLASSIFIED !336311!*!*!3! ! !H!*!*!*!B!*!*!N!",2010-04-30,2026-01-21,True,False,,,,,,,AM GENERAL LLC,NWM1JWVDA853,usaspending,2000-11-06,0,0
11602480135.21,CONT_AWD_W58RGZ12C0008_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $1B+; Active prime,60,0,0,W58RGZ12C0008,"MULTI SERVICE, 5 YR, MULTI-YR CONTRACT FOR H-60 HELICOPTERS. FY2012 FY2016 PRODUCTION CONTRACT FOR ARMY/NAVY/FMS UH/HH/MH-60 HELICOPTERS TO INCLUDE PROCUREMENT OF UP TO 916 EACH AIRCRAFT AND RELATED SUPPORT, SERVICES, SYSTEMS/PROJECT MANAGEMENT, PUBLICATIONS, AND TECHNICAL DATA. FMS COUNTRIES INCLUDE SAUDI ARABIAN NATIONAL GUARD (SANG), TAIWAN, THAILAND AND ROYAL AUSTRALIAN NAVY (RAN).",2023-07-21,2026-01-21,True,False,,,,,,,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,usaspending,2012-06-06,0,0
11067479370.85,CONT_AWD_N0002416C2116_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; Active prime,60,0,0,N0002416C2116,CVN 80 ENGINEERING EFFORTS AND STEEL,2036-06-02,2026-01-21,True,False,,,,,,,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,usaspending,2016-05-23,0,0
