award_amount,award_id,awarding_agency,awarding_sub_agency,competitor_match,description,end_date,extraction_date,piid,pop_city,pop_state,recipient_name,recipient_uei,start_date
1484506.78,CONT_AWD_FA701406C0021_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,TEKSYSTEMS,None,2020-03-31,2026-01-21,FA701406C0021,,,"TEKSYSTEMS, INC.",KBFUKJJSJW69,2006-08-28
799056.38,CONT_AWD_N0018916FQ051_9700_GS35F0353L_4730,Department of Defense,Department of the Navy,TEKSYSTEMS,IGF::OT::IGF NAVSUP BSC ERMS FFP LABOR,2019-12-31,2026-01-21,N0018916FQ051,,,"TEKSYSTEMS GOVERNMENT SERVICES, LLC",GZ8TKCA55AP9,2016-04-16
268883.58,CONT_AWD_N0012409F0054_9700_GS35F0353L_4730,Department of Defense,Department of the Navy,TEKSYSTEMS,IT SUPPORT,2009-02-28,2026-01-21,N0012409F0054,,,"TEKSYSTEMS GOVERNMENT SERVICES, LLC",GZ8TKCA55AP9,2008-10-01
182400.0,CONT_AWD_N6893619F0086_9700_GS35F374GA_4732,Department of Defense,Department of the Navy,TEKSYSTEMS,HGST DESKSTAR,2018-11-26,2026-01-21,N6893619F0086,,,SIMPLY GROUP II LLC,VML2F1BYMJU3,2018-11-14
116400.0,CONT_AWD_N6893617F0492_9700_GS35F374GA_4732,Department of Defense,Department of the Navy,TEKSYSTEMS,QNAP NAS HARDWARE,2017-08-29,2026-01-21,N6893617F0492,,,SIMPLY GROUP II LLC,VML2F1BYMJU3,2017-06-20
82665.0,CONT_AWD_HE125418F9023_9700_GS35F374GA_4732,Department of Defense,Department of Defense Education Activity,TEKSYSTEMS,WD BLUE SOLID STATE DRIVE 1TB,2018-09-07,2026-01-21,HE125418F9023,,,SIMPLY GROUP II LLC,VML2F1BYMJU3,2018-08-12
55427.44,CONT_AWD_N0018916FQ026_9700_GS35F0353L_4730,Department of Defense,Department of the Navy,TEKSYSTEMS,IGF::OT::IGF ELECTRONIC RETROGRADE MANAGEMENT SYSTEM (ERMS) MAINTENANCE CONTRACTOR SUPPORT SERVICES.,2016-04-15,2026-01-21,N0018916FQ026,,,"TEKSYSTEMS GOVERNMENT SERVICES, LLC",GZ8TKCA55AP9,2016-01-01
42884.21,CONT_AWD_FA481418FBT21_9700_GS35F374GA_4732,Department of Defense,Department of the Air Force,TEKSYSTEMS,HARD DRIVE SSD SATA,2018-11-01,2026-01-21,FA481418FBT21,,,SIMPLY GROUP II LLC,VML2F1BYMJU3,2018-09-21
29400.0,CONT_AWD_N6328518FG027_9700_GS35F374GA_4732,Department of Defense,Department of the Navy,TEKSYSTEMS,EXTERNAL HARD DRIVES,2018-10-05,2026-01-21,N6328518FG027,,,SIMPLY GROUP II LLC,VML2F1BYMJU3,2018-09-14
21908.0,CONT_AWD_FA820118FG009_9700_GS35F374GA_4732,Department of Defense,Department of the Air Force,TEKSYSTEMS,ADP INPUT/OUTPUT AND STORAGE DEVICES,2018-09-30,2026-01-21,FA820118FG009,,,SIMPLY GROUP II LLC,VML2F1BYMJU3,2017-10-01
18800.0,CONT_AWD_N6893619F0039_9700_GS35F374GA_4732,Department of Defense,Department of the Navy,TEKSYSTEMS,SEAGATE IRONWOLF 8TB HARD DRIVE,2018-11-30,2026-01-21,N6893619F0039,,,SIMPLY GROUP II LLC,VML2F1BYMJU3,2018-10-29
10510.0,CONT_AWD_N0042118P0118_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,TEKSYSTEMS,IGF::OT::IGF_TS-1685-D1521-32G-550W-104-EH,2018-01-11,2026-01-21,N0042118P0118,,,SIMPLY GROUP II LLC,VML2F1BYMJU3,2017-12-11
10194.0,CONT_AWD_N0042117P0078_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,TEKSYSTEMS,P/N: TVS-871U-RP-I5-8G-DLS QNAP NAS SERVER,2016-12-30,2026-01-21,N0042117P0078,,,SIMPLY GROUP II LLC,VML2F1BYMJU3,2016-11-30
8291.47,CONT_AWD_N6449819F5020_9700_GS35F374GA_4732,Department of Defense,Department of the Navy,TEKSYSTEMS,SYNOLOGY RACKSTATION NAS SERVER,2019-02-13,2026-01-21,N6449819F5020,,,SIMPLY GROUP II LLC,VML2F1BYMJU3,2019-01-10
8016.0,CONT_AWD_N6883617F0238_9700_GS35F374GA_4732,Department of Defense,Department of the Navy,TEKSYSTEMS,SEAGATE SKYHAWK 10 TB HDD,2017-07-07,2026-01-21,N6883617F0238,,,SIMPLY GROUP II LLC,VML2F1BYMJU3,2017-06-07
7224.0,CONT_AWD_N0042118F0235_9700_GS35F374GA_4732,Department of Defense,Department of the Navy,TEKSYSTEMS,TS-463U-RP-DLS,2018-02-23,2026-01-21,N0042118F0235,,,SIMPLY GROUP II LLC,VML2F1BYMJU3,2017-12-22
6699.0,CONT_AWD_W912QG09P0075_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,TEKSYSTEMS,"TELECOM WIRING, HARTSVILLE ARMORY",2009-03-13,2026-01-21,W912QG09P0075,,,"TELTEKSYSTEMS, LLC",S78NB163WN88,2009-02-13
59274503.0,CONT_AWD_V701_9700_N0017814D7914_9700,Department of Defense,Department of the Navy,BELCAN,"THE SCOPE OF THIS EFFORT IS TO PROVIDE TECHNICAL AND SUBJECT MATTER EXPERTISE SUPPORT TO I2O FOR EXISTING AND PLANNED PROGRAMS, NEW START EFFORTS, SCIENTIFIC RESEARCH, AND TECHNOLOGY TRANSITION.",2017-09-30,2026-01-21,V701,,,"SCHAFER GOVERNMENT SERVICES, LLC",TTTVDEQ7A2K3,2014-06-13
58558027.52,CONT_AWD_H9240420F0286_9700_GS35F368GA_4732,Department of Defense,U.S. Special Operations Command,BELCAN,LABOR-GLOBAL FIELD SERVICE ENGINEERS,2025-03-27,2026-01-21,H9240420F0286,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2020-09-25
41150087.56,CONT_AWD_W91RUS17F0014_9700_GS06F0711Z_4732,Department of Defense,Department of the Army,BELCAN,IGF::OT::IGF RNEC IT NON-PERSONAL SUPPORT SERVICES,2021-01-31,2026-01-21,W91RUS17F0014,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2017-07-15
41023021.87,CONT_AWD_W56KGY21F0025_9700_W15P7T19D0131_9700,Department of Defense,Department of the Army,BELCAN,TASK ORDER AWARD FOR SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE (SETA) SUPPORT SERVICES FOR PRODUCT MANAGER (PDM) MULTI-MISSION SURVEILLANCE SYSTEMS (M2S2).,2025-12-20,2026-01-21,W56KGY21F0025,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2021-01-21
17991803.02,CONT_AWD_H9240421F0001_9700_W52P1J18DA133_9700,Department of Defense,U.S. Special Operations Command,BELCAN,OMEN,2025-10-31,2026-01-21,H9240421F0001,,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2020-11-01
