piid,description,obligated,fiscal_year,awarding_agency,awarding_department,funding_agency,funding_department,dod_match_reason,prime_contractor,period_start,period_end,ultimate_completion,performance_city,performance_state,target_firms,naics_code
FA810720F0001,B-52 COMMERCIAL ENGINE REPLACEMENT PROGRAM (CERP) RAPID PROTOTYPING 1 (RP1),1229144473,2020,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,THE BOEING COMPANY,2/14/2020,12/31/2029,12/31/2029,OKLAHOMA CITY,OKLAHOMA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336411
FA880724F0003,MOBILE USER OBJECTIVE SYSTEM GROUND SUSTAINMENT,147278362.6,2024,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",8/31/2026,8/31/2026,8/31/2026,SCOTTSDALE,ARIZONA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
N0002418C2307,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,6708213525,2018,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,HUNTINGTON INGALLS INCORPORATED,9/27/2018,7/9/2032,7/9/2032,PASCAGOULA,MISSISSIPPI,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336611
W9127823C0006,"CONSTRUCTION OF ZONE 7 F35 MUNITIONS STORAGE FACILITIES, TYNDALL AIR FORCE BASE, FL",102502597,2023,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,BL HARBERT INTERNATIONAL LLC,3/24/2023,8/6/2026,8/6/2026,PANAMA CITY,FLORIDA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,236220
N6426720F3001,AWARD OF NITE TASK ORDER,786229011.9,2020,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,HII Mission Technologies Corp,8/12/2020,8/11/2026,8/11/2026,FALLON,NEVADA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
W31P4Q24C0003,ROMANIA PRODUCTION UCA,581895199,2024,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,RAYTHEON COMPANY,10/13/2023,12/31/2029,12/31/2029,ANDOVER,MASSACHUSETTS,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336419
W31P4Q23C0036,REQUIREMENT FOR PATRIOT M903 LAUNCHING STATIONS.,1607872305,2023,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,RAYTHEON COMPANY,9/29/2023,9/30/2030,9/30/2030,ANDOVER,MASSACHUSETTS,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336414
47QFSA25F0011,"THE OBJECTIVE OF THE ARCWERX ARTEMIS ACQUISITION IS TO PROVIDE PROGRAM MANAGEMENT,  INNOVATIVE R&D, SW DEVELOPMENT, DIGITAL ENGINEERING, AIRCRAFT AND  AEROSPACE SYSTEMS INTEGRATION AND TESTING, MISSION CONCEPTS OF OPERATION, AND TRAINING.",147962529.9,2025,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding,"MODERN TECHNOLOGY SOLUTIONS, INC.",1/7/2025,12/19/2026,12/19/2029,TUCSON,ARIZONA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541712
W15P7T24F0050,THIS LEADER RADIO FULL RATE PRODUCTION ORDER AUTHORIZES THE PURCHASE OF RADIO AND COMMUNICATION EQUIPMENT.,104244130.2,2024,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,THALES DEFENSE & SECURITY INC,9/18/2024,9/18/2026,9/18/2026,CLARKSBURG,MARYLAND,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,334220
FA862821F1006,B-52 RADAR MODERNIZATION PROGRAM ENGINEERING AND MANUFACTURING DEVELOPMENT,730167336.2,2021,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,THE BOEING COMPANY,6/14/2021,11/30/2027,11/30/2027,OKLAHOMA CITY,OKLAHOMA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336411
47QFPA22F0028,PNT SEI FOLLOW ON,196932971.1,2022,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,5/16/2022,3/15/2026,3/15/2029,EL SEGUNDO,CALIFORNIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541712
47QFCA21F0042,"THE PURPOSE OF THIS AWARD IS FOR THE C5ISR, EXERCISES, OPERATIONS, AND INFORMATION SERVICES (CEOIS) TASK ORDER IS TO PROVIDE NEAR REAL-TIME SITUATIONAL AWARENESS AND DECISION SUPPORT TO THE DOD COMBATANT COMMANDS (CCMDS)",495616246.9,2021,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,PARSONS GOVERNMENT SERVICES INC.,4/21/2021,4/20/2026,4/20/2026,WASHINGTON,DISTRICT OF COLUMBIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
W519TC24F0161,25 MILLIMETER (MM) M919 ARMOR PIERCING FIN STABILIZED DISCARDING SABOT WITH TRACER (APFSDS-T) CARTRIDGE,280072242.5,2024,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,"GENERAL DYNAMICS ORDNANCE & TACTICAL SYSTEMS, INC.",4/29/2024,3/31/2029,3/31/2029,MARION,ILLINOIS,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,332993
47QFCA24F0002,"SITEC 3 EOM PROVIDES USSOCOM WITH O&M SERVICES TO MAINTAIN NETOPS, MAINTAIN SYSTEMS & NETWORK INFRASTRUCTURE, PROVIDE END USER & COMMON DEVICE SUPPORT, PROVIDE CONFIGURATION, CHANGE, LICENSE, & ASSET MGMT. CONDUCT TRAINING AND PERFORM IMACS SERVICES.",621308462,2024,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding,PERATON INC.,10/31/2023,5/16/2026,10/30/2031,TAMPA,FLORIDA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541512
W31P4Q20FB003,"TECHNICAL ENGINEERING SUPPORT FOR THE CCDC, AVIATION AND MISSILE CENTER (AVMC), SOFTWARE, SIMULATION, SYSTEMS ENGINEERING, AND INTEGRATION (S3I) DIRECTORATE. THIS TASK ORDER PROVIDES SUPPORT TO THE SOFTWARE MISSION ASSURANCE ASSOCIATE AREA.",245119020.1,2020,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,INTUITIVE RESEARCH AND TECHNOLOGY CORPORATION,6/5/2020,2/4/2026,2/4/2026,HUNTSVILLE,ALABAMA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541715
HC102819F0141,ENTERPRISE TRANSPORT MANAGEMENT (ETM) - NEXT GENERATION - CORE SUPPORT,339111996,2019,Defense Information Systems Agency,Department of Defense,Defense Information Systems Agency,Department of Defense,DoD Awarding,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",1/24/2019,2/8/2026,8/8/2026,ARLINGTON,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541519
W31P4Q22F0031,INTEGRATED BATTLE COMMAND SYSTEM (IBCS) HARDWARE LOW RATE INITIAL PRODUCTION/FULL RATE PRODUCTION (LRIP/FRP).,756572269.3,2022,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,NORTHROP GRUMMAN SYSTEMS CORPORATION,12/23/2021,9/30/2026,9/30/2026,HUNTSVILLE,ALABAMA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336414
47QFCA24F0037,SERVICE SOLUTIONS FOR MODERNIZATION ANALYSIS READINESS CAPABILITY THREAT AND TRAINING SSMARTT,422887392,2024,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,BOOZ ALLEN HAMILTON INC,9/10/2024,9/9/2026,9/9/2029,WASHINGTON,DISTRICT OF COLUMBIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541990
47QFCA24F0020,"THE PURPOSE OF THIS MODIFICATION IS TO AWARD THE TASK ORDER MAVERICK, AND PROVIDE INCREMENTAL FUNDING.",363434373.6,2024,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding,"Salient CRGT, Inc.",5/17/2024,5/16/2026,5/16/2029,ALEXANDRIA,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541512
W31P4Q20C0023,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),10449280457,2020,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,LOCKHEED MARTIN CORPORATION,4/30/2020,9/30/2033,9/30/2033,GRAND PRAIRIE,TEXAS,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336414
