Job Source,Job Number,Job Title,Job Location,Security Clearance,Employment Type,Date Posted,Matched Program,Program Acronym,Program Agency,Prime Contractor,Program Location,Contract Number,Match Score,Match Confidence,Match Reasons,Job URL
Apex Systems,3012968,Software Developer Advisor,"Bossier City, LA",active secret clearance,Contract,2025-11-20,DTRA IAC-MAC Research & Analysis,IAC-MAC,DoD,CACI,"RESTON, VIRGINIA",GSQ0017AJ0006,4,Low,"Keywords: research, analysis",https://www.apexsystems.com/job/3012968_usa/software-developer-advisor
Apex Systems,3013041,Information Systems Security Officer,"Tyndall Air Force Base, FL",Active Secret Security Clearance or higher,Contract,2025-12-02,AFCENT SCORPION Cyber Task (ISSO/ISSM Support),SCORPION,Air Force,CACI,"COLORADO SPRINGS, COLORADO",FA882316C0004,6,Medium,"Keywords: isso, cyber, issm",https://www.apexsystems.com/job/3013041_usa/information-systems-security-officer
Apex Systems,3013125,Security Control Assessor,"Arlington, VA",,Contract,2025-11-24,Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,"ARLINGTON, VIRGINIA",47QFRA19F0011,12,High,"Keywords: enterprise, systems; State: VA; City: ARLINGTON",https://www.apexsystems.com/job/3013125_usa/security-control-assessor
Apex Systems,3014010,EVMS Lead Program Control Consultant,"Herndon, VA",,FullTime,2025-12-03,Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton","HERNDON, VIRGINIA",36C10B21N10150056,10,High,Keywords: management; State: VA; City: HERNDON,https://www.apexsystems.com/job/3014010_usa/evms-lead-program-control-consultant
Apex Systems,3014247,Project Management Consultant-Level 3 - Senior (11 - 15 Years),"Juno Beach, FL",,Contract,2025-12-10,SITEC III – Enterprise Operations & Maintenance,SITEC III,SOCOM,Peraton,"TAMPA, FLORIDA",47QFCA24F0002,5,Medium,Keywords: maintenance; State: FL,https://www.apexsystems.com/job/3014247_usa/project-management-consultant-level-3---senior-11---15-years
Apex Systems,3013295,.NET Developer - Placement,"Washington, VA",,Contract,2025-12-02,Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",70T04019C9DAP3006,7,Medium,"Keywords: security, defense; State: VA",https://www.apexsystems.com/job/3013295_usa/net-developer---placement
Apex Systems,3015483,Sr Business Systems Analyst (PPBE),"Washington, VA",,Contract,2025-12-18,HHS Advanced Secure Data Repository,ASDR,DoD,GDIT / SAIC (indicative),"SPRINGFIELD, VIRGINIA",19AQMM18C0185,7,Medium,"Keywords: data, advanced; State: VA",https://www.apexsystems.com/job/3015483_usa/sr-business-systems-analyst-ppbe
Apex Systems,3014403,Ops Tech II,"St. Louis, MO",,Contract,2025-12-16,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: transport, service, network",https://www.apexsystems.com/job/3014403_usa/ops-tech-ii
Apex Systems,3015532,Sr Systems Administrator,"Reston, VA",,Contract,2026-01-07,Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",70T04019C9DAP3006,12,High,"Keywords: system, security; State: VA; City: RESTON",https://www.apexsystems.com/job/3015532_usa/sr-systems-administrator
Apex Systems,3016673,Communications Network Engineer Mid (Norfolk),"Norfolk, VA",,Contract,2026-01-07,Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",70T04019C9DAP3006,9,Medium,"Keywords: base, security, integrated; State: VA",https://www.apexsystems.com/job/3016673_usa/communications-network-engineer-mid-norfolk
