award_amount,award_id,awarding_agency,awarding_sub_agency,bd_reasons,bd_score,contract_id,description,end_date,extraction_date,is_it_services,naics_code,pop_city,pop_state,priority_tier,psc_code,recipient_name,recipient_uei,size_tier,start_date,sub_recipient_count,subaward_count,subaward_total_value,vendor_prime_count
755178595.41,CONT_AWD_W56KGU24F0010_9700_W56KGU18D0004_9700,Department of Defense,Department of the Army,DoD; IT Services; $500M+; 16 subs; Very active prime; Staffing indicators,100,W56KGU24F0010,FY25 TASK ORDER 7 - TO PROVIDE SYSTEMS ENGINEERING RESEARCH AND DEVELOPMENT SERVICES FOR THE DEPARTMENT OF DEFENSE (DOD) AND OTHER FEDERAL GOVERNMENT AGENCIES.,2025-12-31,2026-01-21,True,,,,HIGH,,THE MITRE CORPORATION,DMHDNDCPWUD1,LARGE ($500M-1B),2024-10-01,1,16,0.0,18
458265556.36,CONT_AWD_W15P7T10CF600_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; IT Services; $100M+; 16 subs; Very active prime; Staffing indicators,90,W15P7T10CF600,FUNDING FOR SECOND YEAR OPTION PERIOD FOR SYSTEMS ENGINEERING SERVICES - MITRE,2011-09-30,2026-01-21,True,,,,HIGH,,THE MITRE CORPORATION,DMHDNDCPWUD1,MEDIUM ($100M-500M),2009-10-01,1,16,0.0,18
457511610.28,CONT_AWD_W15P7T11CF600_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; IT Services; $100M+; 16 subs; Very active prime; Staffing indicators,90,W15P7T11CF600,FUNDING MONDIFICATION FOR SYSTEMS ENGINEERING SERVICES ON MITRE CONTRACT BASE,2013-09-30,2026-01-21,True,,,,HIGH,,THE MITRE CORPORATION,DMHDNDCPWUD1,MEDIUM ($100M-500M),2010-10-01,1,16,0.0,18
405546114.52,CONT_AWD_W15P7T07CF600_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; IT Services; $100M+; 16 subs; Very active prime; Staffing indicators,90,W15P7T07CF600,SYSTEMS ENGINEERING SERVICES,2009-03-31,2026-01-21,True,,,,HIGH,,THE MITRE CORPORATION,DMHDNDCPWUD1,MEDIUM ($100M-500M),2006-10-23,1,16,0.0,18
9032712307.12,CONT_AWD_F0470102C0002_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $5B+; 13 subs; Very active prime,85,F0470102C0002,200207!000021!5700!CZ62  !SMC/PKJ LOS ANGELES AFB         !F0470102C0002  !A!N! !N!                   !20011116!20070630!872978978!196596688!834951691!N!LOCKHEED MARTIN CORPORATION   !1111 LOCKHEED MARTIN WAY  !SUNNYVALE           !CA!94089!77000!085!06!SUNNYVALE           !SANTA CLARA           !CA,2021-01-31,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORP,CQWLW9XRQTH5,GIANT ($5B-10B),2001-11-16,1,13,0.0,30
7027481120.54,CONT_AWD_FA881018C0005_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $5B+; 13 subs; Very active prime,85,FA881018C0005,NEXT GENERATION OVERHEAD PERSISTENT INFRARED GEOSYNCHRONOUS EARTH ORBIT SPACE VEHICLE 1-3 PHASE 1,2029-07-31,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORP,CQWLW9XRQTH5,GIANT ($5B-10B),2018-08-14,1,13,0.0,30
6100118931.82,CONT_AWD_DASG6000C0072_9700_-NONE-_-NONE-,Department of Defense,Missile Defense Agency,DoD; $5B+; 13 subs; Very active prime,85,DASG6000C0072,"200009!2100!001246!SG60  !USA SPACE AND STRATEGIC DEF CDR !DASG6000C0072  !A!*!0                  !20000628!20080503!188160782!834951691!834951691!N!23917!LOCKHEED MARTIN CORPORATION   !1111 LOCKHEED MARTIN WAY, !SUNNYVALE           !CA!94089!77000!085!06!SUNNYVALE           !SANTA CLARA           !",2014-11-03,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORP,CQWLW9XRQTH5,GIANT ($5B-10B),2000-06-28,1,13,0.0,30
5817859453.93,CONT_AWD_HQ014707C0196_9700_-NONE-_-NONE-,Department of Defense,Missile Defense Agency,DoD; $5B+; 13 subs; Very active prime,85,HQ014707C0196,THAAD COMPONENTS FOR FIRE UNITS,2023-03-31,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORP,CQWLW9XRQTH5,GIANT ($5B-10B),2006-12-22,1,13,0.0,30
3394759309.77,CONT_AWD_FA881008C0002_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $1B+; 13 subs; Very active prime,80,FA881008C0002,GEO-3 AND HEO-3 LONG LEAD,2022-08-31,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORP,CQWLW9XRQTH5,BILLION ($1B-5B),2008-03-14,1,13,0.0,30
2491233025.25,CONT_AWD_FA881013C0001_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; 13 subs; Very active prime,80,FA881013C0001,SBIRS GEO 5&6 ADVANCED PROCUREMENT,2023-02-28,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORP,CQWLW9XRQTH5,BILLION ($1B-5B),2013-02-19,1,13,0.0,30
2193705000.67,CONT_AWD_FA881013C0002_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $1B+; 13 subs; Very active prime,80,FA881013C0002,IGF::OT::IGF SUSTAINMENT SUPPORT FISCAL YEAR 12-16,2025-04-30,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORP,CQWLW9XRQTH5,BILLION ($1B-5B),2013-03-15,1,13,0.0,30
