address_line1,address_line2,alt_poc_email,alt_poc_name,business_types,cage_code,city,country,dba_name,elec_poc_email,elec_poc_name,elec_poc_phone,elec_poc_title,entity_structure,entity_url,govt_poc_email,govt_poc_name,govt_poc_phone,govt_poc_title,legal_business_name,lookup_date,lookup_status,original_agency,original_contract,original_program,parent_company,primary_naics,registration_expiry,registration_status,state,uei,ultimate_parent,vendor_name,zip
2251 Corporate Park Dr Ste 600,,,Angela Whitfield,For Profit Organization; Business or Organization,6YN54,Herndon,USA,,,Shawn Lee,,,,,,Zachary Butcher,,,ManTech TSG-2 Joint Venture,2026-01-20,,Air Force,FA807519FA029,16th Air Force Mission IT Support,,,2026-04-17,Active,VA,V9KKND8S1KJ3,,MANTECH TSG-2 JOINT VENTURE,20171
8135 MAPLE LAWN BLVD STE 450,,,Regina Thyberg,For Profit Organization; Business or Organization; Limited Liability Company,357X1,FULTON,USA,MOSAIC,,Regina Thyberg,,"SVP, Contracts & Legal",,,,Victoria Imre,,President,MOSAIC TECHNOLOGIES GROUP LLC,2026-01-20,,Air Force,FA877319FA023,53rd Air Wing IT/EW Support,,,2026-12-15,Active,MD,K3XCTTC4VDR5,,MOSAIC TECHNOLOGIES GROUP LLC,20759
8610 EXPLORER DR UNIT 305,,,None None,Self Certified Small Disadvantaged Business; For Profit Organization; Business or Organization; Limited Liability Company,77PX1,COLORADO SPRINGS,USA,APOGEE-SAIC CAPABILITIES INTEGRATOR LLC,,Joanne Spring,,VP Finance & Accounting,,,,Michael Haddad,,Director of Contracts,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",2026-01-20,,Air Force,FA251822F0034,Advanced Battle Management System,,,2026-12-14,Active,CO,EMX1P81U9GG5,,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",80920
350 LOWELL ST,,,Sean McKenna,For Profit Organization; Business or Organization; Manufacturer of Goods,05716,ANDOVER,USA,,,James Polley,,,,,,Josephine Fenton,,,RAYTHEON COMPANY,2026-01-20,,Air Force,W31P4Q15C0022,Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,,,2026-08-12,Active,MA,XSV6AZJ6SDJ7,,RAYTHEON COMPANY,01810
1 Lockheed Blvd,,,None None,For Profit Organization; Business or Organization; Manufacturer of Goods,81755,Fort Worth,USA,,,Jennifer Thomas,,,,,,Jennifer Thomas,,,LOCKHEED MARTIN CORPORATION,2026-01-20,,Navy,N0001917C0001,Aegis Ballistic Missile Defense / Aegis Program,,,2027-01-07,Active,TX,G4KDGE4JFFK7,,LOCKHEED MARTIN CORPORATION,76108
1050 BOYLES ST,,,Victoria Coleman,For Profit Organization; Business or Organization,8HTA1,FREDERICK,USA,,,Beverly Hayes,,"Director, Contracts & Acquisitions",,,,Beverly Hayes,,"Director, Contracts & Acquisitions",LEIDOS BIOMEDICAL RESEARCH INC,2026-01-20,,Air Force,HHSN261200800001E,AF National Capital Region IT Support (AFNCR),,,2026-10-22,Active,MD,HV8BH9BPG8Y9,,LEIDOS BIOMEDICAL RESEARCH INC,21702
5575 TECH CENTER DR # 330,,,None None,For Profit Organization; Business or Organization; Limited Liability Company,0M3L7,COLORADO SPRINGS,USA,,,Phil Han,,,,,,Tyler Corson,,,"CACI NSS, LLC",2026-01-20,,Air Force,FA882316C0004,AFCENT SCORPION Cyber Task (ISSO/ISSM Support),,,2026-10-22,Active,CO,L2TTR2QRV8H9,,"CACI NSS, LLC",80919
8283 GREENSBORO DR STE 210,,,Caitlin Kowalski,For Profit Organization; Business or Organization; Limited Liability Company,697P4,MC LEAN,USA,,,Wendy Corbin,,,,,,BRYAN JONES,,,LIBERTY IT SOLUTIONS LLC,2026-01-20,,Air Force,36C10B21N10150056,Air Force Advanced Battle Management System,,,2026-04-23,Active,VA,GLGMWJ8EVMR9,,LIBERTY IT SOLUTIONS LLC,22102
15050 CONFERENCE CENTER DR,,,Szu Yang,For Profit Organization; Business or Organization,6KTD1,CHANTILLY,USA,,,Marion Whitely,,Contracts Associate,,,,Marion Whitely,,Contracts Associate,PERATON TECHNOLOGY SERVICES INC.,2026-01-20,,Army,47QFCA19F0033,ARCYBER Information Advantage / Mission Support (general),,,2026-04-04,Active,VA,CJ38H41QMGA1,,PERATON TECHNOLOGY SERVICES INC.,20151
14370 NEWBROOK DR,,,None None,For Profit Organization; Business or Organization; Limited Liability Company,49DW9,CHANTILLY,USA,,,Phil Han,,,,,,Tyler Corson,,,"CACI-ISS, LLC",2026-01-20,,Army,W15QKN15C0049,Army Backbone Infrastructure Modernization – Task Order 2,,,2026-05-13,Active,VA,EPPXR2P9KYU6,,"CACI-ISS, LLC",20151
1575 S PRICE RD,,,,For Profit Organization; Manufacturer of Goods,8LM16,CHANDLER,,LAUNCH VEHICLES,,,,,,,,,,,NORTHROP GRUMMAN SYSTEMS CORPORATION,2026-01-20,NOT_FOUND,Army,HQ085621C0003,Army Integrated Battle Command System,NORTHROP GRUMMAN SYSTEMS CORPORATION,336414,,,AZ,F9PAEKAAXGB6,NORTHROP GRUMMAN CORPORATION,NORTHROP GRUMMAN SYSTEMS CORPORATION,85286
14370 NEWBROOK DRIVE,,,,For Profit Organization,1QU78,CHANTILLY,,,,,,,,https://www.caci.com/,,,,,"CACI, INC. - FEDERAL",2026-01-20,NOT_FOUND,Army,47QFRA19F0011,Army IT Enterprise Mgmt Systems Solution,CACI INTERNATIONAL INC,541512,,,VA,N3PBJAVNKF61,,"CACI, INC. - FEDERAL",20151
1 SPACE PARK BLVD,,,,,,REDONDO BEACH,,,,,,,,,,,,,TRW INC,2026-01-20,NOT_FOUND,Army,F4261098C0001,Army Missile & Space R&D Support (Huntsville),,,,,CA,TDJLWKKV1GJ3,,TRW INC,90278
1375 SUNFLOWER AVE,,,,For Profit Organization,85LD7,COSTA MESA,,ANDURIL FEDERAL,,,,,,https://www.anduril.com/,,,,,"ANDURIL INDUSTRIES, INC.",2026-01-20,NOT_FOUND,Army,FA882024FB003,Army Next-Gen C2 Prototype,,334511,,,CA,KC3CH2MSK7Q3,,"ANDURIL INDUSTRIES, INC.",92626
5770 S MISSILE WAY,,,,For Profit Organization; Business or Organization; Manufacturer of Goods,8MQW5,ROY,,,,,,,,https://www.northropgrumman.com/,,,,,NORTHROP GRUMMAN SYSTEMS CORP,2026-01-20,NOT_FOUND,Air Force,FA821920C0006,Basic Ordering Agreement – Surge Staffing,NORTHROP GRUMMAN SYSTEMS CORPORATION,541330,,,UT,D8QQPFNYJD63,NORTHROP GRUMMAN CORPORATION,NORTHROP GRUMMAN SYSTEMS CORP,84067
3150 FAIRVIEW PARK DR,,,,For Profit Organization; Business or Organization,07MU1,FALLS CHURCH,,,,,,,,https://www.gdit.com/,,,,,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",2026-01-20,NOT_FOUND,DoD,19AQMM18C0185,Battlefield Info Collection & Exploitation System (BICES-X),GENERAL DYNAMICS GOVERNMENT SYSTEMS CORPORATION,541330,,,VA,SMNWM6HN79X5,GENERAL DYNAMICS CORP,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",22042
1701 W MARSHALL DR,,,,For Profit Organization; Manufacturer of Goods,64059,GRAND PRAIRIE,,LOCKHEED MARTIN MISSILES AND FIRE CONTROL,,,,,,https://www.lockheedmartin.com/,,,,,LOCKHEED MARTIN CORPORATION,2026-01-20,NOT_FOUND,MDA,W31P4Q20C0023,"C2BMC (Command & Control, Battle Mgmt, Comms)",LOCKHEED MARTIN CORP,334511,,,TX,XFJMYSYFJEK4,,LOCKHEED MARTIN CORPORATION,75051
2411 DULLES CORNER PARK #,,,,,,HERNDON,,,,,,,,,,,,,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,2026-01-20,NOT_FOUND,DHS,GST0011AJ0025,CBP Enterprise IT Support,,,,,VA,JER6HDF9APP1,,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,20171
2251 CORPORATE PARK DR,,,,For Profit Organization; Business or Organization,5N741,HERNDON,,,,,,,,https://www.mantech.com/,,,,,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",2026-01-20,NOT_FOUND,DHS,70B04C20F00001357,CBP Traveler Processing & Vetting / BISS,ManTech International Corporation,541512,,,VA,JY2BDT2K58Z6,,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",20171
635 WAVERLEY ST,,,,For Profit Organization,51W88,PALO ALTO,,PALANTIR USG INC,,,,,,,,,,,PALANTIR USG INC,2026-01-20,NOT_FOUND,DoD,W911QX24F0053,CDAO Advanced AI Tools (Scale AI OTA),PALANTIR TECHNOLOGIES INC.,513210,,,CA,HNN4F9JZWDY8,,PALANTIR USG INC,94301
101 CONSTITUTION AVE NW STE 100W,,,,For Profit Organization; Limited Liability Company,67DT3,WASHINGTON,,GOVERNMENT CIO,,,,,,https://www.govcio.com/,,,,,"GOVCIO, LLC",2026-01-20,NOT_FOUND,DoD,36C10B22N10030034,CENTCOM Comms Tech Support V,,541512,,,DC,D84JK2RNL7V4,,"GOVCIO, LLC",20001
15050 CONFERENCE CENTER DR,,,,For Profit Organization; Business or Organization; Limited Liability Company,1U305,CHANTILLY,,,,,,,,https://www.peraton.com/,,,,,PERATON ENTERPRISE SOLUTIONS LLC,2026-01-20,NOT_FOUND,DoD,47QFCA20F0015,CMS Enterprise Cloud Infrastructure Services,PERATON SOLUTIONS INC.,518210,,,VA,MBSRAWAQ9559,,PERATON ENTERPRISE SOLUTIONS LLC,20151
1515 EUBANK SE,,,,For Profit Organization,14213,ALBUQUERQUE,,SANDIA NATIONAL LABORATORIES,,,,,,,,,,,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",2026-01-20,NOT_FOUND,MDA,DEAC0494AL85000,"Command and Control, Battle Management, Communications",HONEYWELL INTERNATIONAL INC.,541715,,,NM,LUJEPCRRT377,,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",87123
8283 Greensboro Dr,,,,For Profit Organization; Business or Organization,17038,McLean,,,,,,,,https://www.boozallen.com/,,,,,BOOZ ALLEN HAMILTON INC,2026-01-20,NOT_FOUND,DISA,47QFCA22F0047,Defense Enterprise Office 365 Migration / DoD365,BOOZ ALLEN HAMILTON HOLDING CORPORATION,541512,,,VA,JCBMLGPE6Z71,,BOOZ ALLEN HAMILTON INC,22102
400 MAIN ST,,,,For Profit Organization; Business or Organization; Manufacturer of Goods,52661,EAST HARTFORD,,,,,,,,,,,,,RTX CORPORATION,2026-01-20,NOT_FOUND,DoD,N0001918C1021,DGFS (RTX),RTX CORPORATION,336412,,,CT,QN1BCFY7JDJ5,,RTX CORPORATION,06118
12975 Worldgate Dr Ste 7322,,,,For Profit Organization; Business or Organization,0HD54,Herndon,,,,,,,,https://www.peraton.com/,,,,,PERATON INC.,2026-01-20,NOT_FOUND,NGA,80GSFC19C0063,DIA EMERALD,PERATON CORP.,541330,,,VA,ZBPQEJVECCT4,,PERATON INC.,20170
700 N FREDERICK AVE LOC B,,,,For Profit Organization; Manufacturer of Goods,3VRH3,GAITHERSBURG,,,,,,,,https://www.lockheedmartin.com/,,,,,LOCKHEED MARTIN CORPORATION,2026-01-20,NOT_FOUND,DIA,NSFDACS1219442,DIA ISEO,,541713,,,MD,NTWCWULE48A8,,LOCKHEED MARTIN CORPORATION,20879
9737 WASHINGTONIAN BLVD,,,,For Profit Organization,7LQ18,GAITHERSBURG,,LEIDOS INNOVATIONS CORPORATION,,,,,,,,,,,"LEIDOS, INC.",2026-01-20,NOT_FOUND,DISA,89243318CFE000003,DISA Global Service Mgmt – Ops II,"Leidos, Inc.",541512,,,MD,MYKLJHTX3MM7,"LEIDOS HOLDINGS, INC.","LEIDOS, INC.",20878
600 William Northern Blvd,,,,For Profit Organization; Business or Organization,07486,Tullahoma,,,,,,,,https://www.amentum.com/,,,,,"AMENTUM TECHNOLOGY, INC.",2026-01-20,NOT_FOUND,DISA,W91CRB20F0448,DISA JWCC – Joint Warfighting Cloud Capability,AMENTUM HOLDINGS LLC,541330,,,TN,H2RGSKWXKHQ5,AMENTUM HOLDINGS INC.,"AMENTUM TECHNOLOGY, INC.",37388
