award_amount,award_id,awarding_agency,awarding_sub_agency,bd_reasons,bd_score,contract_id,description,end_date,extraction_date,is_it_services,naics_code,pop_city,pop_state,priority_tier,psc_code,recipient_name,recipient_uei,size_tier,start_date,sub_recipient_count,subaward_count,subaward_total_value,vendor_prime_count
759925145.33,CONT_AWD_0033_9700_W31P4Q05A0031_9700,Department of Defense,Department of the Army,DoD; IT Services; $500M+; 100 subs; Very active prime; Staffing indicators,115,0033,IGF::OT::IGF BASE AWARD PROFESSIONAL SERVICES.,2019-07-26,2026-01-21,True,,,,HIGH,,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,LARGE ($500M-1B),2012-09-14,1,100,0.0,14
733045506.42,CONT_AWD_HQ027611C0002_9700_-NONE-_-NONE-,Department of Defense,Missile Defense Agency,DoD; IT Services; $500M+; 100 subs; Very active prime; Staffing indicators,115,HQ027611C0002,IN-SERVICE ENGINEERING SUPPORT,2021-12-31,2026-01-21,True,,,,HIGH,,RAYTHEON COMPANY,VTEWM5QSE598,LARGE ($500M-1B),2011-02-28,1,100,0.0,86
589286737.72,CONT_AWD_W91RUS21C0001_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; IT Services; $500M+; 65 subs; Very active prime; Staffing indicators,115,W91RUS21C0001,"OPERATIONS, MAINTENANCE, AND DEFENSE OF ARMY COMMUNICATIONS (OMDAC) IN SOUTHWEST ASIA AND CENTRAL ASIA IN SUPPORT OF THE UNITED STATES NETWORK ENTERPRISE COMMAND (NETCOM).",2026-04-30,2026-01-21,True,,,,HIGH,,VECTRUS SYSTEMS LLC,RRFJZGASZJ41,LARGE ($500M-1B),2020-12-27,1,65,0.0,16
557282087.29,CONT_AWD_FA564115C0001_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; IT Services; $500M+; 65 subs; Very active prime; Staffing indicators,115,FA564115C0001,IGF::OT::IGF BASIC PERIOD-O&M TURKEY/SPAIN LOCATIONS,2021-04-30,2026-01-21,True,,,,HIGH,,VECTRUS SYSTEMS LLC,RRFJZGASZJ41,LARGE ($500M-1B),2014-10-01,1,65,0.0,16
508476696.68,CONT_AWD_W31P4Q21F0033_9700_GS00Q14OADU516_4732,Department of Defense,Department of the Army,DoD; IT Services; $500M+; 100 subs; Very active prime; Staffing indicators,115,W31P4Q21F0033,"SINGLE AWARD TO AGAINST GSA OASIS UR (POOL 5A) FOR  HWIL AVIATION SYSTEMS ENGINEERING SERVICES TO PROVIDE FULL LIFE CYCLE SUPPORT FOR HIGH FIDELITY AVIATION SYSTEM SIMULATORS, HWIL CAPABILITIES, AND ASSOCIATED TEST TOOLS IN SUPPORT OF S3I.",2026-07-05,2026-01-21,True,,,,HIGH,,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,LARGE ($500M-1B),2021-01-06,1,100,0.0,14
755178595.41,CONT_AWD_W56KGU24F0010_9700_W56KGU18D0004_9700,Department of Defense,Department of the Army,DoD; IT Services; $500M+; 16 subs; Very active prime; Staffing indicators,100,W56KGU24F0010,FY25 TASK ORDER 7 - TO PROVIDE SYSTEMS ENGINEERING RESEARCH AND DEVELOPMENT SERVICES FOR THE DEPARTMENT OF DEFENSE (DOD) AND OTHER FEDERAL GOVERNMENT AGENCIES.,2025-12-31,2026-01-21,True,,,,HIGH,,THE MITRE CORPORATION,DMHDNDCPWUD1,LARGE ($500M-1B),2024-10-01,1,16,0.0,18
993773458.0,CONT_AWD_N0001909C0086_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 100 subs; Very active prime,90,N0001909C0086,TIME CRITICAL PARTS (TCP) IN SUPPORT OF EA-18G FRP (LOT 33) AEA KITS,2015-08-31,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,JJM4FRDZJDX1,LARGE ($500M-1B),2008-12-23,1,100,0.0,45
990694528.71,CONT_AWD_N0001919C0016_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 100 subs; Very active prime,90,N0001919C0016,LOT 91 PRODUCTION LONG LEAD ITEMS,2026-06-30,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,JJM4FRDZJDX1,LARGE ($500M-1B),2018-10-30,1,100,0.0,45
987764702.0,CONT_AWD_N0002496C2108_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $500M+; 100 subs; Very active prime,90,N0002496C2108,200610!000131!1700!N62789!SUPERVISOR SHIPBUILDING CONVERSI!N0002496C2108  !A!N! !N!             !A01182!20060728!20041208!963737366!963737366!001381284!N!ELECTRIC BOAT CORPORATION     !75 EASTERN POINT RD       !GROTON              !CT!06340!34180!011!09!GROTON              !NEW LONDON            !C,2015-08-26,2026-01-21,False,,,,HIGH,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,LARGE ($500M-1B),1996-06-15,1,100,0.0,28
977007863.58,CONT_AWD_W31P4Q10C0002_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $500M+; 100 subs; Very active prime,90,W31P4Q10C0002,PAC-3 FY10 PRODUCTIO,2017-05-17,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,LARGE ($500M-1B),2009-12-30,1,100,0.0,42
