award_amount,award_id,awarding_agency,awarding_sub_agency,bd_reasons,bd_score,contract_id,description,end_date,extraction_date,is_it_services,naics_code,pop_city,pop_state,priority_tier,psc_code,recipient_name,recipient_uei,size_tier,start_date,sub_recipient_count,subaward_count,subaward_total_value,vendor_prime_count
491477684.0,CONT_AWD_N0002409C2101_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; IT Services; $100M+; 100 subs; Very active prime; Staffing indicators,105,N0002409C2101,"DESIGN, ENGINEERING AND TECHNICAL SUPPORT FOR ACTIVE NUCLEAR SUBMARINES.",2011-03-31,2026-01-21,True,,,,HIGH,,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,MEDIUM ($100M-500M),2008-10-01,1,100,0.0,28
441783778.01,CONT_AWD_DAAE0796CX195_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; IT Services; $100M+; 60 subs; Very active prime; Staffing indicators,105,DAAE0796CX195,ABRAMS TANK PROGRAM SYSTEM TECHNICAL SUPPORT (STS),2008-09-30,2026-01-21,True,,,,HIGH,,GENERAL DYNAMICS LAND SYSTEMS INC.,HAWKSQF848W7,MEDIUM ($100M-500M),1996-09-25,1,60,0.0,35
390589410.94,CONT_AWD_0001_9700_W31P4Q18A0011_9700,Department of Defense,Department of the Army,DoD; IT Services; $100M+; 100 subs; Very active prime; Staffing indicators,105,0001,SYSTEMS ENGINEERING SUPPORT OF ADVANCED EXPERIMENTATION AND FORCE PROTECTION LIFECYCLE MODELING&SIMULATION,2022-09-20,2026-01-21,True,,,,HIGH,,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,MEDIUM ($100M-500M),2018-06-01,1,100,0.0,14
483202632.02,CONT_AWD_N0002416C5144_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; IT Services; $100M+; 100 subs; Active prime; Staffing indicators,100,N0002416C5144,"FMS AND US AEGIS PRODUCTION (FCS AND SPY TRANSMITTER), PTC SUPPORT, AND ENGINEERING SUPPORT REQUIREMENTS.",2027-12-31,2026-01-21,True,,,,HIGH,,RAYTHEON COMPANY,YD6LTFVUZNG1,MEDIUM ($100M-500M),2016-05-27,1,100,0.0,8
486573111.77,CONT_AWD_W31P4Q23C0008_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; IT Services; $100M+; 100 subs; Staffing indicators,90,W31P4Q23C0008,"THIS UCA IS FOR A PARTIAL STATEMENT OF WORK (SOW) SCOPE LIMITED TO PROCURING LONG LEAD ITEMS (LLI), PROGRAM MANAGEMENT, AND SYSTEMS ENGINEERING ASSOCIATED WITH BATTERY 2 FOR A SIX-MONTH PERIOD OF PERFORMANCE.",2028-02-28,2026-01-21,True,,,,HIGH,,LOCKHEED MARTIN CORPORATION,NGBVY5X32XZ5,MEDIUM ($100M-500M),2023-02-28,1,100,0.0,2
458265556.36,CONT_AWD_W15P7T10CF600_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; IT Services; $100M+; 16 subs; Very active prime; Staffing indicators,90,W15P7T10CF600,FUNDING FOR SECOND YEAR OPTION PERIOD FOR SYSTEMS ENGINEERING SERVICES - MITRE,2011-09-30,2026-01-21,True,,,,HIGH,,THE MITRE CORPORATION,DMHDNDCPWUD1,MEDIUM ($100M-500M),2009-10-01,1,16,0.0,18
457511610.28,CONT_AWD_W15P7T11CF600_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; IT Services; $100M+; 16 subs; Very active prime; Staffing indicators,90,W15P7T11CF600,FUNDING MONDIFICATION FOR SYSTEMS ENGINEERING SERVICES ON MITRE CONTRACT BASE,2013-09-30,2026-01-21,True,,,,HIGH,,THE MITRE CORPORATION,DMHDNDCPWUD1,MEDIUM ($100M-500M),2010-10-01,1,16,0.0,18
405546114.52,CONT_AWD_W15P7T07CF600_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; IT Services; $100M+; 16 subs; Very active prime; Staffing indicators,90,W15P7T07CF600,SYSTEMS ENGINEERING SERVICES,2009-03-31,2026-01-21,True,,,,HIGH,,THE MITRE CORPORATION,DMHDNDCPWUD1,MEDIUM ($100M-500M),2006-10-23,1,16,0.0,18
497271405.3,CONT_AWD_N0001916C0003_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $100M+; 100 subs; Very active prime,80,N0001916C0003,H-1 PROGRAM LOT 14 AAC,2020-12-17,2026-01-21,False,,,,HIGH,,BELL TEXTRON INC,N5QUZAYGPKM3,MEDIUM ($100M-500M),2016-03-01,1,100,0.0,14
496726058.67,CONT_AWD_FA881108C0005_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $100M+; 75 subs; Very active prime,80,FA881108C0005,DELTA IV LAUNCH SERVICE CONTRACT-,2013-04-30,2026-01-21,False,,,,HIGH,,"UNITED LAUNCH SERVICES, LLC",XHAMULHCL9N3,MEDIUM ($100M-500M),2008-01-24,1,75,0.0,11
494671675.22,CONT_AWD_0031_9700_F3365702D0009_9700,Department of Defense,Department of the Air Force,DoD; $100M+; 100 subs; Very active prime,80,0031,"SPIRAL 3A, PHASES C-D, DEVELOPMENT INTEGRATION & TEST",2011-12-31,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,MEDIUM ($100M-500M),2006-12-22,1,100,0.0,87
491828296.0,CONT_AWD_W31P4Q05C0221_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $100M+; 100 subs; Very active prime,80,W31P4Q05C0221,200603!000051!2100!W31P4Q!USA AVIATION AND MISSILE COMMAND!W31P4Q05C0221  !A!N! !N!             !      !20051207!20071031!941092306!941092306!941092306!N!HELLFIRE SYSTEMS LIMITED LIABI!5600 WEST SAND LAKE ROAD  !ORLANDO             !FL!32819!53000!095!12!ORLANDO             !ORANGE                !F,2013-02-28,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,H7PNSVNN5827,MEDIUM ($100M-500M),2005-12-07,1,100,0.0,23
491462649.19,CONT_AWD_0022_9700_HQ000604D0006_9700,Department of Defense,Missile Defense Agency,DoD; $100M+; 100 subs; Very active prime,80,0022,PROCUREMENT LOTS,2017-06-30,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORP,FYHNA5WC8XD7,MEDIUM ($100M-500M),2008-10-16,1,100,0.0,10
490825789.0,CONT_AWD_W58RGZ24C0031_9700_-NONE-_-NONE-,Department of Defense,Department of the Army,DoD; $100M+; 100 subs; Very active prime,80,W58RGZ24C0031,GRAY EAGLE PERFORMANCE BASED LOGISTICS 2024-2029,2027-09-30,2026-01-21,False,,,,HIGH,,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",ZH4NVFG3Z526,MEDIUM ($100M-500M),2024-04-23,1,100,0.0,15
489632485.83,CONT_AWD_0003_9700_W56HZV18D0012_9700,Department of Defense,Department of the Army,DoD; $100M+; 60 subs; Very active prime,80,0003,"THREE-YEAR REQUIREMENTS CONTRACT, FOR THE UPGRADE OF UP TO 786 M1A1 CONFIGURED ABRAMS VEHICLES.  THE DOMESTIC VEHICLES WILL BE UPGRADED TO NEWLY CONFIGURED ABRAMS M1A2 SYSTEM ENHANCEMENT PACKAGE VERSION 3 (SEPV3).  THE CONTRACTOR WILL BE INSTALLING AND INTEGRATING SEPV3 TECHNOLOGIES (HARDWARE AND SO",2023-03-31,2026-01-21,False,,,,HIGH,,GENERAL DYNAMICS LAND SYSTEMS INC.,HAWKSQF848W7,MEDIUM ($100M-500M),2017-12-22,1,60,0.0,35
489286381.9,CONT_AWD_N0003011C0005_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $100M+; 100 subs; Very active prime,80,N0003011C0005,UK FUNDING,2011-09-30,2026-01-21,False,,,,HIGH,,"THE CHARLES STARK DRAPER LABORATORY, INC.",GTJHZE4M7YK1,MEDIUM ($100M-500M),2010-10-01,1,100,0.0,10
487763101.0,CONT_AWD_N0002409C5110_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $100M+; 100 subs; Very active prime,80,N0002409C5110,MATERIAL AND OTHER DIRECT COSTS (ODCS) IN SUPPORT OF ENGINEERING SERVICES LINE ITEMS,2020-08-06,2026-01-21,False,,,,HIGH,,LOCKHEED MARTIN CORPORATION,CWM4UN76ZQW8,MEDIUM ($100M-500M),2009-09-21,1,100,0.0,32
484423327.19,CONT_AWD_W912CH24F0170_9700_W912CH24D0016_9700,Department of Defense,Department of the Army,DoD; $100M+; 100 subs; Very active prime,80,W912CH24F0170,PRODUCTION AND SUPPORT EFFORTS FOR 40 SELF PROPELLED HOWITZER SYSTEM VEHICLE SETS,2027-09-30,2026-01-21,False,,,,HIGH,,BAE SYSTEMS LAND & ARMAMENTS L.P.,DMHSJF9K3XP9,MEDIUM ($100M-500M),2024-07-03,1,100,0.0,22
482217163.5,CONT_AWD_N0002418C5406_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $100M+; 100 subs; Very active prime,80,N0002418C5406,"FY18 PRODUCTION FOR CLOSE-IN WEAPON SYSTEM REQUIREMENTS INCLUDING USN, ARMY, AND FMS CUSTOMERS.",2024-11-15,2026-01-21,False,,,,HIGH,,RAYTHEON COMPANY,VTEWM5QSE598,MEDIUM ($100M-500M),2018-09-27,1,100,0.0,86
480859855.0,CONT_AWD_FA812420F0001_9700_FA812418D0001_9700,Department of Defense,Defense Contract Management Agency,DoD; $100M+; 100 subs; Very active prime,80,FA812420F0001,F117,2022-12-31,2026-01-21,False,,,,HIGH,,RTX CORPORATION,QN1BCFY7JDJ5,MEDIUM ($100M-500M),2019-10-04,1,100,0.0,41
