award_amount,award_id,awarding_agency,awarding_sub_agency,bd_reasons,bd_score,contract_id,description,end_date,extraction_date,is_it_services,naics_code,pop_city,pop_state,priority_tier,psc_code,recipient_name,recipient_uei,size_tier,start_date,sub_recipient_count,subaward_count,subaward_total_value,vendor_prime_count
11086769499.68,CONT_AWD_FA861404C2004_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $10B+; 5 subs; Very active prime,85,FA861404C2004,,2017-10-31,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,UEGFHX6R6KJ1,MEGA ($10B+),2003-10-02,1,5,0.0,20
10006765405.42,CONT_AWD_F3365702C2001_9700_-NONE-_-NONE-,Department of Defense,Department of the Air Force,DoD; $10B+; 5 subs; Very active prime,85,F3365702C2001,,2020-12-11,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,UEGFHX6R6KJ1,MEGA ($10B+),2002-08-15,1,5,0.0,20
8338684281.49,CONT_AWD_F3365796C2059_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $5B+; 5 subs; Very active prime,80,F3365796C2059,,2004-11-30,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,UEGFHX6R6KJ1,GIANT ($5B-10B),2000-01-31,1,5,0.0,20
7052768924.82,CONT_AWD_DAAE0703CS023_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $5B+; 7 subs; Active prime,75,DAAE0703CS023,200502!000833!2100!W56HZV!TACOM - WARREN                  !DAAE0703CS023  !A!N! !N!             !P00031!20041101!20081115!557414000!557414000!007932783!N!STEWART & STEVENSON TACTICAL V!5000 INTERSTATE 10 HWY    !SEALY               !TX!77474!66464!015!48!SEALY               !AUSTIN                !T,2009-11-30,2026-01-21,False,,,,HIGH,,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,MJBJKUMUNBY7,GIANT ($5B-10B),2003-04-17,1,7,0.0,7
3376284837.0,CONT_AWD_N0002419C2114_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; 8 subs; Very active prime,75,N0002419C2114,NAVAL REACTORS,2032-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,BILLION ($1B-5B),2018-11-30,1,8,0.0,24
3004573964.0,CONT_AWD_N0002419C2115_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; 8 subs; Very active prime,75,N0002419C2115,S1B,2033-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,BILLION ($1B-5B),2018-11-30,1,8,0.0,24
2708595970.0,CONT_AWD_N0002416C2106_9700_-NONE-_-NONE-,Department of Defense,Department of the Navy,DoD; $1B+; 8 subs; Very active prime,75,N0002416C2106,NAVAL REACTORS,2033-09-30,2026-01-21,False,,,,HIGH,,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,BILLION ($1B-5B),2015-12-30,1,8,0.0,24
2331851656.36,CONT_AWD_0003_9700_FA861406D2006_9700,Department of Defense,Defense Contract Management Agency,DoD; $1B+; 5 subs; Very active prime,75,0003,PRODUCTION OF C-17 AIRCRAFT,2010-11-17,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,UEGFHX6R6KJ1,BILLION ($1B-5B),2009-02-06,1,5,0.0,20
2284553526.94,CONT_AWD_F3365701C2002_9700_-NONE-_-NONE-,Department of Defense,Defense Contract Management Agency,DoD; $1B+; 5 subs; Very active prime,75,F3365701C2002,"200106!000014!5700!GU30  !ASC/YCK                         !F3365701C2002  !A!N!*!N!                   !20001130!20050930!781650619!781650619!009256819!N!MCDONNELL DOUGLAS CORPORATION,!2401 E  WARDLOW ROAD      !LONG BEACH          !CA!90807!43000!037!06!LONG BEACH          !LOS ANGELES           !CA",2015-12-03,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,UEGFHX6R6KJ1,BILLION ($1B-5B),2000-11-30,1,5,0.0,20
2137798590.75,CONT_AWD_0009_9700_FA861406D2006_9700,Department of Defense,Defense Contract Management Agency,DoD; $1B+; 5 subs; Very active prime,75,0009,UCA FOR10 INDIA C-17 AIRCRAFT,2016-11-19,2026-01-21,False,,,,HIGH,,THE BOEING COMPANY,UEGFHX6R6KJ1,BILLION ($1B-5B),2012-02-02,1,5,0.0,20
