UEI,Vendor Name,Contract Number,Program Name,Agency,City,State
V9KKND8S1KJ3,MANTECH TSG-2 JOINT VENTURE,FA807519FA029,16th Air Force Mission IT Support,Air Force,QUANTICO,VIRGINIA
K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,FA877319FA023,53rd Air Wing IT/EW Support,Air Force,SAN ANTONIO,TEXAS
EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",FA251822F0034,Advanced Battle Management System,Air Force,COLORADO SPRINGS,COLORADO
XSV6AZJ6SDJ7,RAYTHEON COMPANY,W31P4Q15C0022,Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,Air Force,ANDOVER,MASSACHUSETTS
G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,N0001917C0001,Aegis Ballistic Missile Defense / Aegis Program,Navy,FORT WORTH,TEXAS
HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,HHSN261200800001E,AF National Capital Region IT Support (AFNCR),Air Force,FREDERICK,MARYLAND
L2TTR2QRV8H9,"CACI NSS, LLC",FA882316C0004,AFCENT SCORPION Cyber Task (ISSO/ISSM Support),Air Force,COLORADO SPRINGS,COLORADO
GLGMWJ8EVMR9,LIBERTY IT SOLUTIONS LLC,36C10B21N10150056,Air Force Advanced Battle Management System,Air Force,HERNDON,VIRGINIA
CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,47QFCA19F0033,ARCYBER Information Advantage / Mission Support (general),Army,FORT GEORGE G MEADE,MARYLAND
EPPXR2P9KYU6,"CACI-ISS, LLC",W15QKN15C0049,Army Backbone Infrastructure Modernization – Task Order 2,Army,CHANTILLY,VIRGINIA
F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,HQ085621C0003,Army Integrated Battle Command System,Army,CHANDLER,ARIZONA
N3PBJAVNKF61,"CACI, INC. - FEDERAL",47QFRA19F0011,Army IT Enterprise Mgmt Systems Solution,Army,ARLINGTON,VIRGINIA
TDJLWKKV1GJ3,TRW INC,F4261098C0001,Army Missile & Space R&D Support (Huntsville),Army,ROY,UTAH
KC3CH2MSK7Q3,"ANDURIL INDUSTRIES, INC.",FA882024FB003,Army Next-Gen C2 Prototype,Army,COSTA MESA,CALIFORNIA
D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA821920C0006,Basic Ordering Agreement – Surge Staffing,Air Force,ROY,UTAH
SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",19AQMM18C0185,Battlefield Info Collection & Exploitation System (BICES-X),DoD,SPRINGFIELD,VIRGINIA
XFJMYSYFJEK4,LOCKHEED MARTIN CORPORATION,W31P4Q20C0023,"C2BMC (Command & Control, Battle Mgmt, Comms)",MDA,GRAND PRAIRIE,TEXAS
JER6HDF9APP1,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,GST0011AJ0025,CBP Enterprise IT Support,DHS,MC LEAN,VIRGINIA
JY2BDT2K58Z6,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",70B04C20F00001357,CBP Traveler Processing & Vetting / BISS,DHS,HERNDON,VIRGINIA
HNN4F9JZWDY8,PALANTIR USG INC,W911QX24F0053,CDAO Advanced AI Tools (Scale AI OTA),DoD,PALO ALTO,CALIFORNIA
D84JK2RNL7V4,"GOVCIO, LLC",36C10B22N10030034,CENTCOM Comms Tech Support V,DoD,COLUMBIA,MARYLAND
MBSRAWAQ9559,PERATON ENTERPRISE SOLUTIONS LLC,47QFCA20F0015,CMS Enterprise Cloud Infrastructure Services,DoD,HERNDON,VIRGINIA
