Job_Number,Job_Title,Prime_Contractor,Program_Contract,Placements,Submissions_2025,Interviews,Status,Priority,Notes
#8513,All Source Intel Analyst,Northrop Grumman,Intel/SIGINT Programs,7,50+,15+,Evergreen,HIGH,Flagship program - likely INSCOM or DIA support
#9213,Full Stack Developer,Northrop Grumman,Software Development,2,28,4,Active,HIGH,High volume low conversion
#8878,FSE,SAIC,Field Service Support,5,28,12,Active,HIGH,Core SAIC program - DoD installations
#8575,INFOSEC,SAIC,Cybersecurity Programs,3,17,3,Active,HIGH,Security cleared
#8535,Sr Network Engineer,Cisco Systems,Network Engineering,0,16,8,Active,CRITICAL,No placements - needs fix
#8407,Electrical Engineer,SAIC,Engineering Support,4,14,4,Active,MEDIUM,Steady program
#8842,System Administrator,Northrop Grumman,IT Infrastructure,0,11,4,Active,MEDIUM,Growing pipeline
#8520,Systems Engineer,Northrop Grumman,C2PC / FAAD C2 / GCCS,0,12,3,Active,HIGH,Hot interviews - C2 systems
#8251,Windows Systems Administrator,Lockheed Martin,IT Infrastructure,3,7,2,Active,MEDIUM,Established
#9173,ISSO,Northrop Grumman,ISSO/Security Programs,1,5,3,Active,MEDIUM,Security focus
#9364,Sys Admin,Northrop Grumman,IT Infrastructure,0,5,1,HOT,HIGH,Interview 01/16
#9196,Model Based System Engineer,Northrop Grumman,IBCS / C2 Programs,0,5,2,HOT,HIGH,Multiple interviews - MBSE work
#9194,Systems Engineer,Northrop Grumman,C2PC / FAAD C2,2,8,2,Active,HIGH,Recent placements - C2 work
#8557,Community Engagement Specialist,GDIT,Community Engagement,2,6,2,Active,MEDIUM,Established
#9178,Help Desk,Northrop Grumman,IT Support,0,6,0,Pipeline,LOW,Needs interviews
#8376,Devops Engineer,Northrop Grumman,DevOps/Cloud,1,4,2,Active,MEDIUM,Established
#8544,Devops Engineer,Northrop Grumman,DevOps/Cloud,1,4,2,Active,MEDIUM,Established
#6627,BICES Senior Network Engineer,GDIT,BICES,0,8,1,Historical,MEDIUM,TS/SCI Norfolk - Battlefield Info Collection
#9192,SSR,SAIC,Security Support,1,3,1,Complete,LOW,Placement made
#9067,Systems Engineer,Northrop Grumman,C2 Programs,0,3,1,Active,MEDIUM,Interview pending
#9157,Software Engineer,Northrop Grumman,Software Development,0,3,0,Pipeline,MEDIUM,Needs push
#8322,Datacenter Technician,Vision Technologies,Datacenter Operations,2,9,2,Active,LOW,Maintenance
#8334,AV Field Engineer,Vision Technologies,AV Support,0,2,0,Pipeline,LOW,Limited activity
#8291,Firmware Engineer,Leidos,Firmware Engineering,1,1,1,Complete,LOW,Historical
#8388,FPGA Engineer,Leidos,FPGA Development,0,2,0,Pipeline,LOW,Limited activity
#8596,Policy Analyst,SAIC,Policy/Compliance,0,2,0,Pipeline,LOW,New
#8680,ESL Systems Engineer,Northrop Grumman,ESL (Electronic Systems Lab),1,1,1,Complete,MEDIUM,Placement made - confirmed program
#8529,Systems Engineer,Northrop Grumman,Systems Engineering,1,1,1,Complete,LOW,Placement made
#8809,Systems Engineer,Northrop Grumman,C2 Programs,0,1,0,Pipeline,LOW,New
#8822,Systems Engineer,Modern Technology Solutions,Unknown,0,1,0,Pipeline,LOW,New prime
#9172,Software Engineer,Northrop Grumman,Software Development,0,1,0,Pipeline,LOW,New
#9197,Devops Engineer,Northrop Grumman,DevOps/Cloud,0,1,0,Pipeline,LOW,New
#9284,Software Engineer,Northrop Grumman,Software Development,0,2,0,Pipeline,LOW,New
#7621,Network Administrator Mid,GDIT,BICES,0,3,0,Historical,LOW,BICES program
#8514,SCI Specialist,SAIC,SCI Programs,0,1,0,Historical,LOW,One-off - compartmented
#8521,Specialist Security Representative,SAIC,Security Services,0,4,0,Historical,LOW,Limited
,,,,,,,,,
USER_CONFIRMED_PROGRAMS,,,,,,,,,
C2PC,Command & Control Personal Computer,Northrop Grumman,C2PC,N/A,N/A,N/A,CONFIRMED,HIGH,User confirmed from NGC: C2 notes
FAAD_C2,Forward Area Air Defense C2,Northrop Grumman,FAAD C2,N/A,N/A,N/A,CONFIRMED,HIGH,User confirmed from NGC: C2 notes
,,,,,,,,,
INFERRED_PROGRAMS_NEEDING_VERIFICATION,,,,,,,,,
IBCS,Integrated Battle Command System,Northrop Grumman,IBCS,N/A,N/A,N/A,INFERRED,HIGH,Likely for MBSE roles
ESL,Electronic Systems Lab,Northrop Grumman,ESL,N/A,N/A,N/A,CONFIRMED,HIGH,In job title #8680
BICES,Battlefield Info Collection,GDIT,BICES,N/A,N/A,N/A,CONFIRMED,HIGH,In job titles #6627 #7621
GCCS-J,Global Command Control System,Multiple,GCCS-J,N/A,N/A,N/A,INFERRED,MEDIUM,Common C2 program
