Job Source,Job Number,Job Title,Job Location,Security Clearance,Matched Programs,Prime Contractors,Program Locations,Target Titles (Bullhorn),Search Keywords (ZoomInfo),LinkedIn Search,Match Score,Match Reasons
Apex Systems,3012968,Software Developer Advisor,"Bossier City, LA",active secret clearance,DTRA IAC-MAC Research & Analysis; NARSIL – Advanced Research for System Intelligence & Learning,Peraton; CACI,"HERNDON, VIRGINIA; RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Software Developer Advisor, active secret clearance, federal contractor","""Engineering Manager"" AND (Peraton OR CACI) AND (Bossier City)",4,"Keywords: research, analysis"
Apex Systems,3013041,Information Systems Security Officer,"Tyndall Air Force Base, FL",Active Secret Security Clearance or higher,AFCENT SCORPION Cyber Task (ISSO/ISSM Support); DIA Information Systems Engineering Office; Intelligence Systems Enterprise Operations,Leidos; CACI,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","Information Systems Security Officer, Active Secret Security Clearance or higher, federal contractor","""Hiring Manager"" AND (Leidos OR CACI) AND (Tyndall Air Force Base)",6,"Keywords: isso, cyber, issm"
Apex Systems,3013125,Security Control Assessor,"Arlington, VA",,Army IT Enterprise Mgmt Systems Solution; CISA Enterprise Support (CACI); DIA Battlefield Information Networks / BICES-X,CACI,"ARLINGTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","Security Control Assessor, None, federal contractor","""Hiring Manager"" AND (CACI) AND (Arlington)",12,"Keywords: enterprise, systems; State: VA; City: ARLINGTON"
Apex Systems,3014010,EVMS Lead Program Control Consultant,"Herndon, VA",,Air Force Advanced Battle Management System; NASA SENSE (Space Comms & Tracking); NGA Enterprise Engineering,"Peraton; Multiple: SAIC, Leidos, Booz Allen Hamilton; Peraton (Perspecta heritage)","HERNDON, VIRGINIA","Director, VP, Senior Manager, Program Director","EVMS Lead Program Control Consultant, None, federal contractor","""Director"" AND (Peraton OR Multiple: SAIC, Leidos, Booz Allen Hamilton) AND (Herndon)",10,Keywords: management; State: VA; City: HERNDON
Apex Systems,3014247,Project Management Consultant-Level 3 - Senior (11 - 15 Years),"Juno Beach, FL",,"SITEC III – Enterprise Operations & Maintenance; Command and Control, Battle Management & Communications (MDA); Command and Control, Battle Management, Communications",Peraton; Lockheed Martin; Northrop Grumman,"TAMPA, FLORIDA; CHANDLER, ARIZONA","Hiring Manager, Program Manager, Team Lead, Recruiter","Project Management Consultant-Level 3 - Senior (11 - 15 Years), None, federal contractor","""Hiring Manager"" AND (Peraton OR Northrop Grumman) AND (Juno Beach)",5,Keywords: maintenance; State: FL
Apex Systems,3013295,.NET Developer - Placement,"Washington, VA",,Integrated Base Defense Security System; Justified SAP Security Contract (Hanscom/Bolling); Mission Partner Environment (Field Ops / MPCO),Booz Allen Hamilton; GDIT; Leidos,"WASHINGTON, DISTRICT OF COLUMBIA; SPRINGFIELD, VIRGINIA; RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",".NET Developer - Placement, None, federal contractor","""Engineering Manager"" AND (Booz Allen Hamilton OR Leidos) AND (Washington)",7,"Keywords: security, defense; State: VA"
Apex Systems,3015483,Sr Business Systems Analyst (PPBE),"Washington, VA",,HHS Advanced Secure Data Repository; Justified SAP Security Contract (Hanscom/Bolling); Mission Partner Environment (Field Ops / MPCO),Booz Allen Hamilton; GDIT; GDIT / SAIC (indicative),"WASHINGTON, DISTRICT OF COLUMBIA; SPRINGFIELD, VIRGINIA","Analytics Manager, Program Manager, Team Lead, Hiring Manager","Sr Business Systems Analyst (PPBE), None, federal contractor","""Analytics Manager"" AND (Booz Allen Hamilton OR GDIT / SAIC (indicative)) AND (Washington)",7,"Keywords: data, advanced; State: VA"
Apex Systems,3014403,Ops Tech II,"St. Louis, MO",,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Business Operations & Analytics; DIA Battlefield Information Networks / BICES-X",Northrop Grumman; CACI; Leidos,"ROY, UTAH; ARLINGTON, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","Ops Tech II, None, federal contractor","""Hiring Manager"" AND (Northrop Grumman OR Leidos) AND (St. Louis)",6,"Keywords: transport, service, network"
Apex Systems,3015532,Sr Systems Administrator,"Reston, VA",,Integrated Base Defense Security System; DTRA Integrated IT Support Services; DTRA Integrated IT Support Services,Leidos,"RESTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","Sr Systems Administrator, None, federal contractor","""Hiring Manager"" AND (Leidos) AND (Reston)",12,"Keywords: system, security; State: VA; City: RESTON"
Apex Systems,3016673,Communications Network Engineer Mid (Norfolk),"Norfolk, VA",,Integrated Base Defense Security System; Army Integrated Battle Command System Support; Army IT Enterprise Mgmt Systems Solution,Northrop Grumman (prime); CACI (support); CACI; Leidos,"CHANTILLY, VIRGINIA; ARLINGTON, VIRGINIA; RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Communications Network Engineer Mid (Norfolk), None, federal contractor","""Engineering Manager"" AND (Northrop Grumman (prime); CACI (support) OR Leidos) AND (Norfolk)",9,"Keywords: base, security, integrated; State: VA"
Apex Systems,3016779,Network Security Engineer,"Arlington, VA",,Data Center & Cloud Optimization; DIA SITE III IDIQ; Army IT Enterprise Mgmt Systems Solution,"Peraton / Leidos (indicative); Leidos, CACI, others; CACI","MC LEAN, VIRGINIA; ARLINGTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Network Security Engineer, None, federal contractor","""Engineering Manager"" AND (Peraton / Leidos (indicative) OR Leidos, CACI, others) AND (Arlington)",11,"Keywords: center, data, cloud; State: VA"
Apex Systems,3017458,Siemens OpsCenter Solutions Architect,"Norfolk, VA",,Integrated Base Defense Security System; Air Force Advanced Battle Management System; Army Integrated Battle Command System Support,"Northrop Grumman (prime); CACI (support); Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","HERNDON, VIRGINIA; CHANTILLY, VIRGINIA; RESTON, VIRGINIA","Chief Architect, Technical Director, Engineering VP, CTO","Siemens OpsCenter Solutions Architect, None, federal contractor","""Chief Architect"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR Leidos) AND (Norfolk)",9,"Keywords: system, security, defense; State: VA"
Apex Systems,3017552,Network Switching Design Engineer Sr-Camp Lejeune,"Jacksonville, NC",,"Integrated Base Defense Security System; DIA Information Systems Engineering Office; EDIS – Engineering, Development, Integration & Sustainment",SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO; RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Network Switching Design Engineer Sr-Camp Lejeune, None, federal contractor","""Engineering Manager"" AND (Leidos) AND (Jacksonville)",8,"Keywords: system, base, security"
Apex Systems,3018016,Microsoft Systems Engineer,"North Charleston, SC",,Defense Enterprise Office Solutions; Intelligence Systems Enterprise Operations; Advanced Battle Management System,Multi (SAIC supports parts); Leidos; CSRA / Leidos (team),"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","Microsoft Systems Engineer, None, federal contractor","""Engineering Manager"" AND (Leidos OR CSRA / Leidos (team)) AND (North Charleston)",6,"Keywords: solutions, defense, enterprise"
