Job Number,Job Title,Job Location,Prime Contractors,Search Keywords (ZoomInfo),LinkedIn Search,Match Score
3012968,Software Developer Advisor,"Bossier City, LA",Peraton; CACI,"Software Developer Advisor, active secret clearance, federal contractor","""Engineering Manager"" AND (Peraton OR CACI) AND (Bossier City)",4
3013041,Information Systems Security Officer,"Tyndall Air Force Base, FL",Leidos; CACI,"Information Systems Security Officer, Active Secret Security Clearance or higher, federal contractor","""Hiring Manager"" AND (Leidos OR CACI) AND (Tyndall Air Force Base)",6
3013125,Security Control Assessor,"Arlington, VA",CACI,"Security Control Assessor, None, federal contractor","""Hiring Manager"" AND (CACI) AND (Arlington)",12
3014010,EVMS Lead Program Control Consultant,"Herndon, VA","Peraton; Multiple: SAIC, Leidos, Booz Allen Hamilton; Peraton (Perspecta heritage)","EVMS Lead Program Control Consultant, None, federal contractor","""Director"" AND (Peraton OR Multiple: SAIC, Leidos, Booz Allen Hamilton) AND (Herndon)",10
3014247,Project Management Consultant-Level 3 - Senior (11 - 15 Years),"Juno Beach, FL",Peraton; Lockheed Martin; Northrop Grumman,"Project Management Consultant-Level 3 - Senior (11 - 15 Years), None, federal contractor","""Hiring Manager"" AND (Peraton OR Northrop Grumman) AND (Juno Beach)",5
3013295,.NET Developer - Placement,"Washington, VA",Booz Allen Hamilton; GDIT; Leidos,".NET Developer - Placement, None, federal contractor","""Engineering Manager"" AND (Booz Allen Hamilton OR Leidos) AND (Washington)",7
3015483,Sr Business Systems Analyst (PPBE),"Washington, VA",Booz Allen Hamilton; GDIT; GDIT / SAIC (indicative),"Sr Business Systems Analyst (PPBE), None, federal contractor","""Analytics Manager"" AND (Booz Allen Hamilton OR GDIT / SAIC (indicative)) AND (Washington)",7
3014403,Ops Tech II,"St. Louis, MO",Northrop Grumman; CACI; Leidos,"Ops Tech II, None, federal contractor","""Hiring Manager"" AND (Northrop Grumman OR Leidos) AND (St. Louis)",6
3015532,Sr Systems Administrator,"Reston, VA",Leidos,"Sr Systems Administrator, None, federal contractor","""Hiring Manager"" AND (Leidos) AND (Reston)",12
3016673,Communications Network Engineer Mid (Norfolk),"Norfolk, VA",Northrop Grumman (prime); CACI (support); CACI; Leidos,"Communications Network Engineer Mid (Norfolk), None, federal contractor","""Engineering Manager"" AND (Northrop Grumman (prime); CACI (support) OR Leidos) AND (Norfolk)",9
3016779,Network Security Engineer,"Arlington, VA","Peraton / Leidos (indicative); Leidos, CACI, others; CACI","Network Security Engineer, None, federal contractor","""Engineering Manager"" AND (Peraton / Leidos (indicative) OR Leidos, CACI, others) AND (Arlington)",11
3017458,Siemens OpsCenter Solutions Architect,"Norfolk, VA","Northrop Grumman (prime); CACI (support); Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","Siemens OpsCenter Solutions Architect, None, federal contractor","""Chief Architect"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR Leidos) AND (Norfolk)",9
3017552,Network Switching Design Engineer Sr-Camp Lejeune,"Jacksonville, NC",SAIC; Leidos,"Network Switching Design Engineer Sr-Camp Lejeune, None, federal contractor","""Engineering Manager"" AND (Leidos) AND (Jacksonville)",8
3018016,Microsoft Systems Engineer,"North Charleston, SC",Multi (SAIC supports parts); Leidos; CSRA / Leidos (team),"Microsoft Systems Engineer, None, federal contractor","""Engineering Manager"" AND (Leidos OR CSRA / Leidos (team)) AND (North Charleston)",6
3018220,Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am),"Fort George G Meade, MD",Peraton; Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work); Leidos,"Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am), None, federal contractor","""Hiring Manager"" AND (Peraton OR Leidos) AND (Fort George G Meade)",12
3018245,Software Developer,"North Charleston, SC",Multi (SAIC supports parts); Iron Eagle X (now GDIT); Leidos,"Software Developer, None, federal contractor","""Engineering Manager"" AND (Iron Eagle X (now GDIT) OR Leidos) AND (North Charleston)",6
3018477,Tier 1 Network Monitor,"Hampton, VA","BAE; multiple; Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT","Tier 1 Network Monitor, None, federal contractor","""Hiring Manager"" AND (BAE; multiple OR Multiple: SAIC, Leidos, Booz Allen Hamilton) AND (Hampton)",12
3018277,Software Developer,"North Charleston, SC",Peraton; GDIT; Leidos,"Software Developer, None, federal contractor","""Engineering Manager"" AND (Peraton OR Leidos) AND (North Charleston)",12
3018535,Structural Mechanical/Professional Engineer,"Orlando, FL",Raytheon Intelligence & Space; Jacobs / Amentum (past); Vertex Aerospace,"Structural Mechanical/Professional Engineer, ACTIVE TOP SECRET SECURITY CLEARANCE OR HIGHER AND BE ABL, federal contractor","""Engineering Manager"" AND (Raytheon Intelligence & Space OR Jacobs / Amentum (past)) AND (Orlando)",8
3018571,Senior Cyber Security Specialist,"Fort Belvoir, VA",CACI,"Senior Cyber Security Specialist, None, federal contractor","""Hiring Manager"" AND (CACI) AND (Fort Belvoir)",9
3017439,Engineering Manager,"San Diego, CA",Palantir; Leidos; Northrop Grumman,"Engineering Manager, None, federal contractor","""Engineering Manager"" AND (Palantir OR Northrop Grumman) AND (San Diego)",8
3017935,(VMS) Guidance Navigation &amp; Control Engineer,"Chandler, AZ",Northrop Grumman,"(VMS) Guidance Navigation &amp; Control Engineer, Top Secret clearance required, federal contractor","""Engineering Manager"" AND (Northrop Grumman) AND (Chandler)",12
2091698,Software Packager/Technician - Security Tools,"Hazelwood, MO",Northrop Grumman (prime); CACI (support); BAE; multiple; Northrop Grumman,"Software Packager/Technician - Security Tools, Must be eligible for a Secret Clearance or willing to be processed for one, federal contractor","""Hiring Manager"" AND (Northrop Grumman (prime); CACI (support) OR Northrop Grumman) AND (Hazelwood)",4
3009673,Install Specialist / IT Certified Professional,"Charlottesville, VA",GDIT; SAIC; Leidos,"Install Specialist / IT Certified Professional, TS/SCI Clearance level, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Charlottesville)",12
3012636,Data Entry Specialist,"Tucson, AZ",Northrop Grumman & Boeing; Boeing (prime); Northrop & Raytheon (NGI); Northrop Grumman,"Data Entry Specialist, None, federal contractor","""Hiring Manager"" AND (Boeing (prime); Northrop & Raytheon (NGI) OR Northrop Grumman) AND (Tucson)",5
3012964,Software Developer,"Bossier City, LA",CSRA / Leidos (team); Leidos; CACI,"Software Developer, secret clearance OR previously held secret clearance preferred, must have ability to obtain, federal contractor","""Engineering Manager"" AND (CSRA / Leidos (team) OR CACI) AND (Bossier City)",4
3013298,Oracle DBA,"Washington, VA",Peraton; Leidos,"Oracle DBA, None, federal contractor","""Hiring Manager"" AND (Peraton) AND (Washington)",15
3015012,Microsoft Copilot Studio AI SME,"Milford Mill, MD","11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech); 11 primes (CTC, SAIC, Booz Allen, ManTech…); Leidos / Accenture Federal (indicative)","Microsoft Copilot Studio AI SME, None, federal contractor","""Hiring Manager"" AND (11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech) OR 11 primes (CTC, SAIC, Booz Allen, ManTech…)) AND (Milford Mill)",14
3016221,SQL Developer/Administrator,"Redstone Arsenal, AL",Multi (SAIC supports parts); Lockheed Martin; Northrop Grumman,"SQL Developer/Administrator, • Secret security clearance, federal contractor","""Engineering Manager"" AND (Lockheed Martin OR Northrop Grumman) AND (Redstone Arsenal)",6
