Data_Element,Column_Order,Datatype,Data_Format,Max_Length,Definition,Enumeration,Mandatory,Substitution,Sample_Values,Sensitivity_Level,Sensitivity_Level_2,Public,FOUO,Sensitive
SAM Data Element List,Column Order,Datatype,Data Format,Max Length,Definition,Enumeration,Mandatory,Substitution for Mandatory,Sample Values,Sensitivity Level,Sensitivity Level,Public,FOUO (CUI),Sensitive (CUI)
UNIQUE ENTITY ID,1,STRING,ALPHANUMERIC,12,"The UNIQUE ENTITY ID for the entity.
It is 12-character alpha-numeric. Example: F847A1795DE4",,If Available (All Awards/Federal Assistance),,F847A1795DE4,Public,1,X,X,X
BLANK (DEPRECATED),2,STRING,STRING,0,"Blank Spaces, formerly occupied by the prior Entity identifier",,,,         ,Public,1,X,X,X
ENTITY EFT INDICATOR,3,STRING,STRING,4,See SAM Functional Data Dictionary,,Optional,Mandatory to enter EFT INDICATOR if the Entity has multiple bank accounts.,1111,Public,1,X,X,X
CAGE CODE,4,STRING,STRING,5,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,1E5G9,Public,1,X,X,X
DODAAC,5,STRING,STRING,9,See SAM Functional Data Dictionary,,Optional (IGT Only),Mandatory if DoD entity,DODF2K3AJ,Public,1,X,X,X
SAM EXTRACT CODE,6,STRING,STRING,1,"Single character code that defines the status of the record being sent in the extract. The monthly file contains the complete record whether active or expired. For the daily files, the SAM Extract Code further specifies which data elements are sent for the record.","Monthly File:
A - Active - Send the Complete Record.
E - Expired - Send the Complete Record.

Daily File:
1 - Deleted/Deactivated Record - Send UEI(SAM), EFT INDICATOR, CAGE Code, DODAAC, SAM Extract Code, Purpose of Registration
2 - New Active Record - Send the Complete Record.
3 - Updated Active Record - Send the Complete Record.
4 - Expired Record - Send UEI(SAM), EFT INDICATOR, CAGE Code, DODAAC, SAM Extract Code, Purpose of Registration",Mandatory,,A,Public,1,X,X,X
PURPOSE OF REGISTRATION,7,STRING,STRING,2,See SAM Functional Data Dictionary,"Z1 - Federal Assistance Awards
Z2 - All Awards
Z3 - IGT-Only
Z4 - Federal Assistance Awards & IGT
Z5 - All Awards & IGT",Mandatory,,Z2,Public,1,X,X,X
INITIAL REGISTRATION DATE,8,STRING,YYYYMMDD,8,"The date the initial entity registration was activated either in SAM or its predecessor, CCR. This date does not change.",,Mandatory,,20020409,Public,1,X,X,X
REGISTRATION EXPIRATION DATE,9,STRING,YYYYMMDD,8,The date this current registration will expire or has already expired. This date is 365 days after the user submitted the registration. ,,Mandatory,,20131021,Public,1,X,X,X
LAST UPDATE DATE,10,STRING,YYYYMMDD,8,"The date this registration was last updated.  This can change while the Activation Date remains the same for many reasons, such as POC changes, reference data changes, or SAM Technical Team database changes.",,Mandatory,,20020409,Public,1,X,X,X
ACTIVATION DATE,11,STRING,YYYYMMDD,8,The date this registration record was made active.  This can differ from the date that the registration was submitted due to the time it takes for TIN Validation and CAGE Code Assignment/Validation.,,Mandatory,,20131021,Public,1,X,X,X
LEGAL BUSINESS NAME,12,STRING,STRING,120,See SAM Functional Data Dictionary,,Mandatory,,PIEDMONT VAN LANES INC,Public,1,X,X,X
DBA NAME,13,STRING,STRING,120,See SAM Functional Data Dictionary,,Optional,,U.S. BANK GOVERNMENT SERVICES,Public,1,X,X,X
ENTITY DIVISION NAME,14,STRING,STRING,60,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,STOKO SKIN CARE,Public,1,X,X,X
ENTITY DIVISION NUMBER,15,STRING,STRING,10,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,8003340242,Public,1,X,X,X
PHYSICAL ADDRESS LINE 1,16,STRING,STRING,150,This is part of the entity's Physical Address.  See SAM Functional Data Dictionary for more information.,,Mandatory,,801 W YOUNG AVE,Public,1,X,X,X
PHYSICAL ADDRESS LINE 2,17,STRING,STRING,150,This is part of the entity's Physical Address.  See SAM Functional Data Dictionary for more information.,,Optional,,"214 TRYON ST, 27TH FLR",Public,1,X,X,X
PHYSICAL ADDRESS CITY,18,STRING,STRING,40,This is part of the entity's Physical Address.  See SAM Functional Data Dictionary for more information.,,Mandatory,,MINNEAPOLIS,Public,1,X,X,X
PHYSICAL ADDRESS PROVINCE OR STATE,19,STRING,STRING,55,This is part of the entity's Physical Address.  See SAM Functional Data Dictionary for more information.,,Optional,Mandatory if Country is USA or CAN,MN,Public,1,X,X,X
PHYSICAL ADDRESS ZIP/POSTAL CODE,20,STRING,STRING,50,This is part of the entity's Physical Address.  See SAM Functional Data Dictionary for more information.,,Optional,Mandatory if Country is USA,32920,Public,1,X,X,X
PHYSICAL ADDRESS ZIP CODE +4,21,STRING,Numeric,4,This is part of the entity's Physical Address.  See SAM Functional Data Dictionary for more information.,,Optional,"Populated, when available, if Country is USA",4307,Public,1,X,X,X
PHYSICAL ADDRESS COUNTRY CODE,22,STRING,STRING,3,This is part of the entity's Physical Address.  See SAM Functional Data Dictionary for more information.,,Mandatory,,USA,Public,1,X,X,X
PHYSICAL ADDRESS CONGRESSIONAL DISTRICT,23,STRING,Numeric,10,This is part of the entity's Physical Address.  See SAM Functional Data Dictionary for more information.,,Optional,Mandatory if Country is USA,10,Public,1,X,X,X
D&B OPEN DATA FLAG,24,STRING,Y or N,1,This flag indicates whether the Business Name and Physical Address sourced from D&B.,,Mandatory,,N,Public,1,X,X,X
ENTITY START DATE,25,STRING,YYYYMMDD,8,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,19800301,Public,1,X,X,X
FISCAL YEAR END CLOSE DATE,26,STRING,MMDD ,4,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,1231,Public,1,X,X,X
COMPANY SECURITY LEVEL,27,STRING,STRING,2,See SAM Functional Data Dictionary,"90 -  Government Non-Classified
92 -  Government Confidential
93 -  Government Secret
94 -  Government Top Secret",Optional (All Awards/Federal Assistance),,94,FOUO (CUI),2,,X,X
HIGHEST EMPLOYEE SECURITY LEVEL,28,STRING,STRING,2,See SAM Functional Data Dictionary,"90 -  Government Non-Classified
92 -  Government Confidential
93 -  Government Secret
94 -  Government Top Secret",Optional (All Awards/Federal Assistance),,94,FOUO (CUI),2,,X,X
ENTITY URL,29,STRING,STRING,200,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,http://www.usbank.com,Public,1,X,X,X
ENTITY STRUCTURE,30,STRING,STRING,2,See SAM Functional Data Dictionary,"2J  - Sole Proprietorship 
2K  - Partnership or Limited Liability Partnership
2L  - Corporate Entity (Not Tax Exempt) 
8H  - Corporate Entity (Tax Exempt) 
2A  - U.S. Government Entity 
CY  - Country - Foreign Government 
X6  - International Organization 
ZZ - Other",Mandatory,,2L,Public,1,X,X,X
STATE OF INCORPORATION,31,STRING,STRING,2,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),"Mandatory if ""Country of Incorporation"" is USA",MN,Public,1,X,X,X
COUNTRY OF INCORPORATION,32,STRING,STRING,3,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,USA,Public,1,X,X,X
BUSINESS TYPE COUNTER,33,STRING,Numeric,4,Four digit identifier that provides the number of business types to be provided in the business type String.,,Mandatory,,0008,Public,1,X,X,X
BUS TYPE STRING,34,STRING,~ Separated,220,"Tilde (~) delimited string that includes all of the entity's business type information.  For more information on the business types, See the STRING Clarification TAB",See STRING Clarification Tab,Mandatory,"If Counter is greater than ""0000"" string is mandatory",23~27~2X~8E~8W~A2~FR~HQ~LJ~VW,Public,1,X,X,X
AGENCY BUSINESS PURPOSE,35,STRING,STRING,1,"This data element identifies what business purpose that the IGT registration (Purpose of Registration Z3, Z4, Z5) has registered for.  The potential values represent Buyer, Seller, Buyer & Seller.","1 - Seller
2 - Buyer
3 - Buyer and Seller",Mandatory (IGT Only),,1,FOUO (CUI),2,,X,X
PRIMARY NAICS,36,STRING,STRING,6,See SAM Functional Data Dictionary,,Mandatory (All Awards),,543321,Public,1,X,X,X
NAICS CODE COUNTER,37,STRING,Numeric,4,Four digit identifier that provides the number of NAICS Codes to be provided in the NAICS Code String.,,Mandatory,,0005,Public,1,X,X,X
NAICS CODE STRING,38,STRING,~ Separated,12000,"Tilde (~) delimited string that includes all of the entity's NAICS information.  For more information on the NAICS Code String, See the STRING Clarification TAB",See STRING Clarification Tab,Mandatory (All Awards),"If Counter is greater than ""0000"" string is mandatory",333611Y~333612N~333613Y~334513Y~334519Y~541330Y~541340YN~541490Y~541511Y~541519Y~541690Y~541712Y~811219Y~811310Y,Public,1,X,X,X
PSC CODE COUNTER,39,STRING,Numeric,4,Four digit identifier that provides the number of PSC Codes to be provided in the PSC Code String.,,Mandatory,,0004,Public,1,X,X,X
PSC CODE STRING,40,STRING,~ Separated,2500,"Tilde (~) delimited string that includes all of the entity's PSC information.  For more information on the PSC Code String, See the STRING Clarification TAB",See STRING Clarification Tab,Optional (All Awards),"If Counter is greater than ""0000"" string is mandatory",Y159~Y161~Y162~Y163~Y179~Y222~Z200~Z300,Public,1,X,X,X
CREDIT CARD USAGE,41,STRING,Y or N,1,See SAM Functional Data Dictionary,,Optional,,Y,Public,1,X,X,X
CORRESPONDENCE FLAG,42,STRING,"M, F, or E",1,See SAM Functional Data Dictionary,"M - US Mail
F - FAX
E - Email",Optional (All Awards/Federal Assistance),,M,Public,1,X,X,X
MAILING ADDRESS LINE 1,43,STRING,STRING,150,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,4080 MALLARD DR,Public,1,X,X,X
MAILING ADDRESS LINE 2,44,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,18TH Floor,Public,1,X,X,X
MAILING ADDRESS CITY,45,STRING,STRING,40,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,WASHINGTON,Public,1,X,X,X
MAILING ADDRESS ZIP/POSTAL CODE,46,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA,20036,Public,1,X,X,X
MAILING ADDRESS ZIP CODE +4,47,STRING,Numeric,4,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,5422,Public,1,X,X,X
MAILING ADDRESS COUNTRY,48,STRING,STRING,3,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,USA,Public,1,X,X,X
MAILING ADDRESS STATE OR PROVINCE,49,STRING,STRING,55,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA or CAN,DC,Public,1,X,X,X
GOVT BUS POC FIRST NAME,50,STRING,STRING,65,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,Sam,Public,1,X,X,X
GOVT BUS POC MIDDLE INITIAL,51,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,A,Public,1,X,X,X
GOVT BUS POC LAST NAME,52,STRING,STRING,65,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,Merica,Public,1,X,X,X
GOVT BUS POC TITLE,53,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Mr,Public,1,X,X,X
GOVT BUS POC ST ADD 1,54,STRING,STRING,150,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,123 Main Street,Public,1,X,X,X
GOVT BUS POC ST ADD 2,55,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,Floor 5,Public,1,X,X,X
GOVT BUS POC CITY ,56,STRING,STRING,40,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,Arlington,Public,1,X,X,X
GOVT BUS POC ZIP/POSTAL CODE,57,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA,99999,Public,1,X,X,X
GOVT BUS POC ZIP CODE +4,58,STRING,Numeric,4,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,0001,Public,1,X,X,X
GOVT BUS POC COUNTRY CODE,59,STRING,STRING,3,See SAM Functional Data Dictionary,,Mandatory (All Awards/Federal Assistance),,USA,Public,1,X,X,X
GOVT BUS POC STATE OR PROVINCE,60,STRING,STRING,55,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA,VA,Public,1,X,X,X
GOVT BUS POC U.S. PHONE,61,STRING,Numeric,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is USA,5555551212,FOUO (CUI),2,,X,X
GOVT BUS POC U.S. PHONE EXT,62,STRING,STRING,25,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,1111,FOUO (CUI),2,,X,X
GOVT BUS POC NON-U.S. PHONE,63,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),Mandatory if Country is not USA,5555-55555555555,FOUO (CUI),2,,X,X
GOVT BUS POC FAX U.S. ONLY,64,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (All Awards/Federal Assistance),,9876543211,FOUO (CUI),2,,X,X
