Company Name,Company Type,SAM Registration,Clearance Facility,Employee Count,Annual Revenue,LinkedIn Company URL,GitHub Organization,Key Capabilities,Recent Wins,Related Jobs,BD Contacts,CAGE Code,Contract Vehicles,DUNS Number,Federal Programs (Prime),Federal Programs (Sub),Past Performance,Subcontractor To
Lockheed Martin,Large Business,Yes,SCI,116000,,https://www.linkedin.com/company/lockheed-martin/,,,,,,,,,,,,
Northrop Grumman,Large Business,Yes,SCI,95000,,https://www.linkedin.com/company/northrop-grumman/,,,,,,,,,,,,
Leidos,Large Business,Yes,SCI,47000,,https://www.linkedin.com/company/leidos/,,,,,,,,,,,,
Booz Allen Hamilton,Large Business,Yes,SCI,34000,,https://www.linkedin.com/company/booz-allen-hamilton/,,,,,,,,,,,,
General Dynamics IT (GDIT),Large Business,Yes,SCI,30000,,https://www.linkedin.com/company/gdit/,,,,,,,,,,,,
BAE Systems,Large Business,Yes,SCI,34000,,https://www.linkedin.com/company/bae-systems/,,,,,,,,,,,,
Peraton,Large Business,Yes,SCI,22000,,https://www.linkedin.com/company/peraboricua/,,,,,,,,,,,,
Raytheon,Large Business,Yes,SCI,67000,,https://www.linkedin.com/company/raytheon/,,,,,,,,,,,,
ManTech,Large Business,Yes,SCI,10000,,https://www.linkedin.com/company/mantech/,,,,,,,,,,,,
CACI International,Large Business,Yes,SCI,23000,,https://www.linkedin.com/company/caci-international/,,,,,,,,,,,,
TEKsystems,Large Business,Yes,TS,6000,,https://www.linkedin.com/company/teksystems/,,,,,,,,,,,,
SHINE Systems,Small Business,Yes,TS,200,,,,,,,,,,,,,,
Prime Technical Services,SDVOSB,Yes,TS,50,,,,,,,,,,,,,,
Apex Group,Large Business,Yes,TS,3000,,https://www.linkedin.com/company/apexgroup/,,,,,,,,,,,,
Insight Global,Large Business,Yes,TS,8000,,https://www.linkedin.com/company/insight-global/,,,,,,,,,,,,
