Company Name,Annual Revenue,BD Contacts,CAGE Code,Clearance Facility,Company Type,Contract Vehicles,DUNS Number,Employee Count,Federal Programs (Prime),Federal Programs (Sub),GitHub Organization,Key Capabilities,LinkedIn Company URL,Past Performance,Recent Wins,Related Jobs,SAM Registration,Subcontractor To
Lockheed Martin,,,,SCI,Large Business,,,116000,,,,,https://www.linkedin.com/company/lockheed-martin/,,,,Yes,
Northrop Grumman,,,,SCI,Large Business,,,95000,,,,,https://www.linkedin.com/company/northrop-grumman/,,,,Yes,
Leidos,,,,SCI,Large Business,,,47000,,,,,https://www.linkedin.com/company/leidos/,,,,Yes,
Booz Allen Hamilton,,,,SCI,Large Business,,,34000,,,,,https://www.linkedin.com/company/booz-allen-hamilton/,,,,Yes,
General Dynamics IT (GDIT),,,,SCI,Large Business,,,30000,,,,,https://www.linkedin.com/company/gdit/,,,,Yes,
BAE Systems,,,,SCI,Large Business,,,34000,,,,,https://www.linkedin.com/company/bae-systems/,,,,Yes,
Peraton,,,,SCI,Large Business,,,22000,,,,,https://www.linkedin.com/company/peraboricua/,,,,Yes,
Raytheon,,,,SCI,Large Business,,,67000,,,,,https://www.linkedin.com/company/raytheon/,,,,Yes,
ManTech,,,,SCI,Large Business,,,10000,,,,,https://www.linkedin.com/company/mantech/,,,,Yes,
CACI International,,,,SCI,Large Business,,,23000,,,,,https://www.linkedin.com/company/caci-international/,,,,Yes,
TEKsystems,,,,TS,Large Business,,,6000,,,,,https://www.linkedin.com/company/teksystems/,,,,Yes,
SHINE Systems,,,,TS,Small Business,,,200,,,,,,,,,Yes,
Prime Technical Services,,,,TS,SDVOSB,,,50,,,,,,,,,Yes,
Apex Group,,,,TS,Large Business,,,3000,,,,,https://www.linkedin.com/company/apexgroup/,,,,Yes,
Insight Global,,,,TS,Large Business,,,8000,,,,,https://www.linkedin.com/company/insight-global/,,,,Yes,
