Job Title,AI Confidence Score,Agency,Apify Run ID,BD Priority Index,Capture Manager,City,Clearance Level,Company,Competition Level,Contract End Date,Contract NAICS,Contract Number Parsed,Contract Value,Contract Vehicle,Data Quality Score,Days Since Post,Department,Duplicates,"Enrichment Readiness Score ",Enrichment Timestamp,Error Log,Error Type,Expedited Enrichment,Federal Contracts Found,GitHub Repos,Incumbent Contractor,Incumbent Score,Is Our Company Sub?,Is Our Company Sub? 1,Job Description,Job ID,Last Updated,Location,NAICS Parsed,Our Company Canonical,Our Eligibility,Prime Company,Prime Contractor,Priority Boost,Priority Score,Priority Weight,Processing Stage,Program Name,Pursuit Cost Index,Related Contract Vehicles,Related Contractors,Related Enrichment Runs,Related Federal Programs,Reporting Manager,Required Technologies,Research Notes,Retry Counter,Revenue Potential,Salary Numeric,Salary Range,Set-aside Status,Source Program,Source URL,State,Status,Subcontractors,Suggested Contract Vehicles,Tags,Team/Function,Technology Match,Validation Status,Web Intelligence Score,Win Probability Score
,,,,-3,,,,,,,,,,,0,,,,⚠️ Missing Data,,,,No,No,,,,Yes,Yes,,,,,,,No,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,30
,,,,-3,,,,,,,,,,,0,,,,⚠️ Missing Data,,,,No,No,,,,Yes,Yes,,,,,,,No,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,30
auto,,,,-3,,,,,,,,,,,0,,,,⚠️ Missing Data,,,,No,No,,,,No,No,,,,,,Prime Technical Services,No,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
JOB TITLE,,,,-3,,,,,,,,,,,0,,,,⚠️ Missing Data,,,,No,No,,,,No,No,,,,,,Prime Technical Services,No,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
Senior Software Engineer,,,,-3,,McLean,,,,,,,,,0,,,,⚠️ Missing Data,,,,No,No,,,,No,No,,,,"McLean, VA",,"Prime Technical Services
Prime Technical Services
Prime Technical Services",No,,,,,,,,,,,,,,,,,0,,,,,,VA,,,,,,,,,0
TEST-Cloud Architect,,,,-3,,Arlington,,,,,,,,,0,,,,⚠️ Missing Data,,,,No,No,,,,No,No,,,,"Arlington, VA",,"<title>TEST-Cloud Architect</title>
<properties>Federal Contracts Found: Prime Technical Services
Location: Arlington, VA
Our Eligibility: Prime Technical Services
Expedited Enrichment: Prime Technical Services</properties>",No,,,,,,,,,,,,,,,,,0,,,,,,VA,,,,,,,,,0
,-0.5,,,-3,,,,,,,,,,,0,,,,⚠️ Missing Data,,,,No,No,,,,No,No,,,,,,Prime Technical Services,No,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,-10
,,,,-3,,,,,,,,,,,0,,,,⚠️ Missing Data,,,,No,No,,,,No,No,,,,,,Prime Technical Services,No,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
TEST-Senior DevSecOps Engineer,0.85,NSA,,87,,Fort Meade,TS/SCI w/ Poly,Insight Global,,,,,,,40,,,,✅ Ready,,,,Yes,Yes,,,,No,No,"Test job for DevSecOps engineer requiring TS/SCI with Poly clearance. Must have experience with CI/CD pipelines, Kubernetes, and security automation.",,,"Fort Meade, MD",,Prime Technical Services,Yes,,,,90,,,,,,,,,,,,,0,,,,,https://insightglobal.com/test-job,MD,pending_enrichment,,,,,,,,17
TEST-Senior DevSecOps Engineer,0.85,NSA,,87,,Fort Meade,TS/SCI w/ Poly,Insight Global,,,,,,,40,,,,✅ Ready,,,,Yes,Yes,,,,No,No,"Test job for DevSecOps engineer requiring TS/SCI with Poly clearance. Must have experience with CI/CD pipelines, Kubernetes, and security automation.",,,"Fort Meade, MD",,Prime Technical Services,Yes,,,,90,,,,,,,,,,,,,0,,,,,https://insightglobal.com/test-job,MD,pending_enrichment,,,,,,,,17
