agency,clearance_requirements,contract_number,functional_areas,hiring_velocity,job_sources,key_technologies,primary_location,prime_contractor,program_acronym,program_name,recent_30d,recent_90d,top_locations,total_job_postings,unique_locations
DIA,Unknown (9); Secret (6); Top Secret (5),HHSN261200800001E,Engineering (11); Other (5); Software Development (2); Cybersecurity (1); Network/Infrastructure (1),HOT,Apex Systems: 2; Insight Global: 19,C++; LINUX,"FREDERICK, MARYLAND",Leidos,ISEO,DIA Information Systems Engineering Office,10,17,"Dayton, Ohio (2); Kings Bay, Georgia (2); North Charleston, SC (1); Elkridge, MD (1); Niskayuna, New York (1)",21,19
DISA,Unknown (8); Secret (6); Top Secret (4),89243318CFE000003,Other (6); Cybersecurity (5); Engineering (2); Data/Analytics (2); Network/Infrastructure (1),HOT,Insight Global: 18,DEVSECOPS; KUBERNETES,"MORGANTOWN, WEST VIRGINIA",Leidos,GSM-O II,Global Service Management – Operations II,10,17,"Huntsville, Alabama (3); Kings Bay, Georgia (3); Hampton, Virginia (2); Tarpon Springs, Florida (1); Dayton, Ohio (1)",18,13
DISA,Secret (9); Top Secret (3); Unknown (1),N0003022C2001,Engineering (4); Other (3); Network/Infrastructure (2); Testing/QA (1); Help Desk/Service Desk (1),HOT,Insight Global: 13,DEVSECOPS,"ANAHEIM, CALIFORNIA",L3Harris (historical),GBS,GBS (Global Broadcast Service),8,11,"San Diego, California (4); Vista, California (1); Palmdale, California (1); Anaheim, California (1); Beale AFB, California (1)",13,10
DoD,Secret (5); Top Secret (4); Unknown (1),19AQMM18C0185,Help Desk/Service Desk (3); PMO/Leadership (2); Engineering (2); Other (1); Network/Infrastructure (1),ACTIVE,Insight Global: 10,C++,"SPRINGFIELD, VIRGINIA",GDIT,BICES,Battlefield Information Collection & Exploitation System,3,8,"Norfolk, Virginia (2); Detroit, Michigan (1); Chesapeake, Virginia (1); Niskayuna, New York (1); Deerfield Beach, Florida (1)",10,9
Army,Top Secret (6); Secret (4),W15QKN19F1290,Network/Infrastructure (7); Other (2); Engineering (1),ACTIVE,Apex Systems: 1; Insight Global: 9,,"COLORADO SPRINGS, COLORADO",SAIC,PC,Project Convergence (JADC2 Experiments),3,5,"Montgomery, Alabama (7); Charlottesville, VA (1); Monroeville, Pennsylvania (1); Huntsville, Alabama (1)",10,4
Space Force,Top Secret (7); Secret (2),FA251822F0034,Engineering (8); Other (1),ACTIVE,Insight Global: 9,,"COLORADO SPRINGS, COLORADO",SAIC,EDIS,"EDIS – Engineering, Development, Integration & Sustainment",4,5,"Colorado Springs, Colorado (3); Plymouth, Minnesota (1); El Segundo, California (1); New London, Connecticut (1); Broomfield, Colorado (1)",9,7
Air Force,Top Secret (4); Secret (2); Unknown (2),FA251822F0034,Data/Analytics (3); Network/Infrastructure (2); Engineering (2); Other (1),ACTIVE,Apex Systems: 1; Insight Global: 7,ELASTIC; LINUX; WINDOWS,"COLORADO SPRINGS, COLORADO",Multi (SAIC supports parts),ABMS,Advanced Battle Management System,4,6,"Colorado Springs, Colorado (3); Washington, District Of Columbia (2); Savannah, GA (1); Pearl City, Hawaii (1); East Hartford, Connecticut (1)",8,5
Army,Unknown (7); TS/SCI Poly (1),70T04019C9DAP3006,Engineering (3); Network/Infrastructure (2); Other (2); Software Development (1),HOT,Apex Systems: 8,.NET,"RESTON, VIRGINIA",Leidos,IBDS,Integrated Base Defense Security System,5,7,"Reston, VA (3); Norfolk, VA (2); Washington, VA (1); Jacksonville, NC (1); Fort Belvoir, VA (1)",8,5
Air Force,Secret (3); Unknown (2); Top Secret (2),36C10B21N10150056,Other (2); PMO/Leadership (1); Network/Infrastructure (1); Software Development (1); Cybersecurity (1),ACTIVE,Apex Systems: 2; Insight Global: 5,WINDOWS,"HERNDON, VIRGINIA","Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System,2,5,"Alexandria, Virginia (2); Herndon, VA (1); Quantico, VA (1); Braddock, Virginia (1); Dahlgren, Virginia (1)",7,6
Army,Unknown (3); Secret (2); Top Secret (1),W15QKN19F1290,Engineering (5); Technical Writing (1); Data/Analytics (1),HOT,Insight Global: 7,DEVOPS; SPLUNK,"COLORADO SPRINGS, COLORADO",SAIC,AESMF,Army Enterprise Service Management Framework,6,7,"Colorado Springs, Colorado (2); Middletown, Connecticut (1); Goose Creek, South Carolina (1); Atlanta, Georgia (1); Vienna, Virginia (1)",7,6
