clearances_at_location,functional_area,job_count_at_location,location,prime_contractor,program_acronym,program_name,sample_titles
Secret,Cybersecurity,1,"Tyndall Air Force Base, FL",CACI,SCORPION,AFCENT SCORPION Cyber Task (ISSO/ISSM Support),Information Systems Security Officer
Unknown,Other,1,"Salem, Massachusetts",Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work),ARCYBER,ARCYBER Information Advantage / Mission Support (general),SPECIAL EDUCATION PARAPROFESSIONAL
Unknown; Secret; Top Secret,Data/Analytics,3,"Colorado Springs, Colorado",Multi (SAIC supports parts),ABMS,Advanced Battle Management System,"PRICING ANALYST - SECRET CLEARANCE; TOP SECRET FSR ANALYST (WASHINGTON, DC & FT. CAMPBELL, KY); ONSITE PLM APPLICATION ANALYST"
Unknown; Top Secret,Engineering,3,"Colorado Springs, Colorado",Multi (SAIC supports parts),ABMS,Advanced Battle Management System,SECRET SENIOR ELASTIC ENGINEER; SALES ENGINEER
Unknown; Secret; Top Secret,Data/Analytics,1,"East Hartford, Connecticut",Multi (SAIC supports parts),ABMS,Advanced Battle Management System,"PRICING ANALYST - SECRET CLEARANCE; TOP SECRET FSR ANALYST (WASHINGTON, DC & FT. CAMPBELL, KY); ONSITE PLM APPLICATION ANALYST"
Secret; Top Secret,Network/Infrastructure,1,"Pearl City, Hawaii",Multi (SAIC supports parts),ABMS,Advanced Battle Management System,VDI Systems Administrator; SECRET CLEARED WINDOWS AND LINUX ADMIN
Secret; Top Secret,Network/Infrastructure,1,"Savannah, GA",Multi (SAIC supports parts),ABMS,Advanced Battle Management System,VDI Systems Administrator; SECRET CLEARED WINDOWS AND LINUX ADMIN
Unknown; Secret; Top Secret,Data/Analytics,2,"Washington, District Of Columbia",Multi (SAIC supports parts),ABMS,Advanced Battle Management System,"PRICING ANALYST - SECRET CLEARANCE; TOP SECRET FSR ANALYST (WASHINGTON, DC & FT. CAMPBELL, KY); ONSITE PLM APPLICATION ANALYST"
Top Secret,Other,2,"Washington, District Of Columbia",Multi (SAIC supports parts),ABMS,Advanced Battle Management System,TOP SECRET RESEARCH PHYSICIST 1
Unknown,Software Development,1,"Jacksonville, Florida",Raytheon,AMRAAM,Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,CNC PROGRAMMER
TS/SCI Poly,Other,1,"Austin, Texas",Lockheed Martin,Aegis,Aegis Ballistic Missile Defense / Aegis Program,IDENTITY ACCESS MANAGER / SME ARCHITECT
