clearances,functional_area,job_count,locations,prime_contractor,program_acronym,program_name,sample_titles,technologies
Unknown; Secret; Top Secret,Data/Analytics,3,"East Hartford, Connecticut; Colorado Springs, Colorado; Washington, District Of Columbia",Multi (SAIC supports parts),ABMS,Advanced Battle Management System,"PRICING ANALYST - SECRET CLEARANCE; TOP SECRET FSR ANALYST (WASHINGTON, DC & FT. CAMPBELL, KY); ONSITE PLM APPLICATION ANALYST",
Secret; Top Secret,Network/Infrastructure,2,"Pearl City, Hawaii; Savannah, GA",Multi (SAIC supports parts),ABMS,Advanced Battle Management System,VDI Systems Administrator; SECRET CLEARED WINDOWS AND LINUX ADMIN,LINUX; WINDOWS
Unknown; Top Secret,Engineering,2,"Colorado Springs, Colorado",Multi (SAIC supports parts),ABMS,Advanced Battle Management System,SECRET SENIOR ELASTIC ENGINEER; SALES ENGINEER,ELASTIC
Top Secret,Other,1,"Washington, District Of Columbia",Multi (SAIC supports parts),ABMS,Advanced Battle Management System,TOP SECRET RESEARCH PHYSICIST 1,
Unknown,Software Development,1,"Jacksonville, Florida",Raytheon,AMRAAM,Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,CNC PROGRAMMER,
Secret; Top Secret,Engineering,3,"Huntsville, Alabama",Lockheed Martin,Aegis,Aegis Ballistic Missile Defense / Aegis Program,ELECTRICAL ENGINEER - SECRET CLEARANCE; SENIOR SYSTEMS ENGINEER - SECRET CLEARANCE; TS/SCI - SENIOR SURVIVABILITY ENGINEER,
Top Secret,Software Development,1,"Sunset, Utah",Lockheed Martin,Aegis,Aegis Ballistic Missile Defense / Aegis Program,CLEARED MS&A DEVELOPER,
TS/SCI Poly,Other,1,"Austin, Texas",Lockheed Martin,Aegis,Aegis Ballistic Missile Defense / Aegis Program,IDENTITY ACCESS MANAGER / SME ARCHITECT,
Secret,Cybersecurity,1,"Tyndall Air Force Base, FL",CACI,SCORPION,AFCENT SCORPION Cyber Task (ISSO/ISSM Support),Information Systems Security Officer,
Secret; Unknown,Other,2,"Quantico, VA; Braddock, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System,IT Specialist Senior; ESS HELPDESK TECHNICIAN,
Unknown,PMO/Leadership,1,"Herndon, VA","Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System,EVMS Lead Program Control Consultant,
Secret,Network/Infrastructure,1,"Dahlgren, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System,SECRET WINDOWS SYSTEMS ADMINISTRATOR,WINDOWS
Secret,Software Development,1,"Alexandria, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System,SOFTWARE ARCHITECT,
Top Secret,Cybersecurity,1,"Oakton, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System,ISSO- TOP SECRET- ON SITE,
Top Secret,Data/Analytics,1,"Alexandria, Virginia","Multiple: SAIC, Leidos, Booz Allen Hamilton",ABMS,Air Force Advanced Battle Management System,TS/SCI COMPLY-TO-CONNECT & ENDPOINT POLICY ANALYST,
Top Secret,Network/Infrastructure,1,"Colorado Springs, Colorado",SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),Platform One / Cyber Portfolio,Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,"SECRET LINUX SYSTEM ADMINISTRATOR (CO SPRINGS, CO)",LINUX
Top Secret,Engineering,1,"Washington, District Of Columbia",SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),Platform One / Cyber Portfolio,Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,TOP SECRET SOFTWARE ENGINEER,
