program_name,program_acronym,agency,prime_contractor,primary_location,clearance_requirements,key_technologies,functional_areas,total_job_postings,hiring_velocity,contract_number,location_count,technology_count,all_locations,all_technologies
DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",Unknown (9); Secret (6); Top Secret (5),C++; LINUX,Engineering (11); Other (5); Software Development (2); Cybersecurity (1); Network/Infrastructure (1),21,HOT,HHSN261200800001E,19,4,"North Charleston, SC; Elkridge, MD; Niskayuna, NEW YORK; Sterling Heights, MICHIGAN; Wilmington, MASSACHUSETTS",AFSIM; Rust; Linux; C++
Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",Unknown (8); Secret (6); Top Secret (4),DEVSECOPS; KUBERNETES,Other (6); Cybersecurity (5); Engineering (2); Data/Analytics (2); Network/Infrastructure (1),18,HOT,89243318CFE000003,13,2,"Huntsville, ALABAMA; Tarpon Springs, FLORIDA; Dayton, OHIO; Wilmington, DELAWARE; Kings Bay, GEORGIA",DevSecOps; Kubernetes
GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",Secret (9); Top Secret (3); Unknown (1),DEVSECOPS,Engineering (4); Other (3); Network/Infrastructure (2); Testing/QA (1); Help Desk/Service Desk (1),13,HOT,N0003022C2001,10,2,"San Diego, CALIFORNIA; Vista, CALIFORNIA; Palmdale, CALIFORNIA; Anaheim, CALIFORNIA; Beale AFB, CALIFORNIA",Assembly; DevSecOps
Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,"SPRINGFIELD, VIRGINIA",Secret (5); Top Secret (4); Unknown (1),C++,Help Desk/Service Desk (3); PMO/Leadership (2); Engineering (2); Other (1); Network/Infrastructure (1),10,ACTIVE,19AQMM18C0185,9,1,"Detroit, MICHIGAN; Chesapeake, VIRGINIA; Niskayuna, NEW YORK; Norfolk, VIRGINIA; Deerfield Beach, FLORIDA",C++
Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",Top Secret (6); Secret (4),,Network/Infrastructure (7); Other (2); Engineering (1),10,ACTIVE,W15QKN19F1290,4,1,"Charlottesville, VA; Montgomery, ALABAMA; Monroeville, PENNSYLVANIA; Huntsville, ALABAMA",F5
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",Top Secret (7); Secret (2),,Engineering (8); Other (1),9,ACTIVE,FA251822F0034,7,2,"Plymouth, MINNESOTA; El Segundo, CALIFORNIA; New London, CONNECTICUT; Colorado Springs, COLORADO; Broomfield, COLORADO",Electronic Warfare; GCCS
Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO",Top Secret (4); Secret (2); Unknown (2),ELASTIC; LINUX; WINDOWS,Data/Analytics (3); Network/Infrastructure (2); Engineering (2); Other (1),8,ACTIVE,FA251822F0034,5,3,"Savannah, GA; Colorado Springs, COLORADO; Washington, DISTRICT OF COLUMBIA; Pearl City, HAWAII; East Hartford, CONNECTICUT",Elastic; Linux; WINDOWS
Integrated Base Defense Security System,IBDS,Army,Leidos,"RESTON, VIRGINIA",Unknown (7); TS/SCI Poly (1),.NET,Engineering (3); Network/Infrastructure (2); Other (2); Software Development (1),8,HOT,70T04019C9DAP3006,5,1,"Washington, VA; Reston, VA; Norfolk, VA; Jacksonville, NC; Fort Belvoir, VA",.NET
Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton","HERNDON, VIRGINIA",Secret (3); Unknown (2); Top Secret (2),WINDOWS,Other (2); PMO/Leadership (1); Network/Infrastructure (1); Software Development (1); Cybersecurity (1),7,ACTIVE,36C10B21N10150056,6,1,"Herndon, VA; Quantico, VA; Braddock, VIRGINIA; Dahlgren, VIRGINIA; Alexandria, VIRGINIA",WINDOWS
Army Enterprise Service Management Framework,AESMF,Army,SAIC,"COLORADO SPRINGS, COLORADO",Unknown (3); Secret (2); Top Secret (1),DEVOPS; SPLUNK,Engineering (5); Technical Writing (1); Data/Analytics (1),7,HOT,W15QKN19F1290,6,2,"Middletown, CONNECTICUT; Colorado Springs, COLORADO; Goose Creek, SOUTH CAROLINA; Atlanta, GEORGIA; Vienna, VIRGINIA",DevOps; Splunk
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,"ARLINGTON, VIRGINIA",Secret (3); Unknown (2); Top Secret (2),.NET,Software Development (3); Cybersecurity (2); Other (1); Engineering (1),7,ACTIVE,47QFRA19F0011,7,1,"Arlington, VA; Fort Belvoir, VA; Bossier City, LA; Norfolk, VIRGINIA; Arlington, VIRGINIA",.NET
