piid,award_date,description,obligated,total_contract_value,recipient_name,recipient_uei,awarding_agency,naics_code,psc_code,pop_city,pop_state,pop_start,pop_end,fiscal_year,discovery_date
47QFCA26F0004,2026-01-13,CYBER AUTOMATION SYSTEMS TECHNOLOGY AND LIFECYCLE ENTERPRISE NETWORK (CASTLE-NET) SERVICES TASK ORDER AWARD.,151939116.0,1418622686.0,ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,Department of the Army,541512,R425,RESTON,VA,2026-02-26,2027-02-25,2026,2026-01-20
693KA826F00054,2026-01-09,THIS DELIVERY ORDER IS FOR THE COMMUNICATION WORKSTREAM VOICE SWITCH NEEDS PACKAGE ON THE BNATCS IAC.,14512948.0,200000000.0,PERATON INC.,ZBPQEJVECCT4,Federal Aviation Administration,541512,R499,WASHINGTON,DC,2026-01-09,2028-12-31,2026,2026-01-20
693KA826F00055,2026-01-09,THIS DELIVERY ORDER IS FOR THE RADIO- ACLS NEEDS PACKAGE. ALL OTHER TERMS AND CONDITIONS OF THE CONTRACT REMAIN UNCHANGED AND IN FULL EFFECT.,12088952.0,100000000.0,PERATON INC.,ZBPQEJVECCT4,Federal Aviation Administration,541512,R499,WASHINGTON,DC,2026-01-09,2028-12-31,2026,2026-01-20
693KA726F00008,2026-01-09,THIS NEEDS PACKAGE IS FOR START UP ACTIVITIES CAPTURED BELOW:  ESTABLISH AND MANAGE PROGRAM AND INTEGRATION MANAGEMENT ESTABLISH AND MANAGE PROGRAM START-UP MANAGEMENT ESTABLISH AND MANAGE COMMUNICATIONS AND ORGANIZATIONAL CHANGE MANAGEMENT ESTAB,10000000.0,10000000.0,PERATON INC.,ZBPQEJVECCT4,Federal Aviation Administration,541512,R499,WASHINGTON,DC,2026-01-09,2026-01-30,2026,2026-01-20
693KA726F00009,2026-01-09,THIS DELIVERY ORDER IS FOR THE RADARS NEEDS PACKAGE. ALL OTHER TERMS AND CONDITIONS OF THE CONTRACT REMAIN UNCHANGED AND IN FULL EFFECT.,50000000.0,300000000.0,PERATON INC.,ZBPQEJVECCT4,Federal Aviation Administration,541512,R499,WASHINGTON,DC,2026-01-09,2028-12-31,2026,2026-01-20
36C10B26C0017,2025-12-18,"SOLE SOURCE AWARD FOR RENEWAL OF SOLVENTUM HIS CRS+ ENCODER SOFTWARE LICENSES AND SUPPORT SERVICES FOR VA HICBA, PROVIDING ENTERPRISE MEDICAL CODING, BILLING, AUDITING, AND VIRR INTEGRATION ACROSS VA MEDICAL FACILITIES.",12015798.72,77725046.15,"SOLVENTUM HEALTH INFORMATION SYSTEMS, INC.",LUYEUMH42L88,Department of Veterans Affairs,541512,7A21,SALT LAKE CITY,UT,2025-12-19,2026-12-18,2026,2026-01-20
70B02C26F00000035,2025-12-18,PURCHASE OF TOWERS,362974500.0,362974500.0,"ANDURIL INDUSTRIES, INC.",KC3CH2MSK7Q3,U.S. Customs and Border Protection,541512,Y1BG,COSTA MESA,CA,2025-12-25,2026-12-24,2026,2026-01-20
47QACA26F0037,2025-12-12,SBA UNIFIED LENDING PLATFORM ULPDISASTER LENDING PLATFORM,24594569.87,24594569.87,"ADVANCED TECHNOLOGY LEADERS, INC.",JKNLLBMXNKV3,Small Business Administration,541512,DA01,WASHINGTON,DC,2025-12-15,2026-06-14,2026,2026-01-20
205AE926F00012,2025-12-10,INTEGRATED DATA RETRIEVAL SYSTEM MODERNIZATION (UNISYS RETIREMENT/REPLACEMENT INITIATIVE) 12-MONTH BASE + 6-MONTH OPTION,14140765.79,20952492.45,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,Internal Revenue Service,541512,DA01,RESTON,VA,2025-12-12,2026-12-11,2026,2026-01-20
80KSC026F7005,2025-11-20,KENNEDY PROPELLANT AND LIFE SUPPORT SERVICES (KPLSS) II FY26 CUSTOMER FUNDING.,11786340.52,11786340.52,"AMENTUM SERVICES, INC.",QEMLRQA7PLG4,National Aeronautics and Space Administration,541330,R425,ORLANDO,FL,2025-10-01,2026-09-30,2026,2026-01-20
SPRRA225F0213,2025-09-30,"DELIVERY ORDER FOR VAMPIRE LONG LEAD, MX-10, AND SW LICENSES",12723025.42,12723025.42,"L3HARRIS FORCEX, INC.",K7NTNUMRDFQ9,Department of the Navy,541715,1410,NASHVILLE,TN,2025-09-30,2026-09-30,2025,2026-01-20
70CDCR26FR0000001,2025-11-14,"ADMINISTRATIVE TRANSFER OF THE DEPARTMENT OF WAR TASK ORDER W9124J25FA075 TO THE US IMMIGRATION AND CUSTOMS ENFORCEMENT FOR DETENTION, TRANSPORTATION AND MEDICAL SERVICES AT CAMP EAST MONTANA TEMPORARY DETENTION CENTER IN EL PASO, TX",598444871.04,1339875022.97,ACQUISITION LOGISTICS LLC,Y5U3BSK2G389,U.S. Immigration and Customs Enforcement,541614,R706,EL PASO,TX,2025-10-01,2026-09-30,2026,2026-01-20
