Program Name,Acronym,Agency,Prime Contractor,Contract Number,Contract Value,Subaward Count,Subaward Total,Recipient UEI,Recipient Name,City,State
Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,AMRAAM,Air Force,Raytheon,W31P4Q15C0022,"$5,608,431,752.51",29981,"$14,053,592,412.80",XSV6AZJ6SDJ7,RAYTHEON COMPANY,ANDOVER,MASSACHUSETTS
Integrated Air & Missile Defense,IAMD,Army,Raytheon,W31P4Q15C0022,"$5,608,431,752.51",29981,"$14,053,592,412.80",XSV6AZJ6SDJ7,RAYTHEON COMPANY,ANDOVER,MASSACHUSETTS
Poland WISŁA – Patriot + IBCS Foreign Military Sales,WISŁA,Army,Raytheon & Northrop Grumman,W31P4Q15C0022,"$5,608,431,752.51",29981,"$14,053,592,412.80",XSV6AZJ6SDJ7,RAYTHEON COMPANY,ANDOVER,MASSACHUSETTS
Joint Tactical Ground Station Early Warning,JTAGS,Army,Northrop (prime/sub),N0001918C1037,"$8,447,894,780.67",13704,"$16,480,621,337.03",PK8PM2GNVMP8,NORTHROP GRUMMAN SYSTEMS CORPORATION,MELBOURNE,FLORIDA
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Lockheed Martin,N0001917C0001,"$35,135,514,910.20",12781,"$19,006,059,279.59",G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,FORT WORTH,TEXAS
Basic Ordering Agreement (Lockheed Martin),BOA,DoD,Lockheed Martin,N0001917C0001,"$35,135,514,910.20",12781,"$19,006,059,279.59",G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,FORT WORTH,TEXAS
Common Open Operational Launch Range,COOLR,Space Force,Lockheed Martin (indicative),N0001917C0001,"$35,135,514,910.20",12781,"$19,006,059,279.59",G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,FORT WORTH,TEXAS
Conventional Prompt Strike,CPS,Army,Lockheed Martin,N0001917C0001,"$35,135,514,910.20",12781,"$19,006,059,279.59",G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,FORT WORTH,TEXAS
F-35 Sustainment,F-35 Sustainment,DoD,Lockheed Martin,N0001917C0001,"$35,135,514,910.20",12781,"$19,006,059,279.59",G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,FORT WORTH,TEXAS
Navy Aegis Combat System Modernization,AEGIS,Navy,Lockheed Martin,N0001917C0001,"$35,135,514,910.20",12781,"$19,006,059,279.59",G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,FORT WORTH,TEXAS
OUSD(A&S) Professional Support Services,OUSD(A&S) PSS,DoD,LMI,N0001917C0001,"$35,135,514,910.20",12781,"$19,006,059,279.59",G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,FORT WORTH,TEXAS
Battlefield Info Collection & Exploitation System (BICES-X),BICES-X,DoD,GDIT (incumbent pre-MPE),19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
Battlefield Information Collection & Exploitation System,BICES,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
BICES-X / Mission Partner Environment,BICES-X / MPE,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
CENTCOM Enterprise IT Modernization,,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
Defense Health Agency Desktop to Datacenter,D2D,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
DISA Supply Chain Mgmt (GDIT),DSCM-GDIT,DISA,GDIT,19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
DLA JETS 2.0 (Follow-On),JETS 2.0,DoD,CACI; GDIT,19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
HHS Advanced Secure Data Repository,ASDR,DoD,GDIT / SAIC (indicative),19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
Joint Staff J7 Support,JS J7,DoD,HII,19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
LANL/NNSA VTC Engineering Support,LANL VTC,NSA,GDIT,19AQMM18C0185,"$1,495,085,754.52",5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SPRINGFIELD,VIRGINIA
