parent_contract_id,parent_piid,task_order_piid,task_order_description,award_amount,obligated_amount,start_date,end_date,pop_city,pop_state,pop_country,performing_org,performing_org_uei,awarding_agency,awarding_sub_agency,naics_code,psc_code,extraction_date
CONT_IDV_DTFH6110D00029_6925,DTFH6110D00029,DTFH6110D00029T14001,"IGF::OT::IGF TASK ORDER NO. DTFH61-10-D-00029-T-14001,""SOUTHEAST MICHIGAN 2014 TEST BED UNDER THE ENHANCEMENT AND EXPANSION"" IS ISSUED IN THE TOTAL AMOUNT OF $2,164,757, CONSISTING OF A TOTAL ESTIMATE COST OF $2,013,588 AND A FIXED FEE OF $151,169.",1782634.57,1782634.57,2014-04-24,2015-08-01,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFH6110D00029_6925,DTFH6110D00029,DTFH6110D00029T12001,CLIN 4.4.2 EXPANSION AND ENHANCEMENT OF THE TEST BED,637603.95,637603.95,2011-12-21,2012-12-31,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFH6110D00029_6925,DTFH6110D00029,DTFH6110D00029T11002,"MODIFICATION TO SAIC CONTRACT DTFH61-10-D-00029, TASK ORDER #3, CLIN 4.4 EXPANSION AND ENHANCEMENT, RSE ASSOCIATED UPGRADES",623510.52,623510.52,2011-09-23,2013-12-31,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFH6110D00029_6925,DTFH6110D00029,DTFH6110D00029T11001,"MODIFICATION SAIC CONTRACT DTFH61-10-D-00029, SA29001, EXPANSION OF THE VEHICLE-TO-VEHICLE AND VEHICLE-TO-INFRASTRUCTURE TECHNOLOGY TEST BED, TASK ORDER #2, CLIN C.4.4",482874.55,482874.55,2011-03-03,2015-08-01,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFH6110D00029_6925,DTFH6110D00029,DTFH6110D00029T12002,IGF::OT::IGF OTHER FUNCTION TEST BED RSE SUPPORT,243898.15,243898.15,2012-03-13,2015-08-01,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,009,"TO ASSIST THE FEDERAL TRANSIT ADMINISTRATION IN FULFILLING ITS RESPONSIBILITY TO ENSURE GRANTEES EXECUTE AUTHORIZED PROJECTS PROFESSIONALLY, EFFICIENTLY, AND IN ACCORDANCE WITH APPLICABLE LAWS AND REGULATIONS, THE CONTRACTOR WILL PROVIDE PROJECT MANAGEMENT OVERSIGHT (PMO) SERVICES FOR SELECTED GRANTEES PROJECTS IN ACCORDANCE WITH TASK ORDER ASSIGNMENTS AND WORK ORDER INSTRUCTIONS MADE PURSUANT TO THE TERMS OF THIS CONTRACT.",3899644.73,3899644.73,2006-09-25,2009-11-24,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,DTFT6004D00013005,PROGRAM MANAGEMENT OVERSIGHT,1828836.0,1828836.0,2005-06-01,2006-08-10,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,011,"TO ASSIST THE FEDERAL TRANSIT ADMINISTRATION IN FULFILLING ITS RESPONSIBILITY TO ENSURE GRANTEES EXECUTE AUTHORIZED PROJECTS PROFESSIONALLY, EFFICIENTLY, AND IN ACCORDANCE WITH APPLICABLE LAWS AND REGULATIONS, THE CONTRACTOR WILL PROVIDE PROJECT MANAGEMENT OVERSIGHT (PMO) SERVICES FOR SELECTED GRANTEES PROJECTS IN ACCORDANCE WITH TASK ORDER ASSIGNMENTS AND WORK ORDER INSTRUCTIONS MADE PURSUANT TO THE TERMS OF THIS CONTRACT.",1604652.26,1604652.26,2007-05-18,2009-11-20,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,010,"TO ASSIST THE FEDERAL TRANSIT ADMINISTRATION IN FULFILLING ITS RESPONSIBILITY TO ENSURE GRANTEES EXECUTE AUTHORIZED PROJECTS PROFESSIONALLY, EFFICIENTLY, AND IN ACCORDANCE WITH APPLICABLE LAWS AND REGULATIONS, THE CONTRACTOR WILL PROVIDE PROJECT MANAGEMENT OVERSIGHT (PMO) SERVICES FOR SELECTED GRANTEES PROJECTS IN ACCORDANCE WITH TASK ORDER ASSIGNMENTS AND WORK ORDER INSTRUCTIONS MADE PURSUANT TO THE TERMS OF THIS CONTRACT.",1500000.0,1500000.0,2007-04-01,2008-09-30,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,DTFT6004D00013009,"REGION I PROJECT FOR 36 MONTHS FOR A TOTAL OF 21,590 HOURS. PERIOD OF PERFORMANCE IS 09/25/2006 TO 09/24/2009.",1199928.0,1199928.0,2006-09-25,2009-09-24,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,0006,PROJECT MANAGEMENT OVERSIGHT PROGRAM,992940.0,992940.0,2005-11-09,2006-05-09,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,004,MIAMI-DADE LRT PROJECT PMO PROJECT,800000.0,800000.0,2005-05-20,2007-04-30,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,DTFT6004D000130003,PROJECT PMO PROJECT,741113.0,741113.0,2005-03-29,2008-05-24,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,005,PROJECT MANAGEMENT OVERSIGHT PROGRAMMATIC TASK ORDER,678836.0,678836.0,2005-06-01,2009-09-20,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,DTFT6004D00013008,TASK ORDER 008 BOOZ ALLEN/PROGRAMMATIC TO CONDUCT LIGHT RAIL STUDY. PERIOD OF PERFORMANCE 10/01/2006 TO  02/29/2008,499994.0,499994.0,2006-10-01,2008-02-29,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,008,"TO ASSIST THE FEDERAL TRANSIT ADMINISTRATION IN FULFILLING ITS RESPONSIBILITY TO ENSURE GRANTEES EXECUTE AUTHORIZED PROJECTS PROFESSIONALLY, EFFICIENTLY, AND IN ACCORDANCE WITH APPLICABLE LAWS AND REGULATIONS, THE CONTRACTOR WILL PROVIDE PROJECT MANAGEMENT OVERSIGHT (PMO) SERVICES FOR SELECTED GRANTEES PROJECTS IN ACCORDANCE WITH TASK ORDER ASSIGNMENTS AND WORK ORDER INSTRUCTIONS MADE PURSUANT TO THE TERMS OF THIS CONTRACT.",443512.03,443512.03,2006-10-01,2009-12-20,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,DTFT6004D00013004,"THIS MODIFICATION ADDS $257,798 TO FULLY FUND THIS TASK ORDER NO. 004 TO A TASK ORDER NTE CEILING AMOUNT OF $1,057,798.",257798.0,257798.0,2005-09-19,2006-11-20,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,DTFT6004D00013007,TASK ORDER 007 FOR LIGHT RAIL STUDY PERIOD OF PERFORMANCE IS FROM 10/01/2006 TO 02/29/2008,249980.0,249980.0,2006-10-01,2008-02-29,,,USA,,,Department of Transportation,,,,2026-01-21
CONT_IDV_DTFT6004D00013_6955,DTFT6004D00013,007,"TO ASSIST THE FEDERAL TRANSIT ADMINISTRATION IN FULFILLING ITS RESPONSIBILITY TO ENSURE GRANTEES EXECUTE AUTHORIZED PROJECTS PROFESSIONALLY, EFFICIENTLY AND IN ACCORDANCE WITH APPLICABLE LAWS AND REGULATIONS, THE CONTRACTOR WILL PROVIDE PROJECT MANAGEMENT OVERSIGHT (PMO) SERVICES FOR SELECTED GRANTEE PROJECTS IN ACCORDANCE WITH TASK ORDER ASSIGNMENTS AND WORK ORDER INSTRUCTIONS MADE PURSUANT TO THE TERMS OF THIS CONTRACT.",221098.67,221098.67,2006-09-18,2009-09-20,,,USA,,,Department of Transportation,,,,2026-01-21
