"company","detected_clearance","location","primary_keyword","scraped_at","title","url"
"Insight Global","Secret","Belcamp, Maryland","Secret","2025-12-17T15:32:27.787Z","Secret Operations Analyst","https://insightglobal.com/jobs/find_a_job/maryland/belcamp/secret-operations-analyst/job-280703/"
"Insight Global","Secret","Fairfax, Virginia","Secret","2025-12-17T15:32:27.787Z","Secret Sr. Network Engineer","https://insightglobal.com/jobs/find_a_job/virginia/fairfax/secret-sr-network-engineer/job-467236/"
"Insight Global","Secret","Saint Louis, Missouri","Secret","2025-12-17T15:32:27.787Z","Secret Cleared Solutions Architect","https://insightglobal.com/jobs/find_a_job/missouri/saint-louis/secret-cleared-solutions-architect/job-296131/"
"Insight Global","Secret","Gunpowder, Maryland","Secret","2025-12-17T15:32:27.787Z","Secret cleared Radio Frequency Engineer","https://insightglobal.com/jobs/find_a_job/maryland/gunpowder/secret-cleared-radio-frequency-engineer/job-437969/"
"Insight Global","Secret","Huntsville, Alabama","Secret","2025-12-17T15:32:27.787Z","Secret Capture Manager - Huntsville 2","https://insightglobal.com/jobs/find_a_job/alabama/huntsville/secret-capture-manager-huntsville-2/job-452565/"
"Insight Global","Secret","Colorado Springs, Colorado","Secret","2025-12-17T15:32:27.787Z","Secret Mid-Level Cyber Threat Emulation Analyst","https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/secret-mid-level-cyber-threat-emulation-analyst/job-458008/"
"Insight Global","TS","Niskayuna, New York","Secret","2025-12-17T15:32:27.788Z","Top Secret System Admin","https://insightglobal.com/jobs/find_a_job/new-york/niskayuna/top-secret-system-admin/job-474443/"
"Insight Global","TS","San Diego, California","Secret","2025-12-17T15:32:27.788Z","Top Secret Senior Safety Engineer","https://insightglobal.com/jobs/find_a_job/california/san-diego/top-secret-senior-safety-engineer/job-470964/"
"Insight Global","TS","Eglin Air Force Base, Florida","Secret","2025-12-17T15:32:27.788Z","Top Secret - Manufacturing Engineer","https://insightglobal.com/jobs/find_a_job/florida/eglin-air-force-base/top-secret-manufacturing-engineer/job-464025/"
"Insight Global","Secret","Huntsville, Alabama","Secret","2025-12-17T15:32:27.788Z","SECRET - FPGA Engineer III","https://insightglobal.com/jobs/find_a_job/alabama/huntsville/secret-fpga-engineer-iii/job-465496/"
"Insight Global","Secret","Aberdeen Proving Ground, Maryland","Secret","2025-12-17T15:32:31.492Z","Secret Vulnerability Penetration Tester","https://insightglobal.com/jobs/find_a_job/maryland/aberdeen-proving-ground/secret-vulnerability-penetration-tester/job-449881/"
"Insight Global","Secret","Dahlgren, Virginia","Secret","2025-12-17T15:32:31.492Z","Secret .Net/Angular Developer","https://insightglobal.com/jobs/find_a_job/virginia/dahlgren/secret-net-angular-developer/job-440730/"
"Insight Global","Secret","Huntsville, Alabama","Secret","2025-12-17T15:32:31.492Z","Software Engineer - Secret Clearance","https://insightglobal.com/jobs/find_a_job/alabama/huntsville/software-engineer-secret-clearance/job-460643/"
"Insight Global","Secret","San Diego, California","Secret","2025-12-17T15:32:31.492Z","Secret Cleared Technical Writer","https://insightglobal.com/jobs/find_a_job/california/san-diego/secret-cleared-technical-writer/job-434176/"
"Insight Global","Secret","Portsmouth, Virginia","Secret","2025-12-17T15:32:31.492Z","Secret IT Specialist Mid","https://insightglobal.com/jobs/find_a_job/virginia/portsmouth/secret-it-specialist-mid/job-471409/"
"Insight Global","Secret","Huntsville, Alabama","Secret","2025-12-17T15:32:31.492Z","Software Engineer - Secret Clearance","https://insightglobal.com/jobs/find_a_job/alabama/huntsville/software-engineer-secret-clearance/job-473799/"
