Program Name,Acronym,Agency Owner,Program Type,Priority Level,Confidence Level,PTS Involvement,Contract Number,tango_piid,parent_piid,Contract Value,Contract Value (Consolidated),total_contract_value,Base Contract Value (FPDS),Base + Options Value (FPDS),obligated,subawards_total,subawards_count,Prime Contractor,Prime Contractor 1,Prime Contractor (Consolidated),recipient_name,recipient_uei,Key Subcontractors,Known Subcontractors,Period of Performance,Period of Performance (Original),PoP Start,PoP End,period_start,period_end,PoP Start (Consolidated),PoP End (Consolidated),ultimate_completion,Ultimate Completion (Consolidated),Recompete Date,Contract Signed Date (FPDS),Contract Effective Date (FPDS),Current Completion Date (FPDS),Ultimate Completion Date (FPDS),Key Locations,Performance Location (TANGO),Performance Location (FPDS),pop_city,pop_state,pop_zip,pop_country,NAICS Code (Consolidated),naics_code,FPDS NAICS Code,NAICS Description,PSC Code (Consolidated),psc_code,FPDS PSC Code,PSC Description,set_aside,Technical Stack,Tech Stack (Basic),Keywords/Signals,Functional Areas,Typical Roles,Job Titles,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status,Contract Vehicle Used,Contract Vehicle/Type,awarding_office,awarding_agency,funding_office,COR/COTR,Program Manager,Clearance Requirements,Security Requirements,Match Confidence,Match Score,Incumbent Score,Source Evidence,Notes,Pain Points,Related Jobs,tango_description,parent_description,Budget
16th Air Force Mission IT Support,16AF Mission IT,Air Force,Cyber,High,High,,FA807519FA029,FA807519FA029,FA807518D0011,$261M,$261M,"$321,513,710.00 ",,,"$316,952,144.94 ","$82,967,626.84 ",144,,ManTech,ManTech,MANTECH TSG-2 JOINT VENTURE,V9KKND8S1KJ3,,Specialty subs (EW/cyber),,5 years,,,8/29/2019,9/30/2024,8/29/2019,9/30/2024,9/30/2024,9/30/2024,,,,,,Lackland TX; Eglin/Tyndall FL; Nellis NV; Hill UT,"QUANTICO, VIRGINIA",,QUANTICO,VIRGINIA,22134,UNITED STATES,541715,541715,,,AZ12,AZ12,,,,,,Multi-base coverage,,"Mission help desk, Software support techs, Cyber ops, EW techs",,,,,,,,Not Queried,,,FA8075  774 ESS,Department of the Air Force,COMMANDER,,,"Secret, TS/SCI",,Medium,1,,"“$261M… multiple AF bases (Lackland, Nellis, Hill…)”",,,,JOINT TRAINING SYNTHETIC ENVIRONMENT JOINT STAFF J-7 DEPUTY DIRECTOR JOINT TRAINING ENVIRONMENT ARCHITECTURE DIVISION,INFORMATION ANALYSIS CENTER MULTIPLE AWARD CONTRACT,
1st AF / CONR Base Operations & IT Services (Tyndall),CONR BOS/IT,Air Force,,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,“AF EW/cyber”; “53rd Wing”; “IT/EW support”; “test & evaluation”; “Eglin/Nellis/Hill”; “weapon system EW”; “operational test”; “cyber test infrastructure”; base operations/IT context at Tyndall,,"IT ops staff running base and operational IT; BOS personnel (facility/ops staff) supporting mission infrastructure; service desk, sysadmins, network technicians",,,,,,,,,,Services,,,,,,"Public Trust, Secret",,,,,,,,,,,
53rd Air Wing IT/EW Support,53rd Air Wing,Air Force,Cyber,Medium,Medium,,FA877319FA023,FA877319FA023,GS00Q14OADS129,,"$47,518,825.61 ","$47,518,825.61 ",,,"$39,874,973.53 ",,,,"SAIC / Leidos (indicative, not confirmed)","SAIC / Leidos (indicative, not confirmed)",MOSAIC TECHNOLOGIES GROUP LLC,K3XCTTC4VDR5,,,,,,,4/28/2019,10/27/2025,4/28/2019,10/27/2025,7/27/2026,7/27/2026,,,,,,"Eglin AFB FL; Nellis AFB NV; Hill AFB UT (53rd EW Group, Test & Evaluation)","SAN ANTONIO, TEXAS",,SAN ANTONIO,TEXAS,78243,UNITED STATES,541330,541330,,,R425,R425,,,,,,"“AF EW/cyber”, “53rd Wing”, “IT/EW support”, “test & evaluation”, “Eglin/Nellis/Hill”, “weapon system EW”, “operational test”, “cyber test infrastructure”",,Cybersecurity engineers; EW engineers; Spectrum operations; Software test engineers; Range IT/mission support techs; Data analysts; Systems engineers (EW/cyber test); Network engineers,,,,,,,,Not Queried,,,FA8773 ACC 38 CONS,Department of the Air Force,67 CW,,,"Secret, TS/SCI",,Medium,2,,No explicit listing in files; derived from 53rd Wing (EW/cyber test) mission set + your field inputs,,,,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",
Advanced Battle Management System,ABMS,Air Force,Professional Services,Medium,Medium,,FA251822F0034,FA251822F0034,75N98119D00001,,"$3,720,056.52 ","$3,720,056.52 ",,,"$2,893,647.82 ",,,,Multi (SAIC supports parts),Multi (SAIC supports parts),"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",EMX1P81U9GG5,,"CACI, Raytheon",,Ongoing,,Ongoing,6/27/2022,6/28/2026,6/27/2022,6/28/2026,6/28/2027,6/28/2027,,,,,,"Eglin AFB, FL; Hanscom AFB, MA","COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80912,UNITED STATES,541512,541512,,,R425,R425,,,8A,,,FVL / LRPF / AMD / NGCV / Network / Soldier,,AUSA Modernization Portfolios (aggregate),,,,,,,,Not Queried,,MULTIPLE CONTRACTS,FA2518  USSF SPOC/SAIO,Department of the Air Force,FA3GL0 22 SOPS,,,"Secret, Top Secret",,Medium,2,,"Multiple primes (Lockheed, Raytheon, Northrop, BAE, GD, etc. depending on portfolio)",,,,LOADING INTEGRATION ANALYSIS AND TACTICAL SOLUTIONS FOR SATELLITE ENTERPRISE NETWORKS - 2 (LITEN-2),IGF::OT::IGF  IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,
Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,AMRAAM,Air Force,Weapon Systems,High,High,,W31P4Q15C0022,W31P4Q15C0022,,Multi-$B,Multi-$B,"$2,442,287,695.74 ",,,"$5,608,431,752.51 ","$14,053,592,412.80 ",29981,,Raytheon,Raytheon,RAYTHEON COMPANY,XSV6AZJ6SDJ7,,,,Ongoing (continuous series of production lots and modernization efforts over decades),,Ongoing,12/19/2014,5/31/2025,12/19/2014,5/31/2025,5/31/2025,5/31/2025,,,,,,Tucson AZ (Raytheon missile facilities); additional supplier sites across U.S. and allied nations,"ANDOVER, MASSACHUSETTS",,ANDOVER,MASSACHUSETTS,1810,UNITED STATES,336414,336414,,,1425,1425,,,NONE,,,“AMRAAM”; “Multi-$B”; “Production”; Raytheon; USAF/USN missile engineering,,Missile engineers; systems engineers; guidance and control engineers; hardware/electronics engineers; test engineers; production engineering staff; configuration and quality engineers,,,,,,,,Not Queried,,Production,W6QK ACC-RSA,Department of the Army,W6DV PEO M & S REDSTONE,,,"Secret, Top Secret",,Medium,2,,"User line identifying Raytheon, AMRAAM, multi-$B, production; detailed contract IDs and lot breakdown not present → specific financials/vehicles remain high-level",,,,TEN FIRE UNITS FOR QATAR,,
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Professional Services,Medium,Medium,,N0001917C0001,N0001917C0001,,,"$45,265,737,305.46 ","$45,265,737,305.46 ",,,"$35,135,514,910.20 ","$19,006,059,279.59 ",12781,,Lockheed Martin,Lockheed Martin,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,,,,,,11/17/2017,3/31/2031,11/17/2017,3/31/2031,3/31/2031,3/31/2031,,,,,,"Aegis ashore and afloat sites; e.g., Aurora CO; Huntsville AL; shipyards","FORT WORTH, TEXAS",,FORT WORTH,TEXAS,76108,UNITED STATES,336411,336411,,,1510,1510,,,NONE,,,ABMS,,Advanced Battle Management System,,,,,,,,Not Queried,,MAJOR WEAPON SYSTEM / SHIPBORNE MISSILE DEFENSE,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND,,,"Secret, TS/SCI",,Medium,1,,Multiple (SAIC supports parts as SE&I / integration),,,,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,,
AF National Capital Region IT Support (AFNCR),AFNCR IT,Air Force,,Medium,Medium,,HHSN261200800001E,HHSN261200800001E,,$450M,$450M,"$70,988,409,497.44 ",,,"$4,813,063,024.90 ",,,,Leidos (historical incumbent),Leidos (historical incumbent),LEIDOS BIOMEDICAL RESEARCH INC,HV8BH9BPG8Y9,,,,Ongoing (multi-year historical/continuing support),,Ongoing,9/26/2008,9/6/2024,9/26/2008,9/6/2024,9/6/2024,9/6/2024,,,,,,Pentagon; Joint Base Andrews (JBA),"FREDERICK, MARYLAND",,FREDERICK,MARYLAND,21702,UNITED STATES,561210,561210,,,M181,M181,,,NONE,,,"“AFNCR IT”, “Pentagon/JBA”, “desktop/net ops”, “844th CG”",,Desktop support; network operations; service desk; infrastructure techs; VIP support,,,,,,,,Not Queried,,,,,,,,Secret,,Low,0,,Derived from AFNCR/844th CG Leidos support notes in your files,,,,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,,
AF Strategic Tech Support – HQ/MAJCOM C5ISR/Cyber/EW Services,AF Strategic Tech Support,Air Force,Cyber,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,“C5ISR / Cyber / Electronic Warfare”; “AF Strategic Tech Support”; HQ/MAJCOM support; enterprise services,,Engineering and cyber consultants; C5ISR systems engineers; strategy/roadmap analysts; cyber planners; HQ IT architects; integration engineers across AF portfolios,,,,,,,,,,Services,,,,,,"Secret, TS/SCI",,,,,,,,,,,
AF TENCAP – 53rd EW Group / HOPE 2.0 & Test Integration Support,AF TENCAP / 53rd EW,Air Force,,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eglin AFB FL; Nellis AFB NV; Hill AFB UT (53rd EW Group, test & evaluation detachments); Colorado Springs CO (AF TENCAP core); other AF TENCAP locations participating in EW/cyber experiments",,,,,,,,,,,,,,,,,,"“AF TENCAP Program Office”; “HOPE 2.0”; “EPASS”; “53rd EW Group, Test & Evaluation”; integration of TENCAP capabilities into operational EW/cyber units",,Principal systems engineers; EW/cyber integration engineers; test & evaluation leads; program managers; financial managers; data/analytics staff; requirements analysts; technical writers and documentation specialists supporting EW/cyber test events and AF TENCAP prototypes,,,,,,,,,,Services,,,,,,"Secret, TS/SCI",,,,,,,,,,,
AF TENCAP – HOPE 2.0 A&AS Support,HOPE 2.0,Air Force,Intel,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"“AF TENCAP”; “HOPE 2.0”; “EPASS”; “Odyssey Systems Team… subcontractor to SAIC during HOPE 2.0 execution…”; A&AS, SE&I, PM support",,Project/program managers; principal systems engineers; integration engineers; schedulers; earned-value/financial analysts; logistics and documentation support; experiment/test planners; stakeholder engagement and requirements analysts,,,,,,,,,,Services,,,,,,"Secret, TS/SCI",,,,,,,,,,,
