Program Name,Acronym,Agency,Prime Contractor,Contract Number,Contract Value,Contract Description,Match Confidence,Match Score,tango_piid,tango_description,pop_city,pop_state,pop_zip,pop_country,period_start,period_end,ultimate_completion,subawards_count,subawards_total,recipient_uei,recipient_name,naics_code,psc_code,set_aside,obligated,total_contract_value,parent_piid,parent_description,awarding_office,awarding_agency,funding_office
16th Air Force Mission IT Support,16AF Mission IT,Air Force,ManTech,FA807519FA029,"$316,952,144.94",JOINT TRAINING SYNTHETIC ENVIRONMENT J7,Medium,1,FA807519FA029,JOINT TRAINING SYNTHETIC ENVIRONMENT JOINT STAFF J-7 DEPUTY DIRECTOR JOINT TRAINING ENVIRONMENT ARCHITECTURE DIVISION,QUANTICO,VIRGINIA,22134,UNITED STATES,2019-08-29,2024-09-30,2024-09-30,144,"$82,967,626.84",V9KKND8S1KJ3,MANTECH TSG-2 JOINT VENTURE,541715,AZ12,,"$316,952,144.94","$321,513,710.00",FA807518D0011,INFORMATION ANALYSIS CENTER MULTIPLE AWARD CONTRACT,FA8075  774 ESS,Department of the Air Force,COMMANDER
53rd Air Wing IT/EW Support,53rd Air Wing,Air Force,"SAIC / Leidos (indicative, not confirmed)",FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Medium,2,FA877319FA023,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,SAN ANTONIO,TEXAS,78243,UNITED STATES,2019-04-28,2025-10-27,2026-07-27,,,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,541330,R425,,"$39,874,973.53","$47,518,825.61",GS00Q14OADS129,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",FA8773 ACC 38 CONS,Department of the Air Force,67 CW
Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),FA251822F0034,"$2,893,647.82",LOADING INTEGRATION ANALYSIS TACTICAL SOLUTIONS SATELLITE ENTERPRISE NETWORKS LITEN,Medium,2,FA251822F0034,LOADING INTEGRATION ANALYSIS AND TACTICAL SOLUTIONS FOR SATELLITE ENTERPRISE NETWORKS - 2 (LITEN-2),COLORADO SPRINGS,COLORADO,80912,UNITED STATES,2022-06-27,2026-06-28,2027-06-28,,,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",541512,R425,8A,"$2,893,647.82","$3,720,056.52",75N98119D00001,IGF::OT::IGF  IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,FA2518  USSF SPOC/SAIO,Department of the Air Force,FA3GL0 22 SOPS
Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,AMRAAM,Air Force,Raytheon,W31P4Q15C0022,"$5,608,431,752.51",PATRIOT FIRE UNITS MISSILE DEFENSE AIR DEFENSE,Medium,2,W31P4Q15C0022,TEN FIRE UNITS FOR QATAR,ANDOVER,MASSACHUSETTS,01810,UNITED STATES,2014-12-19,2025-05-31,2025-05-31,29981,"$14,053,592,412.80",XSV6AZJ6SDJ7,RAYTHEON COMPANY,336414,1425,NONE,"$5,608,431,752.51","$2,442,287,695.74",,,W6QK ACC-RSA,Department of the Army,W6DV PEO M & S REDSTONE
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Lockheed Martin,N0001917C0001,"$35,135,514,910.20",F-35 LRIP LOT 12 ADVANCE ACQUISITION LIGHTNING II JOINT STRIKE FIGHTER JSF,Medium,1,N0001917C0001,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,FORT WORTH,TEXAS,76108,UNITED STATES,2017-11-17,2031-03-31,2031-03-31,12781,"$19,006,059,279.59",G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,336411,1510,NONE,"$35,135,514,910.20","$45,265,737,305.46",,,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND
AF National Capital Region IT Support (AFNCR),AFNCR IT,Air Force,Leidos (historical incumbent),HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
AFCENT SCORPION Cyber Task (ISSO/ISSM Support),SCORPION,Air Force,CACI,FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE MODIFICATIONS OPERATIONS CAMMO AFSCN,Medium,2,FA882316C0004,"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT",COLORADO SPRINGS,COLORADO,80919,UNITED STATES,2016-06-13,2025-12-09,2025-12-09,68,"$11,638,145.36",L2TTR2QRV8H9,"CACI NSS, LLC",517410,R425,NONE,"$600,725,818.08","$139,644,959.63",,,FA8823  SUSTAINMENT MCPNT SSC/PKL,Department of the Air Force,F3LGRN SMC DET 11 RNSE
Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton",36C10B21N10150056,"$1,139,008,033.13",PRODUCT AND TECHNOLOGY ECOSYSTEM MANAGEMENT SERVICES PTEMS VA DIGITAL TRANSFORMATION,Medium,1,36C10B21N10150056,"PRODUCT AND TECHNOLOGY ECOSYSTEM MANAGEMENT SERVICES (PTEMS)WHICH INCLUDES PRODUCT DELIVERY AND LIFECYCLE MANAGEMENT TO TRANSFORM VA BY TAPPING INTO EMERGING TECHNOLOGIES, CONNECTING DEVELOPERS WITH VA DATA, AND MAKING HUMAN CENTERED DESIGN (HCD).",HERNDON,VIRGINIA,20171,UNITED STATES,2021-01-08,2025-04-15,2026-01-07,94,"$202,413,792.65",GLGMWJ8EVMR9,LIBERTY IT SOLUTIONS LLC,541512,DA01,,"$1,139,008,033.13","$1,143,130,745.71",VA11816D1015,IGF::OT::IGF TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY NEXT GENERATION (T4NG)PROGRAM BASE CONTRACT,TECHNOLOGY ACQUISITION CENTER NJ (36C10B),Department of Veterans Affairs,TECHNOLOGY ACQUISITION CENTER NJ (36C10B)
Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,Platform One / Cyber Portfolio,Air Force,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE MODIFICATIONS OPERATIONS CAMMO AFSCN,High,5,FA882316C0004,"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT",COLORADO SPRINGS,COLORADO,80919,UNITED STATES,2016-06-13,2025-12-09,2025-12-09,68,"$11,638,145.36",L2TTR2QRV8H9,"CACI NSS, LLC",517410,R425,NONE,"$600,725,818.08","$139,644,959.63",,,FA8823  SUSTAINMENT MCPNT SSC/PKL,Department of the Air Force,F3LGRN SMC DET 11 RNSE
Air Force GIS Program (Lockheed Martin),AFGIS (LM),Air Force,Lockheed Martin,N0001902C3002,"$34,173,959,111.96",JSF AIRCRAFT F-35 JOINT STRIKE FIGHTER SYSTEM DEVELOPMENT,Medium,2,N0001902C3002,200204!008532!1700!AF600 !NAVAL AIR SYSTEMS COMMAND       !N0001902C3002  !A!N! !N!                   !20011026!20120430!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD             !FORT WORTH          !TX!76108!27000!439!48!FORT WORTH          !TARRANT               !TEXAS     !+000026000000!N!N!018981928201!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !A1A!AIRFRAMES AND SPARES          !2AMA!JAST/JSF                      !336411!E! !3! ! ! ! ! !99990909!B,FORT WORTH,TEXAS,76108,UNITED STATES,2001-10-26,2022-12-16,2022-12-16,,,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,336411,AC15,NONE,"$34,132,618,954.26","$29,488,513,800.00",,,,,
