Program Name,Acronym,Agency,Prime Contractor,Contract Number,Contract Value,Contract Description,Match Confidence,Match Score
16th Air Force Mission IT Support,16AF Mission IT,Air Force,ManTech,FA807519FA029,"$316,952,144.94",JOINT TRAINING SYNTHETIC ENVIRONMENT J7,Medium,1
53rd Air Wing IT/EW Support,53rd Air Wing,Air Force,"SAIC / Leidos (indicative, not confirmed)",FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Medium,2
Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),FA251822F0034,"$2,893,647.82",LOADING INTEGRATION ANALYSIS TACTICAL SOLUTIONS SATELLITE ENTERPRISE NETWORKS LITEN,Medium,2
Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,AMRAAM,Air Force,Raytheon,W31P4Q15C0022,"$5,608,431,752.51",PATRIOT FIRE UNITS MISSILE DEFENSE AIR DEFENSE,Medium,2
Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Lockheed Martin,N0001917C0001,"$35,135,514,910.20",F-35 LRIP LOT 12 ADVANCE ACQUISITION LIGHTNING II JOINT STRIKE FIGHTER JSF,Medium,1
AF National Capital Region IT Support (AFNCR),AFNCR IT,Air Force,Leidos (historical incumbent),HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0
AFCENT SCORPION Cyber Task (ISSO/ISSM Support),SCORPION,Air Force,CACI,FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE MODIFICATIONS OPERATIONS CAMMO AFSCN,Medium,2
Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton",36C10B21N10150056,"$1,139,008,033.13",PRODUCT AND TECHNOLOGY ECOSYSTEM MANAGEMENT SERVICES PTEMS VA DIGITAL TRANSFORMATION,Medium,1
Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio,Platform One / Cyber Portfolio,Air Force,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1),FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE MODIFICATIONS OPERATIONS CAMMO AFSCN,High,5
Air Force GIS Program (Lockheed Martin),AFGIS (LM),Air Force,Lockheed Martin,N0001902C3002,"$34,173,959,111.96",JSF AIRCRAFT F-35 JOINT STRIKE FIGHTER SYSTEM DEVELOPMENT,Medium,2
