Job Title,Agency,BD Priority,City,Clearance,Company,DCGS Relevance,Functional Area,Location,Program,Scraped At,Source URL,Status,Task Order
Systems Administrator,Air Force / Navy,60,San Diego,Unknown,Insight Global,Yes,Systems Administration,"San Diego, California",AF DCGS / Navy DCGS-N,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/california/san-diego/systems-administrator/job-450628/,New,PACAF Node / Navy Ship Systems
Technical Lead Engineering System,Navy,60,Norfolk,Unknown,Insight Global,Yes,Software Engineering,"Norfolk, Virginia",Navy DCGS-N,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/virginia/norfolk/technical-lead-engineering-system/job-476051/,New,Norfolk Fleet Support
TS/SCI High Band System Software Support Engineer,Air Force,75,Beale Afb,TS/SCI,Insight Global,Yes,Software Engineering,"Beale Afb, California",AF DCGS,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/california/beale-afb/ts-sci-high-band-system-software-support-engineer/job-447581/,New,DGS-2 Beale
Hardware and Circuit Board Design Lead,Air Force / Navy,55,San Diego,Unknown,Insight Global,Yes,Hardware Engineering,"San Diego, California",AF DCGS / Navy DCGS-N,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/california/san-diego/hardware-and-circuit-board-design-lead/job-438681/,New,PACAF Node / Navy Ship Systems
Top Secret Electronics Exploitation Deployer,Army,60,Aberdeen Proving Ground,TS,Insight Global,Yes,Hardware Engineering,"Aberdeen Proving Ground, Maryland",Army DCGS-A / C5ISR,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/maryland/aberdeen-proving-ground/top-secret-electronics-exploitation-deployer/job-476933/,New,APG Intelligence Systems
Embedded Systems and Controls Architect,Air Force / Navy,55,San Diego,Unknown,Insight Global,Yes,Architecture,"San Diego, California",AF DCGS / Navy DCGS-N,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/california/san-diego/embedded-systems-and-controls-architect/job-438701/,New,PACAF Node / Navy Ship Systems
Secret Cleared Technical Writer,Air Force / Navy,55,San Diego,Secret,Insight Global,Yes,Technical Writing,"San Diego, California",AF DCGS / Navy DCGS-N,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/california/san-diego/secret-cleared-technical-writer/job-434176/,New,PACAF Node / Navy Ship Systems
Secret Systems Engineer II,Navy,65,Suffolk,Secret,Insight Global,Yes,Software Engineering,"Suffolk, Virginia",Navy DCGS-N / JFHQ-C,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/virginia/suffolk/secret-systems-engineer-ii/job-462548/,New,JFHQ DoDIN / Navy Intelligence
TS/SCI Field Service Engineer,Air Force / Navy,75,San Diego,TS/SCI,Insight Global,Yes,Field Service,"San Diego, California",AF DCGS / Navy DCGS-N,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/california/san-diego/ts-sci-field-service-engineer/job-435515/,New,PACAF Node / Navy Ship Systems
TS RMF Manager,Navy,65,Suffolk,Unknown,Insight Global,Yes,Cyber Security,"Suffolk, Virginia",Navy DCGS-N / JFHQ-C,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/virginia/suffolk/ts-rmf-manager/job-477179/,New,JFHQ DoDIN / Navy Intelligence
TS/SCI Payloads Field Service Engineer (Florida),Air Force / Navy,75,San Diego,TS/SCI,Insight Global,Yes,Field Service,"San Diego, California",AF DCGS / Navy DCGS-N,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/california/san-diego/ts-sci-payloads-field-service-engineer-florida-/job-475423/,New,PACAF Node / Navy Ship Systems
TS/SCI Systems Administrator,Air Force,75,Dayton,TS/SCI,Insight Global,Yes,Systems Administration,"Dayton, Ohio",AF DCGS / NASIC,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/ohio/dayton/ts-sci-systems-administrator/job-469723/,New,NASIC Integration / Tech Refresh
Network Engineer,Army,65,Fort Shafter,Unknown,Insight Global,No,Network Engineering,"Fort Shafter, Hawaii",Unknown,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/hawaii/fort-shafter/network-engineer/job-475757/,New,USARPAC Intelligence
TS/SCI Network Administrator III (WAN) (Day Shift),Air Force,60,Montgomery,TS/SCI,Insight Global,No,Network Engineering,"Montgomery, Alabama",16AF Mission IT / DISA JRSS,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-day-shift-/job-455721/,New,Maxwell AFB / DISA Cyber
TS/SCI Low Band System Software Support Engineer,Air Force,75,Hampton,TS/SCI,Insight Global,Yes,Software Engineering,"Hampton, Virginia",AF DCGS,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/virginia/hampton/ts-sci-low-band-system-software-support-engineer/job-447111/,New,DGS-1 Langley
Sr Software Engineer - Secret,Air Force,65,Kettering,Secret,Insight Global,Yes,Software Engineering,"Kettering, Ohio",AF DCGS / NASIC,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/ohio/kettering/sr-software-engineer-secret/job-468093/,New,NASIC Software Support
TS/SCI Network Administrator III (WAN (N-JRSS)),Air Force,60,Montgomery,TS/SCI,Insight Global,No,Network Engineering,"Montgomery, Alabama",16AF Mission IT / DISA JRSS,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-n-jrss-/job-434238/,New,Maxwell AFB / DISA Cyber
Secret Datacenter SME,Navy,55,Suffolk,Secret,Insight Global,Yes,Systems Administration,"Suffolk, Virginia",Navy DCGS-N / JFHQ-C,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/virginia/suffolk/secret-datacenter-sme/job-436233/,New,JFHQ DoDIN / Navy Intelligence
TS/SCI Low Band System Software Support Engineer,Air Force,75,Beale Afb,TS/SCI,Insight Global,Yes,Software Engineering,"Beale Afb, California",AF DCGS,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/california/beale-afb/ts-sci-low-band-system-software-support-engineer/job-447139/,New,DGS-2 Beale
Top Secret Senior Safety Engineer,Air Force / Navy,70,San Diego,TS,Insight Global,Yes,Hardware Engineering,"San Diego, California",AF DCGS / Navy DCGS-N,"December 19, 2025",https://insightglobal.com/jobs/find_a_job/california/san-diego/top-secret-senior-safety-engineer/job-470964/,New,PACAF Node / Navy Ship Systems
