Job Title/Position,Date Posted,Location,Position Overview,Key Responsibilities,Required Qualifications,Security Clearance,Program Hints,Client Hints,Contract Vehicle Hints,Prime Contractor,Recruiter Contact,Technologies,Certifications Required,Matched Program,Match Confidence,Match Type,BD Priority Score,Priority Tier,Match Signals,Source,Source URL,Scraped At,Processed At
,,,,,,,,,,,,,,"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",20%,inferred,54,🟡 Warm,"Location match (partial): Huntsville, Alabama -> Aegis Ballistic Missile Defense / Aegis Program via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Integrated Battle Command System via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Integrated Battle Command System Support via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army Missile & Space R&D Support (Huntsville) via 'huntsville al', Location match (partial): Huntsville, Alabama -> C2BMC (Command & Control, Battle Mgmt, Comms) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Command and Control, Battle Management & Communications (MDA) via 'huntsville al', Location match (partial): Huntsville, Alabama -> GMD Weapon System (Ground C2) via 'huntsville al', Location match (partial): Huntsville, Alabama -> GMD Weapon System Modernization via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Air & Missile Defense via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Battle Command System via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness / Cyber Program via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Environment via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Tool Environment via 'huntsville al', Location match (partial): Huntsville, Alabama -> Integrated Situational Awareness Tool Environment (Intel Cyber) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Intelligence Systems Infrastructure Tools & Enhancements via 'huntsville al', Location match (partial): Huntsville, Alabama -> Multi-Mission Command & Control via 'huntsville al', Location match (partial): Huntsville, Alabama -> Next Generation Interceptor via 'huntsville al', Location match (partial): Huntsville, Alabama -> NGI – Next Generation Interceptor via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 (Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 Missile Family (Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 Missile Segment Enhancement (Deep Detail Variant) via 'huntsville al', Location match (partial): Huntsville, Alabama -> PAC-3 MSE (Deep Detail Variant; Consolidated) via 'huntsville al', Location match (partial): Huntsville, Alabama -> Sentinel / GBSD via 'huntsville al', Location match (partial): Huntsville, Alabama -> Army AvMC Enterprise IT Support Services via 'redstone arsenal / huntsville al', Location match (exact): Huntsville, Alabama -> Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row via 'huntsville', Location match (exact): Huntsville, Alabama -> EDIS – Engineering, Development, Integration & Sustainment via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD (AFNWC Hill AFB Variant) via 'huntsville', Location match (exact): Huntsville, Alabama -> Sentinel GBSD (LGM-35A) via 'huntsville', Location match (partial): Huntsville, Alabama -> Command & Control, Battle Mgmt & Comms via 'huntsville / schriever', Location match (partial): Huntsville, Alabama -> Command and Control, Battle Management, Communications via 'huntsville al (indicative)', Location match (partial): Huntsville, Alabama -> MDA Tactical Embedded Systems via 'redstone arsenal, huntsville al', Location match (partial): Huntsville, Alabama -> Poland WISŁA – Patriot + IBCS Foreign Military Sales via 'huntsville al labs', Location match (partial): Huntsville, Alabama -> JRSS - Joint Regional Security Stacks via 'montgomery, alabama', Location match (partial): Huntsville, Alabama -> NJRSS - Navy Joint Regional Security Stacks via 'montgomery, alabama', Location match (exact): Huntsville, Alabama -> Counter-UAS Program via 'huntsville, alabama'",unknown,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/devsecops-engineer-secret-clearance/job-463944/,,2026-01-13T00:31:29.948906
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/maryland/belcamp/secret-operations-analyst/job-280703/,,2026-01-13T00:31:29.948981
,,,,,,,,,,,,,,Navy DCGS-N,20%,inferred,62,🟡 Warm,"Location match: Norfolk -> Navy DCGS-N, Location match (partial): Norfolk, Virginia -> Battlefield Information Collection & Exploitation System via 'norfolk va', Location match (partial): Norfolk, Virginia -> Navy Enterprise Service Desk via 'norfolk va', Location match (partial): Norfolk, Virginia -> NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport) via 'norfolk va', Location match (partial): Norfolk, Virginia -> Navy Marine Corps Intranet (legacy) via 'multiple navy & usmc bases (norfolk, san diego, etc.)', Location match (exact): Norfolk, Virginia -> NGEN (Legacy Reference) via 'norfolk', Location match (exact): Norfolk, Virginia -> NGEN-R — Enterprise Network Program via 'norfolk', Location match (partial): Norfolk, Virginia -> CANES - Consolidated Afloat Network Enterprise Services via 'norfolk va, sully va, mount vernon va, aiea hi, arlington va', Location match (partial): Norfolk, Virginia -> EVMS - Earned Value Management Systems via 'herndon, virginia'",unknown,https://insightglobal.com/jobs/find_a_job/virginia/norfolk/secret-deployed-support-specialist/job-474313/,,2026-01-13T00:31:29.949029
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/utah/salt-lake-city/secret-rf-system-engineer/job-477411/,,2026-01-13T00:31:29.949071
,,,,,,,,,,,,,,EVMS - Earned Value Management Systems,15%,inferred,53,🟡 Warm,"Location match (partial): Fairfax, Virginia -> EVMS - Earned Value Management Systems via 'herndon, virginia'",unknown,https://insightglobal.com/jobs/find_a_job/virginia/fairfax/secret-sr-network-engineer/job-467236/,,2026-01-13T00:31:29.949111
,,,,,,,,,,,,,,Navy DCGS-N,20%,inferred,62,🟡 Warm,"Location match: Suffolk -> Navy DCGS-N, Location match (partial): Suffolk, Virginia -> Global Command and Control System – Joint (Variant) via 'suffolk va', Location match (partial): Suffolk, Virginia -> Joint Staff J7 Support via 'suffolk va', Location match (partial): Suffolk, Virginia -> EVMS - Earned Value Management Systems via 'herndon, virginia'",unknown,https://insightglobal.com/jobs/find_a_job/virginia/suffolk/secret-datacenter-sme/job-436233/,,2026-01-13T00:31:29.949160
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/wyoming/fe-warren-afb/avionics-specialist-secret-clearance/job-477836/,,2026-01-13T00:31:29.949201
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/maryland/baltimore/embedded-c-engineer-secret-cleared-/job-477394/,,2026-01-13T00:31:29.949241
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/pennsylvania/monroeville/top-secret-hardware-tech/job-478314/,,2026-01-13T00:31:29.949280
,,,,,,,,,,,,,,Unmatched,0%,inferred,50,🟡 Warm,,unknown,https://insightglobal.com/jobs/find_a_job/new-york/niskayuna/top-secret-system-admin/job-474443/,,2026-01-13T00:31:29.949319
